Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,38.46%,47.46%,30.27%,38.70%,48.56%
Total Revenues,38.46%,47.46%,30.27%,38.70%,48.56%
Cost Of Revenues,52.05%,64.74%,47.37%,63.39%,73.55%
Gross Profit,28.03%,31.71%,10.78%,1.25%,6.47%
Selling General & Admin Expenses,29.82%,39.43%,41.46%,23.24%,24.90%
Depreciation & Amortization,47.32%,65.75%,34.34%,22.84%,18.15%
Total Operating Expenses,33.00%,44.72%,39.82%,23.15%,23.37%
Operating Income,16.71%,(2.06%),,"(19,778.03%)",(222.02%)
Interest Expense,(268.13%),(258.23%),(223.94%),(21.71%),(8.06%)
Interest And Investment Income,53.85%,100.00%,(2.50%),(56.41%),(58.86%)
Net Interest Expenses,,"(3,360.78%)",(480.54%),(36.57%),(19.55%)
"EBT, Excl. Unusual Items",15.60%,(5.52%),,(578.10%),(149.19%)
"EBT, Incl. Unusual Items",6.91%,(9.16%),,(560.88%),(135.92%)
Income Tax Expense,,,,(156.97%),-89.11%
Earnings From Continuing Operations,99.74%,(20.71%),,(739.50%),(236.08%)
Net Income to Company,99.74%,(20.71%),,(739.50%),(236.08%)
Net Income,99.74%,(20.71%),,(739.50%),(236.08%)
NI to Common Incl Extra Items,99.74%,(20.71%),,(739.50%),(236.08%)
NI to Common Excl. Extra Items,99.74%,(20.71%),,(739.50%),(236.08%)
Revenue Per Share,36.47%,42.18%,27.71%,37.08%,46.60%
Basic EPS,97.76%,(23.70%),,(744.06%),(231.64%)
Basic EPS - Continuing Ops,97.76%,(23.70%),,(744.06%),(231.64%)
Basic Weighted Average Shares Outst.,1.44%,3.65%,2.01%,1.18%,1.34%
Diluted EPS,93.10%,(24.11%),,(745.00%),(232.64%)
Diluted EPS - Continuing Ops,93.10%,(24.11%),,(745.00%),(232.64%)
Diluted Weighted Average Shares Outst.,2.38%,4.73%,(1.20%),1.18%,1.34%
Normalized Basic EPS,14.14%,(8.96%),,(590.87%),(145.89%)
Normalized Diluted EPS,13.50%,(9.31%),,(590.87%),(145.89%)
EBITDA,21.12%,15.97%,(50.23%),,
EBITA,20.21%,9.70%,(64.15%),,
EBIT,16.71%,(2.06%),,"(19,778.03%)",(222.02%)
EBITDAR,20.43%,18.97%,(43.63%),,
Effective Tax Rate,,,744.67%,,(95.39%)
Normalized Net Income,15.60%,(5.52%),,(578.10%),(149.19%)
Interest on Long-Term Debt,250.00%,257.14%,224.00%,22.22%,
R&D Expense From Footnotes,42.65%,52.47%,43.93%,17.93%,11.65%
