Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2392.9,2343.5,2265.7,2104.6,2053.9,2031.4
Total Revenues,2392.9,2343.5,2265.7,2104.6,2053.9,2031.4
Cost Of Revenues,1827.4,1824.1,1798.4,1693.7,1584.0,1518.2
Gross Profit,565.5,519.4,467.3,410.9,469.9,513.1
Selling General & Admin Expenses,288.0,312.6,316.3,314.0,324.4,316.2
Total Operating Expenses,305.6,329.6,332.2,327.1,336.0,325.1
Operating Income,259.9,189.8,135.0,83.7,133.9,188.0
Interest Expense,(22.2),(18.4),(13.9),(19.5),(15.3),(7.1)
Net Interest Expenses,(22.2),(18.4),(13.9),(19.5),(15.3),(7.1)
Currency Exchange Gains (Loss),(14.8),1.7,2.0,(1.9),(0.5),(0.5)
Other Non Operating Income (Expenses),(4.5),(4.9),(2.4),(2.7),(2.8),26.0
"EBT, Excl. Unusual Items",218.4,168.4,121.1,59.0,113.3,204.6
"EBT, Incl. Unusual Items",87.0,88.0,72.8,(56.7),31.8,78.5
Income Tax Expense,59.5,22.5,(2.0),(3.2),6.2,49.2
Earnings From Continuing Operations,27.6,65.5,74.7,(53.4),25.6,29.3
Earnings Of Discontinued Operations,19.9,1.9,(65.1),(129.9),(106.0),10.8
Net Income to Company,47.4,67.4,9.7,(183.3),(80.4),40.1
Net Income,47.4,67.4,9.7,(183.3),(80.4),40.1
NI to Common Incl Extra Items,47.4,67.4,9.7,(183.3),(80.4),40.1
NI to Common Excl. Extra Items,27.6,65.5,74.7,(53.4),25.6,29.3
Revenue Per Share,$23.20,$22.62,$21.82,$20.22,$19.82,$20.14
Basic EPS,$0.46,$0.65,$0.09,($1.76),($0.78),$0.40
Basic EPS - Continuing Ops,$0.27,$0.63,$0.72,($0.51),$0.25,$0.29
Basic Weighted Average Shares Outst.,103.1,103.6,103.8,104.1,103.6,100.9
Diluted EPS,$0.45,$0.65,$0.09,($1.76),($0.78),$0.40
Diluted EPS - Continuing Ops,$0.26,$0.63,$0.72,($0.51),$0.25,$0.29
Diluted Weighted Average Shares Outst.,104.2,104.2,104.5,104.1,103.9,101.6
Normalized Basic EPS,$1.32,$1.02,$0.73,$0.35,$0.68,$1.27
Normalized Diluted EPS,$1.31,$1.01,$0.72,$0.35,$0.68,$1.26
EBITDA,318.6,249.4,189.4,134.6,186.0,237.8
EBITA,277.4,206.8,151.0,96.9,145.6,199.7
EBIT,259.9,189.8,135.0,83.7,133.9,188.0
EBITDAR,351.0,284.5,,,207.8,
Effective Tax Rate,68.3%,25.5%,NM,NM,19.5%,62.6%
Normalized Net Income,136.5,105.3,75.7,36.9,70.8,127.9
Interest on Long-Term Debt,,,,,2.2,
R&D Expense From Footnotes,11.4,10.1,9.7,11.1,11.7,11.7
Foreign Sales,1155.6,1175.8,1126.9,1051.7,1037.7,
