Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(2.06%),(3.32%),(7.11%),(2.41%),(9.53%)
Total Revenues,(2.06%),(3.32%),(7.11%),(2.41%),(9.53%)
Cost Of Revenues,(0.18%),(1.41%),(5.82%),(6.48%),(13.51%)
Gross Profit,(8.15%),(10.04%),(12.07%),14.38%,4.73%
Selling General & Admin Expenses,8.53%,1.18%,(0.72%),3.30%,(8.80%)
Total Operating Expenses,7.86%,0.80%,(1.53%),2.71%,(10.06%)
Operating Income,(26.96%),(28.86%),(37.98%),59.93%,46.34%
Interest Expense,-16.97%,-24.37%,(39.83%),-21.21%,-77.79%
Net Interest Expenses,-16.97%,-24.37%,(39.83%),-21.21%,-77.79%
Currency Exchange Gains (Loss),,17.85%,,-70.74%,
Other Non Operating Income (Expenses),(8.26%),-51.72%,(16.40%),(1.61%),
"EBT, Excl. Unusual Items",(22.88%),(28.07%),(51.26%),91.88%,121.38%
"EBT, Incl. Unusual Items",1.13%,(17.31%),,,938.48%
Income Tax Expense,(62.21%),,(63.98%),,
Earnings From Continuing Operations,137.72%,14.04%,,,62.18%
Earnings Of Discontinued Operations,(90.49%),,(99.67%),-18.36%,
Net Income to Company,42.17%,(85.62%),,-56.14%,
Net Income,42.17%,(85.62%),,-56.14%,
NI to Common Incl Extra Items,42.17%,(85.62%),,-56.14%,
NI to Common Excl. Extra Items,137.72%,14.04%,,,62.18%
Revenue Per Share,(2.51%),(3.55%),(7.32%),(1.97%),(6.54%)
Basic EPS,41.48%,(85.64%),,-55.91%,
Basic EPS - Continuing Ops,134.28%,14.25%,,,67.54%
Basic Weighted Average Shares Outst.,0.46%,0.23%,0.22%,(0.44%),(3.20%)
Diluted EPS,44.03%,(85.64%),,-55.91%,
Diluted EPS - Continuing Ops,142.31%,14.25%,,,69.61%
Diluted Weighted Average Shares Outst.,0.06%,0.22%,(0.38%),(0.13%),(2.47%)
Normalized Basic EPS,(23.04%),(28.52%),(51.43%),95.24%,128.70%
Normalized Diluted EPS,(22.93%),(28.25%),(50.75%),94.64%,127.00%
EBITDA,(21.72%),(24.07%),(28.90%),38.16%,26.55%
EBITA,(25.46%),(27.00%),(35.83%),50.26%,39.35%
EBIT,(26.96%),(28.86%),(37.98%),59.93%,46.34%
EBITDAR,(18.94%),,,,
Effective Tax Rate,(62.64%),,,,
Normalized Net Income,(22.88%),(28.07%),(51.26%),91.88%,121.38%
R&D Expense From Footnotes,(10.78%),(4.28%),14.69%,4.79%,4.79%
Foreign Sales,1.75%,(4.16%),(6.68%),(1.33%),
