Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1562.7,1861.2,2002.6,1840.8,1760.3,1718.9
Total Revenues,1562.7,1861.2,2002.6,1840.8,1760.3,1718.9
Cost Of Revenues,1339.5,1610.6,1768.2,1612.9,1492.3,1441.8
Gross Profit,223.2,250.6,234.4,227.9,268.0,277.1
Selling General & Admin Expenses,105.4,126.7,136.6,150.0,150.8,160.7
Total Operating Expenses,105.4,126.7,136.6,150.0,150.8,160.7
Operating Income,117.8,123.9,97.8,77.9,117.2,116.4
Interest Expense,,(1.4),(3.1),(3.5),(1.4),(1.4)
Interest And Investment Income,2.6,10.5,5.4,10.6,13.5,15.6
Net Interest Expenses,2.6,9.1,2.3,7.1,12.1,14.3
"EBT, Excl. Unusual Items",120.4,133.0,100.1,85.0,129.3,130.6
"EBT, Incl. Unusual Items",120.4,133.0,99.9,85.1,129.2,135.4
Income Tax Expense,43.0,44.7,16.4,20.5,30.5,32.2
Earnings From Continuing Operations,77.4,88.2,83.5,64.6,98.7,103.1
Net Income to Company,77.4,88.2,83.5,64.6,98.7,103.1
Net Income,77.4,88.2,83.5,64.6,98.7,103.1
NI to Common Incl Extra Items,77.4,88.2,83.5,64.6,98.7,103.1
NI to Common Excl. Extra Items,77.4,88.2,83.5,64.6,98.7,103.1
Revenue Per Share,$21.48,$25.37,$27.06,$24.75,$23.57,$22.99
Basic EPS,$1.06,$1.20,$1.13,$0.87,$1.32,$1.38
Basic EPS - Continuing Ops,$1.06,$1.20,$1.13,$0.87,$1.32,$1.38
Basic Weighted Average Shares Outst.,72.8,73.4,74.0,74.4,74.7,74.8
Diluted EPS,$1.05,$1.19,$1.12,$0.87,$1.32,$1.38
Diluted EPS - Continuing Ops,$1.05,$1.19,$1.12,$0.87,$1.32,$1.38
Diluted Weighted Average Shares Outst.,73.5,74.3,74.6,74.6,74.8,74.9
Normalized Basic EPS,$1.03,$1.13,$0.85,$0.71,$1.08,$1.09
Normalized Diluted EPS,$1.02,$1.12,$0.84,$0.71,$1.08,$1.09
Dividend Per Share,$0.74,$0.76,$0.78,$0.80,$0.82,$0.82
Payout Ratio,68.92%,62.62%,68.48%,91.28%,61.52%,59.28%
EBITDA,125.2,132.8,107.1,86.9,125.9,125.0
EBITA,120.5,127.8,102.2,82.1,121.4,120.6
EBIT,117.8,123.9,97.8,77.9,117.2,116.4
EBITDAR,127.9,136.6,111.1,93.0,132.5,
Effective Tax Rate,35.7%,33.6%,16.4%,24.1%,23.6%,23.8%
Normalized Net Income,75.2,83.1,62.6,53.1,80.8,81.7
Interest on Long-Term Debt,,1.4,3.1,3.5,1.4,
