Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,19.10%,7.60%,(8.08%),(4.37%),(5.23%)
Total Revenues,19.10%,7.60%,(8.08%),(4.37%),(5.23%)
Cost Of Revenues,20.24%,9.78%,(8.78%),(7.47%),(8.33%)
Gross Profit,12.30%,(6.45%),(2.79%),17.59%,14.97%
Selling General & Admin Expenses,20.22%,7.79%,9.82%,0.50%,15.70%
Total Operating Expenses,20.22%,7.79%,9.82%,0.50%,15.70%
Operating Income,5.21%,(21.03%),(20.40%),50.50%,13.97%
Interest Expense,,(127.00%),(11.80%),-60.28%,-50.78%
Interest And Investment Income,296.92%,(48.68%),96.92%,27.46%,191.51%
Net Interest Expenses,245.18%,(75.02%),212.90%,70.17%,450.64%
"EBT, Excl. Unusual Items",10.46%,(24.72%),(15.11%),52.14%,24.78%
"EBT, Incl. Unusual Items",10.45%,(24.86%),(14.83%),51.81%,35.37%
Income Tax Expense,4.07%,(63.37%),25.20%,48.69%,32.17%
Earnings From Continuing Operations,13.99%,(5.33%),(22.68%),52.80%,36.41%
Net Income to Company,13.99%,(5.33%),(22.68%),52.80%,36.41%
Net Income,13.99%,(5.33%),(22.68%),52.80%,36.41%
NI to Common Incl Extra Items,13.99%,(5.33%),(22.68%),52.80%,36.41%
NI to Common Excl. Extra Items,13.99%,(5.33%),(22.68%),52.80%,36.41%
Revenue Per Share,18.12%,6.67%,(8.52%),(4.78%),(5.65%)
Basic EPS,13.46%,(5.94%),(23.14%),51.85%,35.80%
Basic EPS - Continuing Ops,13.46%,(5.94%),(23.14%),51.85%,35.80%
Basic Weighted Average Shares Outst.,0.83%,0.88%,0.49%,0.45%,0.44%
Diluted EPS,13.33%,(5.88%),(22.46%),51.72%,35.80%
Diluted EPS - Continuing Ops,13.33%,(5.88%),(22.46%),51.72%,35.80%
Diluted Weighted Average Shares Outst.,1.19%,0.36%,(0.03%),0.26%,0.40%
Normalized Basic EPS,10.00%,(25.18%),(15.97%),52.38%,24.22%
Normalized Diluted EPS,9.59%,(25.13%),(15.23%),52.20%,24.28%
Dividend Per Share,2.36%,2.30%,2.24%,2.19%,2.49%
Payout Ratio,(9.15%),9.37%,33.30%,(32.61%),(24.53%)
EBITDA,6.00%,(19.33%),(18.85%),44.82%,12.59%
EBITA,6.09%,(19.99%),(19.72%),47.92%,13.52%
EBIT,5.21%,(21.03%),(20.40%),50.50%,13.97%
EBITDAR,6.83%,(18.66%),(16.26%),42.37%,
Effective Tax Rate,(5.78%),(51.26%),47.00%,(2.06%),(2.37%)
Normalized Net Income,10.46%,(24.72%),(15.11%),52.14%,24.78%
Interest on Long-Term Debt,,127.00%,11.80%,(60.28%),
