Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,5.57%,2.46%,2.21%,0.13%,(3.77%)
Other Revenue,27.81%,(69.77%),46.38%,22.25%,2.91%
Total Revenues,5.77%,1.71%,2.35%,0.22%,(3.74%)
Property Expenses,2.51%,2.33%,2.51%,(6.71%),(9.73%)
Selling General & Admin Exp.,3.92%,0.90%,10.15%,(26.18%),(25.96%)
Depreciation & Amortization,3.49%,0.93%,5.63%,(0.54%),2.77%
Total Operating Expenses,3.06%,1.59%,4.51%,(5.52%),(5.48%)
Operating Income,13.03%,2.00%,(2.92%),15.31%,0.21%
Total Interest Expense,-9.84%,(3.35%),(14.32%),-0.84%,-5.62%
Net Interest Expenses,-7.00%,(3.35%),(14.32%),-0.84%,-5.62%
Other Non Operating Income,,(15.02%),14.28%,(11.28%),12.47%
"EBT, Excl. Unusual Items",28.97%,1.05%,(11.45%),25.44%,3.64%
Gain (Loss) on Sale of Assets,265.75%,(30.50%),4.99%,446.34%,(57.54%)
Asset Writedown,,-70.73%,"(1,282.74%)",-69.60%,-69.60%
Other Unusual Items,,,,(474.06%),0.00%
"EBT, Incl. Unusual Items",56.40%,(7.32%),(20.24%),152.62%,(31.18%)
Earnings From Continuing Operations,56.40%,(7.32%),(20.24%),152.62%,(31.18%)
Net Income to Company,(64.58%),(7.32%),(20.24%),152.62%,(31.18%)
Minority Interest,-62.62%,-7.99%,-17.77%,(120.61%),-25.89%
Net Income,(64.64%),(7.30%),(20.32%),153.73%,(31.34%)
Pref. Dividends and Other Adj.,(0.36%),0.00%,(0.16%),0.00%,0.00%
NI to Common Incl Extra Items,(64.95%),(7.40%),(20.62%),156.58%,(31.58%)
NI to Common Excl. Extra Items,77.21%,(7.40%),(20.62%),156.58%,(31.58%)
Revenue Per Share,1.41%,0.90%,2.14%,0.04%,(3.89%)
Basic EPS,(66.40%),(8.03%),(20.95%),155.42%,(31.70%)
Basic EPS - Continuing Ops,69.62%,(8.03%),(20.95%),155.42%,(31.70%)
Basic Weighted Average Shares Outst.,4.31%,0.74%,0.24%,0.18%,0.16%
Diluted EPS,(66.42%),(8.05%),(20.96%),155.36%,(31.69%)
Diluted EPS - Continuing Ops,69.50%,(8.05%),(20.96%),155.36%,(31.69%)
Diluted Weighted Average Shares Outst.,4.14%,0.64%,0.17%,0.25%,0.23%
Normalized Basic EPS,53.81%,1.59%,(10.95%),19.61%,6.80%
Normalized Diluted EPS,52.56%,1.49%,(11.00%),18.11%,6.73%
Dividend Per Share,3.63%,4.63%,2.42%,0.52%,0.52%
Payout Ratio,206.14%,14.06%,29.15%,(60.11%),47.05%
FFO,7.58%,2.42%,(3.11%),7.69%,0.99%
FFO Payout Ratio %,0.73%,3.29%,6.26%,(6.01%),(0.00%)
AFFO,7.58%,2.42%,(3.11%),7.69%,
Funds Available for Distribution,7.58%,2.42%,(3.11%),7.69%,
FFO Per Share (Diluted),3.35%,1.77%,(3.48%),7.51%,0.76%
FFO Shares (Diluted),4.14%,0.64%,0.17%,0.25%,0.23%
Adjusted FFO Per Share (Diluted),3.22%,1.64%,(3.39%),7.52%,
EBITDA,10.20%,2.58%,1.25%,8.22%,(0.58%)
EBITA,13.78%,1.58%,(3.43%),15.88%,0.21%
EBIT,13.03%,2.00%,(2.92%),15.31%,0.21%
EBITDAR,10.00%,2.56%,1.24%,8.20%,
Normalized Net Income,59.54%,1.76%,(11.00%),19.22%,6.97%
Interest Capitalized,7.32%,(23.86%),(16.42%),48.21%,
