Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,403.4,479.2,630.6,658.3,625.3,618.1
Total Interest Income,436.5,520.3,685.4,718.0,676.0,666.4
Interest On Deposits,15.9,33.8,79.6,114.1,63.1,46.6
Total Interest On Borrowings,14.7,30.6,44.8,40.7,30.3,28.9
Total Interest Expense,30.6,64.3,124.4,154.8,93.4,75.5
Net Interest Income,406.0,455.9,561.0,563.2,582.6,590.9
Service Charges On Deposits,25.0,24.9,26.9,25.9,21.4,19.8
Trust Income,1.5,1.7,1.6,1.6,1.6,1.7
Total Mortgage Banking Activities,14.4,13.3,12.4,14.3,29.1,34.6
Gain (Loss) on Sale of Assets,0.7,(1.0),(0.1),(0.0),0.3,0.2
Gain (Loss) on Sale of Invest. & Securities,0.7,2.1,0.5,(0.0),(2.8),9.0
Total Other Non Interest Income,44.2,53.0,58.7,55.4,59.6,66.4
Total Non Interest Income,87.1,95.8,102.8,99.5,110.9,133.3
Revenue Before Loan Losses,493.0,551.7,663.8,662.7,693.5,724.2
Provision For Loan Losses,18.6,11.4,4.3,1.3,111.4,16.8
Total Revenues,474.4,540.4,659.5,661.4,582.1,707.4
Salaries And Other Employee Benefits,95.3,112.7,134.5,143.5,155.3,158.1
Occupancy Expense,26.1,30.1,34.0,26.2,28.2,28.6
Total Selling General & Admin Expenses,20.5,21.9,28.0,40.9,40.9,42.2
Total Other Non Interest Expense,43.3,49.2,61.1,64.4,78.3,76.9
Total Non Interest Expense,185.2,213.9,257.5,274.9,302.7,305.8
"EBT, Excl. Unusual Items",289.2,326.5,402.0,386.5,279.4,401.6
Restructuring Charges,(2.3),(0.0),,,,
Asset Writedown,,,,,(1.0),(1.0)
Other Unusual Items,(3.8),(29.6),(0.5),(0.9),,
"EBT, Incl. Unusual Items",282.6,271.1,395.5,385.6,277.7,400.6
Income Tax Expense,105.5,136.0,95.1,96.1,63.3,95.1
Earnings From Continuing Operations,177.1,135.1,300.4,289.5,214.4,305.5
Net Income to Company,177.1,135.1,300.4,289.5,214.4,305.5
Net Income,177.1,135.1,300.4,289.5,214.4,305.5
Net Income to Common Incl Extra Items,177.1,135.1,300.4,289.5,214.4,305.5
Net Income to Common Excl. Extra Items,177.1,135.1,300.4,289.5,214.4,305.5
Revenue Per Share,$3.38,$3.58,$3.80,$3.94,$3.52,$4.28
Basic EPS,$1.26,$0.90,$1.73,$1.73,$1.30,$1.85
Basic EPS - Continuing Ops,$1.26,$0.90,$1.73,$1.73,$1.30,$1.85
Basic Weighted Average Shares Outst.,140.4,150.8,173.7,167.8,165.4,165.2
Diluted EPS,$1.26,$0.89,$1.73,$1.73,$1.30,$1.85
Diluted EPS - Continuing Ops,$1.26,$0.89,$1.73,$1.73,$1.30,$1.85
Diluted Weighted Average Shares Outst.,140.7,151.5,174.1,167.8,165.4,165.2
Normalized Basic EPS,$1.29,$1.35,$1.45,$1.44,$1.06,$1.52
Normalized Diluted EPS,$1.28,$1.35,$1.44,$1.44,$1.06,$1.52
Dividend Per Share,$0.34,$0.40,$0.46,$0.51,$0.53,$0.54
Payout Ratio,27.15%,44.69%,26.59%,29.57%,40.88%,
Effective Tax Rate,37.3%,50.2%,24.0%,24.9%,22.8%,23.7%
Normalized Net Income,180.8,204.1,251.3,241.6,174.6,251.0
Interest on Long-Term Debt,1.6,15.1,20.6,20.9,19.6,
