Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,18.79%,31.60%,4.40%,(5.01%),(5.29%)
Total Interest Income,19.18%,31.74%,4.76%,(5.85%),(6.22%)
Interest On Deposits,112.09%,135.63%,43.37%,(44.69%),(57.73%)
Total Interest On Borrowings,108.62%,46.44%,(9.16%),(25.50%),(21.69%)
Total Interest Expense,110.43%,93.26%,24.46%,(39.65%),(48.70%)
Net Interest Income,12.30%,23.05%,0.39%,3.43%,4.87%
Service Charges On Deposits,(0.51%),7.74%,(3.43%),(17.54%),(24.50%)
Trust Income,15.17%,(7.51%),0.90%,4.28%,7.25%
Total Mortgage Banking Activities,(7.73%),(6.83%),15.54%,103.21%,138.88%
Gain (Loss) on Sale of Assets,,-87.50%,-97.50%,,
Gain (Loss) on Sale of Invest. & Securities,218.68%,(76.59%),,"(140,900.00%)",
Total Other Non Interest Income,19.81%,10.75%,(5.64%),7.56%,11.03%
Total Non Interest Income,10.08%,7.31%,(3.22%),11.48%,34.96%
Revenue Before Loan Losses,11.91%,20.32%,(0.17%),4.64%,9.36%
Provision For Loan Losses,(38.95%),(61.96%),(69.34%),"8,309.21%",(80.91%)
Total Revenues,13.91%,22.05%,0.29%,(11.99%),23.22%
Salaries And Other Employee Benefits,18.18%,19.35%,6.69%,8.28%,8.78%
Occupancy Expense,15.03%,12.99%,(22.99%),7.83%,8.84%
Total Selling General & Admin Expenses,7.07%,27.75%,46.03%,0.01%,3.02%
Total Other Non Interest Expense,13.80%,24.12%,5.40%,21.51%,7.25%
Total Non Interest Expense,15.48%,20.41%,6.75%,10.11%,7.57%
"EBT, Excl. Unusual Items",12.90%,23.12%,(3.85%),(27.71%),38.57%
Restructuring Charges,-97.94%,,,,
Other Unusual Items,(670.02%),-98.41%,(90.85%),,
"EBT, Incl. Unusual Items",(4.09%),45.90%,(2.50%),(27.99%),38.57%
Income Tax Expense,28.91%,(30.06%),1.01%,(34.17%),35.02%
Earnings From Continuing Operations,(23.74%),122.38%,(3.62%),(25.93%),39.71%
Net Income to Company,(23.74%),122.38%,(3.62%),(25.93%),39.71%
Net Income,(23.74%),122.38%,(3.62%),(25.93%),39.71%
Net Income to Common Incl Extra Items,(23.74%),122.38%,(3.62%),(25.93%),39.71%
Net Income to Common Excl. Extra Items,(23.74%),122.38%,(3.62%),(25.93%),39.71%
Revenue Per Share,6.01%,6.09%,3.73%,(10.67%),24.51%
Basic EPS,(28.91%),92.21%,(0.26%),(25.04%),41.17%
Basic EPS - Continuing Ops,(28.91%),92.21%,(0.26%),(25.04%),41.17%
Basic Weighted Average Shares Outst.,7.40%,15.15%,(3.37%),(1.45%),(1.03%)
Diluted EPS,(29.37%),94.37%,(0.26%),(25.04%),41.10%
Diluted EPS - Continuing Ops,(29.37%),94.37%,(0.26%),(25.04%),41.10%
Diluted Weighted Average Shares Outst.,7.69%,14.91%,(3.63%),(1.45%),(1.01%)
Normalized Basic EPS,4.90%,7.17%,(0.72%),(26.67%),40.02%
Normalized Diluted EPS,5.21%,6.88%,(0.03%),(26.67%),39.98%
Dividend Per Share,17.65%,15.00%,10.87%,3.92%,3.85%
Payout Ratio,64.62%,(40.51%),11.22%,38.26%,
Effective Tax Rate,34.39%,(52.07%),3.60%,(8.60%),(2.56%)
Normalized Net Income,12.90%,23.12%,(3.85%),(27.71%),38.57%
Interest on Long-Term Debt,850.22%,36.02%,1.32%,(5.99%),
