Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,28.68%,25.15%,85.21%,37.89%,37.89%
Total Revenues,28.68%,25.15%,85.21%,37.89%,37.89%
Cost Of Revenues,31.37%,12.09%,94.33%,54.42%,54.42%
Gross Profit,26.85%,34.30%,79.87%,27.44%,27.44%
Selling General & Admin Expenses,25.42%,29.61%,67.12%,28.65%,28.65%
R&D Expenses,22.39%,28.02%,121.29%,60.89%,60.89%
Total Operating Expenses,23.57%,28.60%,109.41%,54.68%,54.68%
Operating Income,32.04%,42.73%,40.49%,(26.68%),(26.68%)
Interest Expense,-0.36%,-1.46%,"(9,074.81%)",(40.81%),(40.81%)
Interest And Investment Income,,,203.44%,(82.30%),(82.30%)
Net Interest Expenses,,,,(79.34%),(79.34%)
Other Non Operating Income (Expenses),,,(48.20%),-11.07%,-11.07%
"EBT, Excl. Unusual Items",33.47%,43.49%,13.17%,(49.67%),(49.67%)
"EBT, Incl. Unusual Items",30.08%,45.28%,(43.08%),(90.41%),(90.41%)
Income Tax Expense,(64.88%),(60.24%),81.92%,,
Earnings From Continuing Operations,79.56%,56.03%,(46.33%),(77.73%),(77.73%)
Net Income to Company,79.56%,56.03%,(46.33%),(77.73%),(77.73%)
Net Income,79.56%,56.03%,(46.33%),(77.73%),(77.73%)
NI to Common Incl Extra Items,79.56%,56.03%,(46.33%),(77.73%),(77.73%)
NI to Common Excl. Extra Items,79.56%,56.03%,(46.33%),(77.73%),(77.73%)
Revenue Per Share,25.20%,21.92%,70.69%,24.45%,24.50%
Basic EPS,74.53%,51.28%,(50.69%),(79.83%),(79.89%)
Basic EPS - Continuing Ops,74.53%,51.28%,(50.69%),(79.83%),(79.89%)
Basic Weighted Average Shares Outst.,2.88%,2.54%,8.39%,10.76%,10.76%
Diluted EPS,75.00%,51.95%,(50.43%),(79.48%),(79.48%)
Diluted EPS - Continuing Ops,75.00%,51.95%,(50.43%),(79.48%),(79.48%)
Diluted Weighted Average Shares Outst.,3.27%,2.45%,8.02%,10.56%,10.56%
Normalized Basic EPS,31.09%,40.86%,4.24%,(54.36%),(54.56%)
Normalized Diluted EPS,27.81%,39.94%,4.72%,(54.68%),(54.48%)
EBITDA,29.36%,36.22%,71.58%,19.12%,19.12%
EBITA,29.01%,36.61%,68.47%,15.61%,15.61%
EBIT,32.04%,42.73%,40.49%,(26.68%),(26.68%)
EBITDAR,28.75%,35.68%,70.54%,21.65%,
Effective Tax Rate,(73.00%),(72.64%),219.74%,,
Normalized Net Income,33.47%,43.49%,13.17%,(49.67%),(49.67%)
Interest on Long-Term Debt,(0.36%),(1.46%),"9,074.81%",40.81%,
R&D Expense From Footnotes,22.39%,28.02%,121.29%,60.89%,60.89%
