Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2655.2,2743.7,2848.0,2907.3,2881.0,2975.9
Total Revenues,2655.2,2743.7,2848.0,2907.3,2881.0,2975.9
Cost Of Revenues,1378.3,1418.3,1453.8,1482.3,1405.9,1423.4
Gross Profit,1276.9,1325.4,1394.2,1425.0,1475.1,1552.5
Selling General & Admin Expenses,834.3,851.7,770.7,798.3,825.0,844.6
R&D Expenses,133.5,133.7,135.6,139.5,136.5,139.9
Total Operating Expenses,967.8,985.4,1013.2,1060.2,1070.5,1093.4
Operating Income,309.1,340.0,381.0,364.8,404.6,459.1
Interest Expense,(90.4),(88.9),(95.0),(89.6),(74.0),(70.4)
Interest And Investment Income,,,1.4,0.9,0.8,6.7
Net Interest Expenses,(90.4),(88.9),(93.6),(88.7),(73.2),(63.7)
Currency Exchange Gains (Loss),(0.2),(0.2),0.3,0.6,(2.6),(6.9)
"EBT, Excl. Unusual Items",218.5,250.9,287.7,276.7,328.8,388.5
"EBT, Incl. Unusual Items",138.3,183.0,197.2,208.6,271.2,349.7
Income Tax Expense,15.5,50.7,(55.2),56.4,48.2,67.5
Earnings From Continuing Operations,122.8,132.3,252.4,152.2,223.0,282.2
Net Income to Company,122.8,132.3,252.4,152.2,223.0,282.2
Minority Interest,1.3,1.3,,,,
Net Income,124.1,133.6,252.4,152.2,223.0,282.2
NI to Common Incl Extra Items,124.1,133.6,252.4,152.2,223.0,282.2
NI to Common Excl. Extra Items,124.1,133.6,252.4,152.2,223.0,282.2
Revenue Per Share,$40.64,$41.83,$43.00,$43.54,$43.24,$44.77
Basic EPS,$1.90,$2.04,$3.81,$2.28,$3.35,$4.25
Basic EPS - Continuing Ops,$1.90,$2.04,$3.81,$2.28,$3.35,$4.25
Basic Weighted Average Shares Outst.,65.3,65.6,66.2,66.8,66.6,66.5
Diluted EPS,$1.86,$1.99,$3.73,$2.25,$3.32,$4.21
Diluted EPS - Continuing Ops,$1.86,$1.99,$3.73,$2.25,$3.32,$4.21
Diluted Weighted Average Shares Outst.,66.6,67.2,67.6,67.7,67.2,67.0
Normalized Basic EPS,$2.11,$2.41,$2.71,$2.59,$3.08,$3.65
Normalized Diluted EPS,$2.07,$2.35,$2.66,$2.56,$3.06,$3.62
Dividend Per Share,$0.67,$0.71,$0.78,$0.83,$0.87,$0.90
Payout Ratio,35.29%,34.88%,20.52%,36.40%,26.01%,21.19%
EBITDA,491.9,530.8,566.4,549.3,574.2,632.0
EBITA,405.0,448.4,487.9,487.2,513.6,568.0
EBIT,309.1,340.0,381.0,364.8,404.6,459.1
EBITDAR,523.6,568.8,,590.6,614.0,
Effective Tax Rate,11.2%,27.7%,NM,27.0%,17.8%,19.3%
Normalized Net Income,137.9,158.1,179.8,172.9,205.5,242.8
R&D Expense From Footnotes,133.5,133.7,135.6,139.5,136.5,139.9
Foreign Sales,825.8,856.1,891.6,850.5,914.2,
