Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3505.2,3668.8,4481.7,4591.0,4186.0,4174.1
Total Revenues,3505.2,3668.8,4481.7,4591.0,4186.0,4174.1
Cost Of Revenues,2372.6,2500.0,3173.1,3216.0,2957.4,2971.4
Gross Profit,1132.6,1168.8,1308.6,1375.0,1228.6,1202.7
Selling General & Admin Expenses,607.8,623.0,730.2,754.9,679.1,655.8
Total Operating Expenses,607.8,623.0,730.2,754.9,679.1,655.8
Operating Income,524.8,545.8,578.4,620.1,549.5,546.9
Interest Expense,(43.4),(44.9),(72.4),(69.4),(60.3),(60.4)
Interest And Investment Income,0.5,0.9,0.1,1.5,,
Net Interest Expenses,(42.9),(44.0),(72.3),(67.9),(60.3),(60.4)
Other Non Operating Income (Expenses),(16.5),(21.6),(17.6),(16.4),(11.6),(10.2)
"EBT, Excl. Unusual Items",465.4,480.2,488.5,535.8,477.6,476.3
"EBT, Incl. Unusual Items",430.4,443.1,467.0,520.5,453.5,455.1
Income Tax Expense,132.6,193.2,100.9,113.1,97.5,95.7
Earnings From Continuing Operations,297.8,249.9,366.1,407.4,356.0,359.4
Net Income to Company,297.8,249.9,366.1,407.4,356.0,359.4
Minority Interest,(4.8),(6.8),(5.9),(6.5),(4.8),(5.5)
Net Income,293.0,243.1,360.2,400.9,351.2,353.9
Preferred Dividend and Other Adjustments,0.9,0.8,1.3,1.5,1.3,1.3
NI to Common Incl Extra Items,292.1,242.3,358.9,399.4,349.9,352.6
NI to Common Excl. Extra Items,292.1,242.3,358.9,399.4,349.9,352.6
Revenue Per Share,$63.16,$66.95,$82.08,$84.39,$77.23,$77.05
Basic EPS,$5.26,$4.42,$6.57,$7.34,$6.46,$6.51
Basic EPS - Continuing Ops,$5.26,$4.42,$6.57,$7.34,$6.46,$6.51
Basic Weighted Average Shares Outst.,55.5,54.8,54.6,54.4,54.2,54.2
Diluted EPS,$5.24,$4.39,$6.54,$7.31,$6.43,$6.48
Diluted EPS - Continuing Ops,$5.24,$4.39,$6.54,$7.31,$6.43,$6.48
Diluted Weighted Average Shares Outst.,55.7,55.1,54.9,54.7,54.5,54.5
Normalized Basic EPS,$5.15,$5.35,$5.48,$6.04,$5.42,$5.39
Normalized Diluted EPS,$5.14,$5.32,$5.45,$6.00,$5.39,$5.36
Dividend Per Share,$2.59,$2.87,$3.15,$3.43,$3.71,$3.78
Payout Ratio,49.15%,64.83%,47.83%,46.55%,57.35%,57.95%
EBITDA,610.5,638.4,720.4,762.1,696.9,698.0
EBITA,557.1,580.7,647.3,692.1,624.9,623.9
EBIT,524.8,545.8,578.4,620.1,549.5,546.9
EBITDAR,639.3,668.9,765.2,801.2,734.0,
Effective Tax Rate,30.8%,43.6%,21.6%,21.7%,21.5%,21.0%
Normalized Net Income,286.1,293.3,299.4,328.4,293.7,292.2
Foreign Earnings,58.7,83.0,78.9,66.9,56.8,
Foreign Sales,357.8,387.9,441.1,400.5,325.6,
