Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(1.55%),10.94%,7.61%,(36.22%),(44.39%)
Total Revenues,(1.55%),10.94%,7.61%,(36.22%),(44.39%)
Cost Of Revenues,(1.26%),13.14%,6.65%,(26.39%),(33.05%)
Gross Profit,(2.27%),5.26%,10.26%,(62.57%),(75.26%)
Selling General & Admin Expenses,(3.68%),(3.82%),8.70%,(23.69%),(26.65%)
R&D Expenses,5.33%,13.16%,1.07%,(17.52%),(20.50%)
Total Operating Expenses,(1.61%),0.35%,6.59%,(22.07%),(24.94%)
Operating Income,(2.64%),8.07%,12.22%,(83.07%),
Interest Expense,(23.98%),(37.59%),(20.69%),-8.13%,-11.87%
Net Interest Expenses,(23.98%),(37.59%),(20.69%),-8.13%,-11.87%
"EBT, Excl. Unusual Items",(4.11%),6.22%,10.55%,(92.54%),
"EBT, Incl. Unusual Items",(4.00%),3.86%,13.06%,,
Income Tax Expense,(52.93%),47.06%,22.88%,,
Earnings From Continuing Operations,13.69%,(2.61%),10.85%,(89.66%),
Net Income to Company,13.69%,(2.61%),10.85%,(89.66%),
Net Income,13.69%,(2.61%),10.85%,(89.66%),
NI to Common Incl Extra Items,13.69%,(2.61%),10.85%,(89.66%),
NI to Common Excl. Extra Items,13.69%,(2.61%),10.85%,(89.66%),
Revenue Per Share,0.83%,14.35%,11.43%,(35.39%),(43.93%)
Basic EPS,16.53%,0.54%,14.64%,(89.52%),
Basic EPS - Continuing Ops,16.53%,0.54%,14.64%,(89.52%),
Basic Weighted Average Shares Outst.,(2.37%),(2.98%),(3.41%),(1.30%),(0.83%)
Diluted EPS,16.60%,0.65%,14.79%,(89.40%),
Diluted EPS - Continuing Ops,16.60%,0.65%,14.79%,(89.40%),
Diluted Weighted Average Shares Outst.,(2.44%),(3.16%),(3.60%),(2.10%),(1.76%)
Normalized Basic EPS,(1.64%),9.59%,14.27%,(92.44%),
Normalized Diluted EPS,(1.75%),9.70%,14.46%,(92.37%),
Dividend Per Share,9.30%,17.02%,16.36%,(73.44%),(100.00%)
Payout Ratio,(5.84%),16.65%,1.02%,153.36%,(100.00%)
EBITDA,0.37%,10.31%,12.93%,(62.44%),(75.39%)
EBITA,(2.64%),8.07%,14.04%,(81.74%),(99.51%)
EBIT,(2.64%),8.07%,12.22%,(83.07%),
EBITDAR,0.49%,10.43%,12.91%,(60.66%),
Effective Tax Rate,(50.97%),41.56%,8.69%,939.40%,287.78%
Normalized Net Income,(4.11%),6.22%,10.55%,(92.54%),
Interest Capitalized,,,33.68%,5.51%,
R&D Expense From Footnotes,5.33%,13.16%,1.07%,(17.52%),(20.50%)
Foreign Sales,(1.00%),9.38%,(2.15%),(35.98%),
