Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.04%,8.83%,8.29%,(3.61%),(0.30%)
Total Revenues,11.04%,8.83%,8.29%,(3.61%),(0.30%)
Cost Of Revenues,9.85%,5.54%,8.16%,(4.65%),(3.79%)
Gross Profit,13.19%,14.62%,8.50%,(1.93%),5.45%
Selling General & Admin Expenses,2.53%,9.27%,14.86%,1.90%,2.52%
Depreciation & Amortization,5.92%,4.62%,(9.24%),(8.26%),(12.01%)
Total Operating Expenses,4.03%,7.17%,4.25%,(1.99%),(2.97%)
Operating Income,22.69%,21.18%,11.81%,(1.89%),11.85%
Interest Expense,0.00%,(0.26%),(43.93%),(0.54%),-14.52%
Net Interest Expenses,0.00%,(0.26%),(43.93%),(0.54%),-14.52%
Currency Exchange Gains (Loss),,0.00%,,(50.00%),(50.00%)
Other Non Operating Income (Expenses),(16.67%),(80.00%),200.00%,333.33%,(9.09%)
"EBT, Excl. Unusual Items",28.51%,24.97%,6.58%,(2.06%),18.30%
"EBT, Incl. Unusual Items",28.51%,24.97%,6.50%,(1.98%),18.40%
Income Tax Expense,(39.04%),75.56%,10.40%,(9.86%),10.00%
Earnings From Continuing Operations,70.07%,13.82%,5.17%,0.83%,21.37%
Net Income to Company,70.07%,13.82%,5.17%,0.83%,21.37%
Net Income,70.07%,13.82%,5.17%,0.83%,21.37%
NI to Common Incl Extra Items,70.07%,13.82%,5.17%,0.83%,21.37%
NI to Common Excl. Extra Items,70.07%,13.82%,5.17%,0.83%,21.37%
Revenue Per Share,,8.82%,8.25%,(4.11%),(0.94%)
Basic EPS,,13.81%,4.95%,0.18%,20.61%
Basic EPS - Continuing Ops,,13.81%,4.95%,0.18%,20.61%
Basic Weighted Average Shares Outst.,,0.00%,0.00%,0.52%,0.64%
Diluted EPS,,14.17%,5.11%,0.00%,21.32%
Diluted EPS - Continuing Ops,,14.17%,5.11%,0.00%,21.32%
Diluted Weighted Average Shares Outst.,,0.00%,0.22%,0.52%,0.41%
Normalized Basic EPS,,25.38%,6.90%,(2.62%),17.55%
Normalized Diluted EPS,,24.72%,6.11%,(2.55%),17.82%
EBITDA,17.41%,16.47%,6.44%,(3.27%),6.52%
EBITA,18.76%,17.73%,10.46%,(3.37%),8.62%
EBIT,22.69%,21.18%,11.81%,(1.89%),11.85%
EBITDAR,19.31%,15.43%,4.97%,0.85%,
Effective Tax Rate,(52.57%),40.49%,3.65%,(8.05%),(7.09%)
Normalized Net Income,28.51%,24.97%,6.58%,(2.06%),18.30%
Interest on Long-Term Debt,,,,12.50%,
Foreign Earnings,12.63%,33.64%,16.08%,(7.83%),
Foreign Sales,(8.04%),16.91%,20.47%,(0.53%),
