Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,606.0,908.0,1392.0,1726.0,1133.0,1154.0
Total Interest Expense,79.0,225.0,463.0,643.0,261.0,233.0
Net Interest Income,527.0,683.0,929.0,1083.0,872.0,921.0
Brokerage Commission,612.0,647.0,777.0,706.0,1112.0,1255.0
Trading and Principal Transactions,163.0,40.0,,,,
Gain (Loss) on Sale of Investments,25.0,4.0,(2.0),17.0,81.0,188.0
Other Revenue,109.0,207.0,218.0,189.0,172.0,187.0
Revenue Before Loan Losses,1436.0,1581.0,1922.0,1995.0,2237.0,2551.0
Total Revenues,1436.0,1581.0,1922.0,1995.0,2237.0,2551.0
Salaries & Other Empl. Benefits,242.0,245.0,264.0,288.0,325.0,342.0
Cost of Services Provided,387.0,381.0,439.0,448.0,521.0,539.0
Provision for Bad Debts,6.0,2.0,4.0,2.0,12.0,7.0
Total Operating Expenses,635.0,628.0,707.0,738.0,858.0,888.0
Operating Income,801.0,953.0,1215.0,1257.0,1379.0,1663.0
Currency Exchange Gains (Loss),(40.0),110.0,(19.0),(60.0),(19.0),28.0
Other Non Operating Income,,,,2.0,,
"EBT, Excl. Unusual Items",761.0,1063.0,1196.0,1199.0,1360.0,1691.0
Restructuring Charges,,(25.0),,,,
Gain (Loss) on Sale of Assets,,11.0,,,,
Other Unusual Items,,,,(42.0),(104.0),(104.0)
"EBT, Incl. Unusual Items",761.0,1049.0,1196.0,1157.0,1256.0,1587.0
Income Tax Expense,62.0,256.0,71.0,68.0,77.0,112.0
Earnings From Continuing Operations,699.0,793.0,1125.0,1089.0,1179.0,1475.0
Net Income to Company,699.0,793.0,1125.0,1089.0,1179.0,1475.0
Minority Interest,(615.0),(717.0),(956.0),(928.0),(984.0),"(1,219.0)"
Net Income,84.0,76.0,169.0,161.0,195.0,256.0
NI to Common Incl Extra Items,84.0,76.0,169.0,161.0,195.0,256.0
NI to Common Excl. Extra Items,84.0,76.0,169.0,161.0,195.0,256.0
Revenue Per Share,$21.75,$22.61,$26.17,$26.21,$27.98,$30.57
Basic EPS,$1.27,$1.09,$2.30,$2.12,$2.44,$3.07
Basic EPS - Continuing Ops,$1.27,$1.09,$2.30,$2.12,$2.44,$3.07
Basic Weighted Average Shares Outst.,66.0,69.9,73.4,76.1,79.9,83.4
Diluted EPS,$1.25,$1.07,$2.28,$2.10,$2.42,$3.03
Diluted EPS - Continuing Ops,$1.25,$1.07,$2.28,$2.10,$2.42,$3.03
Diluted Weighted Average Shares Outst.,67.3,70.9,74.3,76.8,80.6,84.2
Normalized Basic EPS,($2.11),($0.75),($2.84),($2.35),($1.68),($1.94)
Normalized Diluted EPS,($2.07),($0.74),($2.81),($2.33),($1.66),($1.93)
Dividend Per Share,$0.40,$0.40,$0.40,$0.40,$0.40,$0.40
Payout Ratio,30.95%,36.84%,17.16%,19.25%,16.41%,
Effective Tax Rate,8.1%,24.4%,5.9%,5.9%,6.1%,7.1%
Normalized Net Income,(139.4),(52.6),(208.5),(178.6),(134.0),(162.1)
Foreign Sales,350.0,309.0,402.0,413.0,634.0,
