Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.79%,1.61%,(1.73%),0.33%,6.91%
"Other Revenues, Total",72.22%,(9.21%),(17.43%),(1.57%),(1.76%)
Total Revenues,6.93%,1.58%,(1.78%),0.32%,6.89%
Fuel & Purchased Power,6.40%,4.99%,(5.31%),(1.74%),16.49%
Operations And Maintenance,(0.74%),5.12%,(2.38%),(1.04%),(2.45%)
Depreciation & Amortization,12.83%,1.91%,2.43%,1.44%,1.73%
Other Operating Expenses,15.74%,1.45%,(1.08%),3.38%,3.39%
Total Operating Expenses,5.54%,4.26%,(2.81%),(0.56%),6.13%
Operating Income,11.99%,(7.63%),2.21%,3.59%,9.62%
"Interest Expense, Total",(0.23%),(3.96%),(1.12%),(1.88%),(4.21%)
Interest and Investment Income,(13.30%),44.76%,45.96%,(53.39%),(53.39%)
Net Interest Expenses,(0.92%),(2.17%),-1.65%,(6.96%),(9.57%)
Allow. For Equity Funds Used For Const.,(5.66%),17.17%,11.33%,9.00%,7.21%
Allow. For Borrowed Funds Used For Const.,(14.71%),16.76%,5.44%,8.18%,9.31%
Other Non-Operating Inc. (Exp.),(3.61%),40.21%,27.20%,24.35%,25.92%
"EBT, Excl. Unusual Items",11.65%,(6.47%),5.28%,3.43%,9.11%
"EBT, Incl. Unusual Items",11.65%,(6.47%),5.28%,3.43%,9.11%
Income Tax Expense,33.57%,(64.27%),40.96%,17.11%,24.17%
Earnings From Continuing Operations,7.62%,6.72%,2.55%,1.99%,7.52%
Net Income to Company,7.62%,6.72%,2.55%,1.99%,7.52%
Minority Interest,,-6.11%,-34.35%,(16.24%),(12.42%)
Net Income,7.13%,6.77%,2.67%,1.96%,7.51%
NI to Common Incl Extra Items,7.13%,6.77%,2.67%,1.96%,7.51%
NI to Common Excl. Extra Items,7.13%,6.77%,2.67%,1.96%,7.51%
Revenue Per Share,6.80%,1.42%,(1.91%),0.25%,6.79%
Basic EPS,7.05%,6.57%,2.46%,1.90%,7.41%
Basic EPS - Continuing Ops,7.05%,6.57%,2.46%,1.90%,7.41%
Basic Weighted Average Shares Outst.,0.13%,0.14%,0.14%,0.07%,0.09%
Diluted EPS,6.85%,6.65%,2.67%,1.74%,7.36%
Diluted EPS - Continuing Ops,6.85%,6.65%,2.67%,1.74%,7.36%
Diluted Weighted Average Shares Outst.,0.10%,0.17%,0.05%,0.07%,0.09%
Normalized Basic EPS,10.77%,(6.48%),5.35%,3.36%,9.00%
Normalized Diluted EPS,11.01%,(6.62%),5.28%,3.29%,9.00%
Dividend Per Share,7.69%,7.14%,6.67%,6.25%,6.15%
Payout Ratio,0.58%,0.52%,4.02%,4.23%,(1.21%)
EBITDA,12.22%,(4.26%),2.42%,2.70%,6.48%
EBITA,11.99%,(7.63%),2.21%,3.59%,9.62%
EBIT,11.99%,(7.63%),2.21%,3.59%,9.62%
Effective Tax Rate,19.66%,(61.79%),33.87%,13.29%,13.80%
Normalized Net Income,10.98%,(6.47%),5.47%,3.39%,9.10%
Interest Capitalized,(14.71%),16.76%,5.44%,8.18%,
Interest on Long-Term Debt,(0.92%),3.95%,(2.31%),2.18%,
