Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,827.2,972.0,1158.8,1362.5,2380.1,3044.2
Total Revenues,827.2,972.0,1158.8,1362.5,2380.1,3044.2
Cost Of Revenues,514.4,583.7,696.6,841.1,1472.8,1745.8
Gross Profit,312.8,388.4,462.2,521.3,907.3,1298.4
Selling General & Admin Expenses,160.6,173.5,208.6,217.9,396.6,447.1
R&D Expenses,60.4,96.8,116.9,139.2,339.1,346.8
Total Operating Expenses,221.0,270.3,325.4,357.1,735.7,793.9
Operating Income,91.8,118.1,136.8,164.3,171.6,504.5
Interest Expense,(3.1),(6.8),(18.4),(22.4),(89.4),(71.4)
Interest And Investment Income,1.2,,,,,
Net Interest Expenses,(1.9),(6.8),(18.4),(22.4),(89.4),(71.4)
Currency Exchange Gains (Loss),,,,,(14.4),(14.4)
Other Non Operating Income (Expenses),(0.0),2.3,0.2,(0.7),6.6,19.5
"EBT, Excl. Unusual Items",90.0,114.3,122.2,144.4,77.1,441.1
"EBT, Incl. Unusual Items",90.0,118.8,122.2,128.8,(63.9),300.1
Income Tax Expense,24.5,23.5,34.2,21.3,3.1,33.5
Earnings From Continuing Operations,65.5,95.3,88.0,107.5,(67.0),266.5
Net Income to Company,65.5,95.3,88.0,107.5,(67.0),266.5
Net Income,65.5,95.3,88.0,107.5,(67.0),266.5
NI to Common Incl Extra Items,65.5,95.3,88.0,107.5,(67.0),286.9
NI to Common Excl. Extra Items,65.5,95.3,88.0,107.5,(67.0),286.9
Revenue Per Share,$13.48,$15.53,$18.54,$21.43,$28.06,$30.21
Basic EPS,$1.07,$1.52,$1.41,$1.69,($0.79),$2.85
Basic EPS - Continuing Ops,$1.07,$1.52,$1.41,$1.69,($0.79),$2.85
Basic Weighted Average Shares Outst.,61.4,62.6,62.5,63.6,84.8,100.8
Diluted EPS,$1.04,$1.48,$1.35,$1.63,($0.79),$2.34
Diluted EPS - Continuing Ops,$1.04,$1.48,$1.35,$1.63,($0.79),$2.34
Diluted Weighted Average Shares Outst.,62.9,64.5,65.1,65.8,84.8,110.1
Normalized Basic EPS,$0.92,$1.14,$1.22,$1.42,$0.57,$2.74
Normalized Diluted EPS,$0.89,$1.11,$1.17,$1.37,$0.57,$2.50
EBITDA,148.5,181.7,217.5,256.6,392.5,779.8
EBITA,104.2,130.8,151.3,180.9,235.8,568.7
EBIT,91.8,118.1,136.8,164.3,171.6,504.5
EBITDAR,162.7,196.4,,,424.6,
Effective Tax Rate,27.2%,19.8%,28.0%,16.5%,NM,11.2%
Normalized Net Income,56.2,71.4,76.4,90.3,48.2,275.7
Interest on Long-Term Debt,3.1,6.8,18.4,22.4,89.4,
R&D Expense From Footnotes,69.9,105.5,129.6,153.9,355.5,363.2
Foreign Sales,560.9,677.8,785.1,957.1,947.6,
