Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,17.51%,19.21%,17.58%,74.68%,52.47%
Total Revenues,17.51%,19.21%,17.58%,74.68%,52.47%
Cost Of Revenues,13.47%,19.34%,20.75%,75.10%,39.35%
Gross Profit,24.15%,19.01%,12.80%,74.02%,74.57%
Selling General & Admin Expenses,8.00%,20.21%,4.48%,81.99%,44.98%
R&D Expenses,60.40%,20.73%,19.07%,143.65%,26.22%
Total Operating Expenses,22.31%,20.40%,9.72%,106.02%,36.14%
Operating Income,28.58%,15.85%,20.11%,4.45%,214.14%
Interest Expense,(121.00%),(169.53%),(22.15%),(298.84%),(2.68%)
Net Interest Expenses,(261.99%),(169.53%),(22.15%),(298.84%),(2.68%)
Currency Exchange Gains (Loss),,,,,(214.75%)
Other Non Operating Income (Expenses),,(91.77%),,,"1,735.40%"
"EBT, Excl. Unusual Items",27.05%,6.92%,18.18%,(46.60%),387.23%
"EBT, Incl. Unusual Items",32.05%,2.87%,5.42%,,
Income Tax Expense,(3.90%),45.41%,(37.72%),(85.44%),64.76%
Earnings From Continuing Operations,45.49%,(7.63%),22.18%,,
Net Income to Company,45.49%,(7.63%),22.18%,,
Net Income,45.49%,(7.63%),22.18%,,
NI to Common Incl Extra Items,45.49%,(7.63%),22.18%,,
NI to Common Excl. Extra Items,45.49%,(7.63%),22.18%,,
Revenue Per Share,15.24%,19.39%,15.58%,30.93%,17.88%
Basic EPS,42.29%,(7.36%),19.93%,,
Basic EPS - Continuing Ops,42.29%,(7.36%),19.93%,,
Basic Weighted Average Shares Outst.,1.97%,(0.12%),1.74%,33.41%,29.35%
Diluted EPS,42.31%,(8.78%),20.74%,,
Diluted EPS - Continuing Ops,42.31%,(8.78%),20.74%,,
Diluted Weighted Average Shares Outst.,2.54%,0.97%,1.03%,28.91%,41.30%
Normalized Basic EPS,24.08%,7.19%,16.35%,(59.99%),276.69%
Normalized Diluted EPS,24.42%,5.63%,17.23%,(58.53%),244.82%
EBITDA,22.37%,19.73%,17.97%,52.93%,134.56%
EBITA,25.58%,15.70%,19.53%,30.34%,170.07%
EBIT,28.58%,15.85%,20.11%,4.45%,214.14%
EBITDAR,20.73%,,,,
Effective Tax Rate,(27.22%),41.39%,(40.91%),,
Normalized Net Income,27.05%,6.92%,18.18%,(46.60%),387.23%
Interest on Long-Term Debt,121.00%,169.53%,22.15%,298.84%,
R&D Expense From Footnotes,51.04%,22.81%,18.74%,131.03%,25.47%
Foreign Sales,20.86%,15.82%,21.91%,(0.99%),
