Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5704.0,6244.0,6289.0,6209.0,5987.0,6058.0
Total Revenues,5704.0,6244.0,6289.0,6209.0,5987.0,6058.0
Cost Of Revenues,4303.0,4763.0,4921.0,4897.0,4709.0,4752.0
Gross Profit,1401.0,1481.0,1368.0,1312.0,1278.0,1306.0
Selling General & Admin Expenses,578.0,610.0,607.0,611.0,623.0,622.0
Other Operating Expense/(Income),(4.0),(9.0),(10.0),3.0,2.0,(2.0)
Total Operating Expenses,574.0,601.0,597.0,614.0,625.0,620.0
Operating Income,827.0,880.0,771.0,698.0,653.0,686.0
Interest Expense,(73.0),(79.0),(81.0),(84.0),(68.0),(69.0)
Interest And Investment Income,10.0,11.0,9.0,7.0,6.0,6.0
Net Interest Expenses,(63.0),(68.0),(72.0),(77.0),(62.0),(63.0)
Currency Exchange Gains (Loss),(3.0),(5.0),(14.0),(4.0),(14.0),(14.0)
"EBT, Excl. Unusual Items",761.0,807.0,685.0,617.0,577.0,609.0
"EBT, Incl. Unusual Items",742.0,769.0,621.0,582.0,506.0,182.0
Income Tax Expense,246.0,237.0,167.0,158.0,152.0,149.0
Earnings From Continuing Operations,496.0,532.0,454.0,424.0,354.0,33.0
Net Income to Company,496.0,532.0,454.0,424.0,354.0,33.0
Minority Interest,(11.0),(13.0),(11.0),(11.0),(6.0),(6.0)
Net Income,485.0,519.0,443.0,413.0,348.0,27.0
NI to Common Incl Extra Items,485.0,519.0,443.0,413.0,348.0,27.0
NI to Common Excl. Extra Items,485.0,519.0,443.0,413.0,348.0,27.0
Revenue Per Share,$78.89,$86.72,$88.70,$92.81,$89.09,$90.08
Basic EPS,$6.71,$7.21,$6.25,$6.17,$5.18,$0.40
Basic EPS - Continuing Ops,$6.71,$7.21,$6.25,$6.17,$5.18,$0.40
Basic Weighted Average Shares Outst.,72.3,72.0,70.9,66.9,67.2,67.3
Diluted EPS,$6.55,$7.06,$6.17,$6.13,$5.15,$0.39
Diluted EPS - Continuing Ops,$6.55,$7.06,$6.17,$6.13,$5.15,$0.39
Diluted Weighted Average Shares Outst.,74.1,73.5,71.8,67.4,67.6,67.5
Normalized Basic EPS,$6.43,$6.82,$5.88,$5.60,$5.28,$5.57
Normalized Diluted EPS,$6.27,$6.69,$5.81,$5.56,$5.25,$5.55
Dividend Per Share,$1.90,$2.20,$2.45,$2.51,$2.54,$2.55
Payout Ratio,29.07%,31.79%,39.05%,42.13%,48.85%,633.33%
EBITDA,1023.0,1089.0,1018.0,908.0,858.0,889.0
EBITA,852.0,910.0,801.0,727.0,683.0,716.0
EBIT,827.0,880.0,771.0,698.0,653.0,686.0
EBITDAR,1076.0,,,990.0,949.0,
Effective Tax Rate,33.2%,30.8%,26.9%,27.1%,30.0%,81.9%
Normalized Net Income,464.6,491.4,417.1,374.6,354.6,374.6
Interest Capitalized,4.0,4.0,3.0,5.0,7.0,
R&D Expense From Footnotes,41.0,43.0,46.0,44.0,43.0,43.0
Foreign Earnings,,964.0,864.0,804.0,781.0,
Foreign Sales,3587.0,3821.0,3903.0,3841.0,3703.0,
