Income Statement,Oct 2016,Oct 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1162.3,1097.3,869.7,950.1,1021.5,1052.4
Total Revenues,1162.3,1097.3,869.7,950.1,1021.5,1052.4
Cost Of Revenues,737.1,695.4,501.6,606.7,708.8,682.7
Gross Profit,425.1,401.9,368.1,343.4,312.7,369.7
Selling General & Admin Expenses,154.7,117.3,104.8,76.4,80.8,73.1
Depreciation & Amortization,72.8,67.4,59.4,55.2,52.8,50.6
Other Operating Expense/(Income),2.5,5.7,4.8,5.1,1.9,2.8
Total Operating Expenses,229.9,190.4,169.0,136.7,135.5,126.5
Operating Income,195.2,211.5,199.1,206.7,177.2,243.1
Interest Expense,(24.6),(38.1),(45.5),(59.7),(67.3),(67.6)
Interest And Investment Income,0.3,,,1.1,0.5,0.1
Net Interest Expenses,(24.3),(38.1),(45.5),(58.7),(66.7),(67.5)
"EBT, Excl. Unusual Items",170.9,173.3,153.5,148.0,110.5,175.6
"EBT, Incl. Unusual Items",167.2,203.9,186.1,115.8,122.1,179.0
Income Tax Expense,60.7,75.3,81.7,24.0,32.7,46.7
Earnings From Continuing Operations,106.5,128.6,104.3,91.7,89.4,132.4
Earnings Of Discontinued Operations,17.6,6.8,17.0,2.7,0.4,0.4
Net Income to Company,124.1,135.3,121.4,94.4,89.8,132.7
Net Income,124.1,135.3,121.4,94.4,89.8,132.7
NI to Common Incl Extra Items,124.1,135.3,121.4,94.4,89.8,132.7
NI to Common Excl. Extra Items,106.5,128.6,104.3,91.7,89.4,132.4
Revenue Per Share,$34.45,$35.82,$30.52,$36.79,$44.17,$45.89
Basic EPS,$3.68,$4.42,$4.26,$3.66,$3.88,$5.79
Basic EPS - Continuing Ops,$3.16,$4.20,$3.66,$3.55,$3.87,$5.77
Basic Weighted Average Shares Outst.,33.7,30.6,28.5,25.8,23.1,22.9
Diluted EPS,$3.64,$4.38,$4.21,$3.62,$3.86,$5.76
Diluted EPS - Continuing Ops,$3.12,$4.16,$3.62,$3.52,$3.84,$5.74
Diluted Weighted Average Shares Outst.,34.1,30.9,28.8,26.1,23.3,23.0
Normalized Basic EPS,$3.17,$3.54,$3.37,$3.58,$2.99,$4.79
Normalized Diluted EPS,$3.13,$3.50,$3.33,$3.55,$2.97,$4.76
Dividend Per Share,$1.20,$1.60,$1.60,$1.60,$1.20,$1.20
Payout Ratio,32.48%,36.15%,37.42%,43.60%,30.68%,20.50%
EBITDA,268.0,279.0,259.3,263.9,233.1,296.5
EBITA,195.4,211.6,199.9,208.7,180.3,245.9
EBIT,195.2,211.5,199.1,206.7,177.2,243.1
EBITDAR,313.5,321.4,445.7,450.7,427.1,
Effective Tax Rate,36.3%,36.9%,43.9%,20.8%,26.8%,26.1%
Normalized Net Income,106.8,108.3,95.9,92.5,69.1,109.7
Interest on Long-Term Debt,24.6,,,86.0,67.3,
R&D Expense From Footnotes,,,,3.5,,
