Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1488.0,1618.7,1890.9,2161.8,2363.6,2436.4
Total Revenues,1488.0,1618.7,1890.9,2161.8,2363.6,2436.4
Cost Of Revenues,105.4,110.2,121.5,127.9,148.9,160.4
Gross Profit,1382.6,1508.5,1769.4,2033.8,2214.7,2276.0
Selling General & Admin Expenses,480.1,544.2,625.3,736.9,854.2,906.3
R&D Expenses,160.4,198.4,226.6,299.7,335.4,325.8
Total Operating Expenses,742.5,894.7,1053.4,1391.5,1449.2,1497.1
Operating Income,640.1,613.8,715.9,642.3,765.5,778.9
Interest Expense,(61.9),(77.8),(77.1),(72.3),(94.6),(103.5)
Net Interest Expenses,(61.9),(77.8),(77.1),(72.3),(94.6),(103.5)
Currency Exchange Gains (Loss),3.4,(10.0),(6.9),(5.8),(3.3),(1.2)
"EBT, Excl. Unusual Items",581.2,525.1,629.8,560.2,664.6,675.2
"EBT, Incl. Unusual Items",532.1,440.1,527.3,450.2,272.1,621.1
Income Tax Expense,135.2,(47.7),80.2,(73.2),33.5,102.8
Earnings From Continuing Operations,396.8,487.8,447.1,523.4,238.6,518.3
Net Income to Company,396.8,487.8,447.1,523.4,238.6,518.3
Net Income,396.8,487.8,447.1,523.4,238.6,518.3
NI to Common Incl Extra Items,396.8,487.8,447.1,523.4,238.6,518.3
NI to Common Excl. Extra Items,396.8,487.8,447.1,523.4,238.6,518.3
Revenue Per Share,$24.59,$26.97,$31.53,$38.09,$42.42,$43.63
Basic EPS,$6.56,$8.13,$7.45,$9.22,$4.28,$9.28
Basic EPS - Continuing Ops,$6.56,$8.13,$7.45,$9.22,$4.28,$9.28
Basic Weighted Average Shares Outst.,60.5,60.0,60.0,56.7,55.7,55.8
Diluted EPS,$6.41,$7.96,$7.30,$9.09,$4.22,$9.07
Diluted EPS - Continuing Ops,$6.41,$7.96,$7.30,$9.09,$4.22,$9.07
Diluted Weighted Average Shares Outst.,61.9,61.3,61.2,57.6,56.5,57.1
Normalized Basic EPS,$6.00,$5.47,$6.56,$6.17,$7.46,$7.56
Normalized Diluted EPS,$5.87,$5.35,$6.43,$6.08,$7.35,$7.39
EBITDA,753.9,779.0,932.7,1012.5,1043.7,1062.7
EBITA,742.1,765.9,917.4,997.2,1025.0,1043.8
EBIT,640.1,613.8,715.9,642.3,765.5,778.9
EBITDAR,767.4,,,1037.4,1069.3,
Effective Tax Rate,25.4%,NM,15.2%,NM,12.3%,16.6%
Normalized Net Income,363.2,328.2,393.6,350.1,415.4,422.0
Interest on Long-Term Debt,,81.9,95.4,92.8,110.8,
R&D Expense From Footnotes,285.0,432.5,427.9,653.4,846.2,634.4
Foreign Sales,1379.7,1618.7,1890.9,2161.8,2363.6,
