Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.97%,9.17%,5.49%,(64.90%),(74.76%)
Other Revenues,23.04%,10.36%,11.19%,(27.27%),(33.54%)
Total Revenues,6.50%,9.21%,5.69%,(63.47%),(73.09%)
Cost Of Revenues,16.04%,16.36%,4.38%,(33.81%),(38.88%)
Gross Profit,(6.54%),(2.92%),8.36%,,
Selling General & Admin Expenses,3.04%,8.49%,(1.36%),(62.07%),(71.12%)
Depreciation & Amortization,7.89%,10.61%,11.94%,1.90%,(3.52%)
Other Operating Expense/(Income),7.62%,13.73%,4.34%,(31.10%),(35.45%)
Total Operating Expenses,6.90%,12.05%,5.38%,(26.76%),(31.58%)
Operating Income,(22.78%),(27.95%),16.12%,,
Interest Expense,-40.78%,-1.64%,(8.33%),(155.38%),(187.14%)
Interest And Investment Income,(14.29%),116.67%,38.46%,,
Net Interest Expenses,-42.71%,-14.55%,0.00%,(253.19%),(318.75%)
Other Non Operating Income (Expenses),,,,,"(1,000.00%)"
"EBT, Excl. Unusual Items",(21.13%),(28.76%),19.57%,,
"EBT, Incl. Unusual Items",(21.13%),(76.14%),250.68%,,
Income Tax Expense,,,563.33%,,
Earnings From Continuing Operations,56.81%,(83.42%),201.06%,,
Net Income to Company,56.81%,(83.42%),201.06%,,
Net Income,56.81%,(83.42%),201.06%,,
NI to Common Incl Extra Items,56.81%,(83.42%),201.06%,,
NI to Common Excl. Extra Items,56.81%,(83.42%),201.06%,,
Revenue Per Share,5.76%,14.74%,11.52%,(60.95%),(72.87%)
Basic EPS,55.53%,(82.59%),219.73%,,
Basic EPS - Continuing Ops,55.53%,(82.59%),219.73%,,
Basic Weighted Average Shares Outst.,0.67%,(4.81%),(5.21%),(6.44%),(0.79%)
Diluted EPS,61.97%,(82.61%),218.33%,,
Diluted EPS - Continuing Ops,61.97%,(82.61%),218.33%,,
Diluted Weighted Average Shares Outst.,(3.45%),(4.81%),(5.12%),(7.00%),(1.27%)
Normalized Basic EPS,(21.73%),(25.35%),25.79%,,
Normalized Diluted EPS,(18.47%),(25.31%),25.99%,,
EBITDA,(16.35%),(17.11%),14.50%,,
EBITA,(24.22%),(27.95%),16.12%,,
EBIT,(22.78%),(27.95%),16.12%,,
EBITDAR,(1.72%),(11.00%),9.91%,,
Effective Tax Rate,,,89.13%,9.89%,7.61%
Normalized Net Income,(21.13%),(28.76%),19.57%,,
Interest Capitalized,25.00%,0.00%,40.00%,(7.14%),
Interest on Long-Term Debt,(36.04%),(1.41%),12.86%,126.58%,
Foreign Sales,7.82%,12.87%,8.32%,(56.64%),
