Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,(0.49%),4.51%,0.22%,1.75%,1.72%
Total Revenues,(0.49%),4.51%,0.22%,1.75%,1.72%
Cost Of Revenues,0.48%,5.19%,1.68%,4.83%,0.90%
Gross Profit,(0.85%),4.26%,(0.33%),0.56%,2.06%
Selling General & Admin Expenses,(2.70%),1.66%,2.54%,4.32%,2.90%
Total Operating Expenses,(2.58%),1.44%,3.05%,4.83%,3.60%
Operating Income,7.50%,16.57%,(13.18%),(18.74%),(5.16%)
Interest Expense,(1.38%),-21.63%,(21.45%),(54.82%),-31.67%
Interest And Investment Income,,,295.40%,54.98%,"2,748.85%"
Net Interest Expenses,(22.80%),-25.23%,(8.27%),(54.79%),-44.61%
Currency Exchange Gains (Loss),(10.99%),,-53.07%,,-44.10%
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",2.91%,17.57%,(12.20%),(19.86%),0.22%
"EBT, Incl. Unusual Items",9.34%,11.94%,(0.46%),,
Income Tax Expense,167.05%,(71.93%),105.51%,(74.95%),(75.87%)
Earnings From Continuing Operations,(22.05%),69.11%,(12.45%),,
Net Income to Company,(22.05%),69.11%,(12.45%),,
Net Income,(22.05%),69.11%,(12.45%),,
NI to Common Incl Extra Items,(22.05%),69.11%,(12.45%),,
NI to Common Excl. Extra Items,(22.05%),69.11%,(12.45%),,
Revenue Per Share,0.65%,5.06%,(0.05%),3.54%,2.59%
Basic EPS,(21.04%),70.16%,(12.70%),,
Basic EPS - Continuing Ops,(21.04%),70.16%,(12.70%),,
Basic Weighted Average Shares Outst.,(1.14%),(0.51%),0.26%,(1.72%),(0.85%)
Diluted EPS,(21.37%),70.26%,(12.35%),,
Diluted EPS - Continuing Ops,(21.37%),70.26%,(12.35%),,
Diluted Weighted Average Shares Outst.,(0.91%),(0.53%),(0.08%),(2.82%),(1.76%)
Normalized Basic EPS,4.18%,18.26%,(12.55%),(18.41%),1.07%
Normalized Diluted EPS,4.07%,18.09%,(12.23%),(17.36%),2.01%
Dividend Per Share,3.33%,3.23%,3.13%,3.03%,1.30%
Payout Ratio,31.29%,(39.22%),17.64%,,
EBITDA,6.25%,12.53%,(8.54%),(11.20%),2.56%
EBITA,6.06%,13.15%,(9.18%),(12.53%),(0.90%)
EBIT,7.50%,16.57%,(13.18%),(18.74%),(5.16%)
EBITDAR,4.98%,10.01%,(8.47%),(9.99%),
Effective Tax Rate,144.20%,(74.93%),106.55%,,
Normalized Net Income,2.91%,17.57%,(12.20%),(19.86%),0.22%
Interest on Long-Term Debt,1.38%,(21.63%),21.45%,54.82%,
R&D Expense From Footnotes,1.39%,3.04%,(10.51%),(2.98%),(4.60%)
Foreign Sales,10.57%,(5.33%),(1.71%),2.34%,
