Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(2.27%),17.79%,14.78%,2.27%,(2.48%)
Total Revenues,(2.27%),17.79%,14.78%,2.27%,(2.48%)
Cost Of Revenues,(6.56%),16.00%,15.18%,2.31%,(2.08%)
Gross Profit,60.22%,33.03%,11.82%,1.99%,(5.54%)
Selling General & Admin Expenses,83.46%,20.49%,15.99%,(1.76%),(9.17%)
Total Operating Expenses,83.46%,20.49%,15.99%,(1.76%),(9.17%)
Operating Income,38.30%,48.72%,7.59%,6.09%,(1.53%)
Interest Expense,(61.54%),(214.29%),(50.00%),-16.16%,-15.46%
Net Interest Expenses,(61.54%),(214.29%),(50.00%),-16.16%,-15.46%
Currency Exchange Gains (Loss),,-18.18%,,0.00%,
Other Non Operating Income (Expenses),275.00%,(80.00%),(66.67%),,-100.00%
"EBT, Excl. Unusual Items",4.64%,19.76%,(14.81%),10.28%,(0.37%)
"EBT, Incl. Unusual Items",648.48%,60.32%,(32.32%),,(0.80%)
Income Tax Expense,,,(31.40%),(55.93%),2.38%
Earnings From Continuing Operations,,(29.55%),(32.58%),,(2.41%)
Net Income to Company,,(29.55%),(32.58%),,(2.41%)
Minority Interest,-20.00%,(262.50%),-75.86%,(200.00%),-92.00%
Net Income,,(34.95%),(28.11%),,36.21%
Preferred Dividend and Other Adjustments,,(40.00%),(16.67%),,
NI to Common Incl Extra Items,,(34.92%),(28.19%),,39.08%
NI to Common Excl. Extra Items,,(34.92%),(28.19%),,39.08%
Revenue Per Share,(1.59%),18.64%,13.97%,1.56%,(2.83%)
Basic EPS,,(34.40%),(28.54%),,38.59%
Basic EPS - Continuing Ops,,(34.40%),(28.54%),,38.59%
Basic Weighted Average Shares Outst.,(0.70%),(0.71%),0.71%,0.71%,0.35%
Diluted EPS,,(34.54%),(29.15%),,37.74%
Diluted EPS - Continuing Ops,,(34.54%),(29.15%),,37.74%
Diluted Weighted Average Shares Outst.,(0.70%),0.00%,0.71%,0.00%,0.18%
Normalized Basic EPS,7.48%,7.57%,(4.30%),0.94%,15.02%
Normalized Diluted EPS,7.48%,6.81%,(4.12%),1.90%,15.23%
Dividend Per Share,0.00%,0.00%,0.00%,25.00%,20.59%
Payout Ratio,,50.27%,45.42%,,(9.03%)
EBITDA,30.65%,45.27%,7.08%,8.20%,4.06%
EBITA,39.35%,49.07%,7.14%,8.12%,1.11%
EBIT,38.30%,48.72%,7.59%,6.09%,(1.53%)
EBITDAR,12.35%,,,3.69%,
Effective Tax Rate,,,1.36%,,3.21%
Normalized Net Income,6.43%,6.55%,(3.51%),1.49%,15.43%
Interest on Long-Term Debt,,,950.00%,0.00%,
Foreign Sales,1.30%,21.42%,10.59%,(6.75%),
