Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,31.56%,20.81%,33.05%,45.86%,43.30%
Total Interest And Dividend Income,41.16%,48.43%,28.33%,29.69%,25.55%
Gain (Loss) on Sale of Investments,(14.20%),,,59.93%,
Other Revenues,(97.79%),300.00%,116.67%,"2,338.46%","1,884.38%"
Total Revenues,31.89%,18.92%,42.22%,45.59%,59.80%
Policy Benefits,46.11%,23.50%,32.43%,55.58%,47.88%
Policy Acquisition / Underwriting Costs,9.83%,18.40%,29.26%,33.76%,34.23%
Other Operating Expenses,(66.14%),(60.84%),(66.07%),"2,312.28%","8,580.95%"
Total Operating Expenses,47.11%,22.51%,32.04%,49.88%,44.11%
Operating Income,(5.67%),5.09%,87.87%,32.03%,131.33%
"EBT, Excl. Unusual Items",(2.57%),5.09%,87.87%,32.03%,131.33%
"EBT, Incl. Unusual Items",(2.57%),5.09%,87.87%,32.03%,131.33%
Income Tax Expense,1.88%,(50.86%),90.27%,(5.82%),125.75%
Earnings From Continuing Operations,(4.84%),35.69%,87.40%,39.65%,132.30%
Net Income to Company,(4.84%),35.69%,87.40%,39.65%,132.30%
Net Income,(4.84%),35.69%,87.40%,39.65%,132.30%
NI to Common Incl Extra Items,(4.84%),35.69%,87.40%,39.65%,132.30%
NI to Common Excl. Extra Items,(4.84%),35.69%,87.40%,39.65%,132.30%
Revenue Per Share,127.56%,18.33%,39.35%,40.46%,54.85%
Basic EPS,64.75%,34.63%,83.82%,34.75%,125.11%
Basic EPS - Continuing Ops,64.75%,34.63%,83.82%,34.75%,125.11%
Basic Weighted Average Shares Outst.,(42.11%),0.47%,2.08%,3.67%,3.19%
Diluted EPS,61.11%,34.48%,83.33%,35.31%,127.04%
Diluted EPS - Continuing Ops,61.11%,34.48%,83.33%,35.31%,127.04%
Diluted Weighted Average Shares Outst.,(41.20%),0.87%,2.08%,3.23%,2.62%
Normalized Basic EPS,68.66%,4.31%,83.99%,27.23%,124.18%
Normalized Diluted EPS,64.69%,4.17%,83.53%,27.73%,125.44%
Dividend Per Share,140.00%,16.67%,14.29%,12.50%,15.15%
Payout Ratio,152.64%,(13.64%),(37.39%),(16.54%),(48.89%)
EBITDA,(5.87%),5.32%,86.65%,32.91%,131.66%
EBITA,(5.67%),5.09%,87.87%,32.03%,131.33%
EBIT,(5.67%),5.09%,87.87%,32.03%,131.33%
Effective Tax Rate,4.58%,(53.24%),1.30%,(28.69%),(2.41%)
Normalized Net Income,(2.57%),5.09%,87.87%,32.03%,131.33%
