Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1028.1,2199.5,4809.7,4395.3,4369.2,4475.2
Other Revenues,89.9,226.0,534.4,448.6,304.7,296.9
Total Revenues,1118.0,2425.5,5344.1,4844.0,4673.9,4772.1
Cost Of Revenues,783.0,1801.1,3974.4,3557.6,3217.7,3253.9
Gross Profit,335.1,624.3,1369.7,1286.3,1456.2,1518.2
Selling General & Admin Expenses,34.4,95.2,215.4,194.3,192.8,194.2
Depreciation & Amortization,115.7,193.7,387.5,420.1,460.8,470.5
Other Operating Expense/(Income),44.1,88.5,188.6,195.2,183.7,181.5
Total Operating Expenses,194.7,390.8,834.1,852.5,883.2,892.3
Operating Income,140.4,233.6,535.6,433.8,573.0,625.9
Interest Expense,(0.9),(8.7),(30.2),(29.4),(17.3),(14.7)
Interest And Investment Income,0.3,1.2,3.2,3.8,1.9,1.4
Net Interest Expenses,(0.6),(7.5),(27.0),(25.6),(15.4),(13.3)
Other Non Operating Income (Expenses),0.4,0.6,10.0,12.3,7.7,16.4
"EBT, Excl. Unusual Items",140.2,226.6,518.6,420.6,565.3,629.0
"EBT, Incl. Unusual Items",152.8,193.7,552.0,414.0,560.3,645.1
Income Tax Expense,57.6,(291.7),131.4,103.8,149.7,170.5
Earnings From Continuing Operations,95.2,485.4,420.6,310.2,410.6,474.7
Net Income to Company,95.2,485.4,420.6,310.2,410.6,474.7
Minority Interest,(1.4),(1.1),(1.4),(1.0),(0.6),(0.3)
Net Income,93.9,484.3,419.3,309.2,410.0,474.4
NI to Common Incl Extra Items,93.9,484.3,419.3,309.2,410.0,474.4
NI to Common Excl. Extra Items,93.9,484.3,419.3,309.2,410.0,474.4
Revenue Per Share,$13.91,$21.92,$30.19,$28.24,$27.54,$28.25
Basic EPS,$1.17,$4.38,$2.37,$1.80,$2.42,$2.81
Basic EPS - Continuing Ops,$1.17,$4.38,$2.37,$1.80,$2.42,$2.81
Basic Weighted Average Shares Outst.,80.4,110.7,177.0,171.5,169.7,168.9
Diluted EPS,$1.16,$4.34,$2.36,$1.80,$2.40,$2.79
Diluted EPS - Continuing Ops,$1.16,$4.34,$2.36,$1.80,$2.40,$2.79
Diluted Weighted Average Shares Outst.,81.2,111.7,178.0,172.1,170.5,169.8
Normalized Basic EPS,$1.07,$1.27,$1.82,$1.53,$2.08,$2.33
Normalized Diluted EPS,$1.06,$1.26,$1.81,$1.52,$2.07,$2.31
Dividend Per Share,$0.24,$0.24,$0.24,$0.24,$0.32,$0.32
Payout Ratio,20.88%,5.26%,10.20%,13.40%,13.32%,11.44%
EBITDA,256.5,440.7,965.7,896.8,1079.6,1142.5
EBITA,140.9,246.9,578.2,476.7,618.9,672.1
EBIT,140.4,233.6,535.6,433.8,573.0,625.9
EBITDAR,261.6,514.9,1143.1,1019.5,1166.3,
Effective Tax Rate,37.7%,NM,23.8%,25.1%,26.7%,26.4%
Normalized Net Income,86.3,140.5,322.7,261.9,352.7,392.8
Interest on Long-Term Debt,0.9,8.7,30.2,29.4,17.3,
