Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,10.36%,3.59%,25.87%,7.97%,7.40%
Tenant Reimbursements,25.34%,5.78%,,,
Other Revenue,310.87%,13.33%,13.39%,(44.54%),(63.01%)
Total Revenues,12.77%,3.94%,12.06%,7.28%,6.43%
Property Expenses,16.21%,3.96%,20.44%,2.70%,1.59%
Selling General & Admin Exp.,6.23%,49.34%,(2.58%),(8.48%),(0.20%)
Depreciation & Amortization,13.19%,3.41%,7.41%,9.58%,6.93%
Total Operating Expenses,14.21%,9.51%,9.61%,4.16%,3.76%
Operating Income,9.36%,(9.89%),19.48%,15.91%,13.54%
Total Interest Expense,(18.34%),-24.71%,-2.38%,(45.81%),(52.04%)
Interest and Investment Income,211.96%,,,(26.22%),70.53%
Net Interest Expenses,(12.02%),-17.87%,-11.72%,(53.43%),(50.98%)
"EBT, Excl. Unusual Items",8.29%,(6.59%),30.85%,6.69%,3.65%
Gain (Loss) on Sale of Assets,(75.64%),287.30%,(76.22%),(3.44%),"1,239.12%"
Other Unusual Items,,(137.63%),,,0.00%
"EBT, Incl. Unusual Items",(40.55%),53.88%,(22.56%),(3.69%),205.82%
Earnings From Continuing Operations,(40.55%),53.88%,(22.56%),(3.69%),205.82%
Net Income to Company,(40.55%),53.88%,(22.56%),(3.69%),205.82%
Minority Interest,(59.87%),(21.92%),(1.41%),(2.03%),(18.89%)
Net Income,(43.97%),56.98%,(24.37%),(4.27%),225.13%
Pref. Dividends and Other Adj.,(10.25%),(86.93%),5.74%,5.19%,(4.74%)
NI to Common Incl Extra Items,(46.05%),71.77%,(24.60%),(4.37%),227.65%
NI to Common Excl. Extra Items,(46.05%),71.77%,(24.60%),(4.37%),227.65%
Revenue Per Share,6.21%,1.98%,8.49%,(2.18%),(3.62%)
Basic EPS,(49.29%),68.74%,(26.82%),(12.70%),196.72%
Basic EPS - Continuing Ops,(49.29%),68.74%,(26.82%),(12.70%),196.72%
Basic Weighted Average Shares Outst.,6.25%,1.89%,3.23%,9.73%,10.43%
Diluted EPS,(49.16%),68.87%,(27.06%),(12.37%),197.24%
Diluted EPS - Continuing Ops,(49.16%),68.87%,(27.06%),(12.37%),197.24%
Diluted Weighted Average Shares Outst.,6.13%,1.78%,3.35%,9.50%,10.19%
Normalized Basic EPS,(4.16%),(14.64%),34.68%,(1.98%),(9.11%)
Normalized Diluted EPS,(4.75%),(13.95%),35.89%,(1.29%),(8.92%)
Dividend Per Share,11.49%,8.48%,6.70%,3.14%,2.32%
Payout Ratio,94.02%,(30.23%),44.63%,19.54%,(64.80%)
FFO,3.91%,3.95%,16.09%,3.56%,2.47%
FFO Payout Ratio %,9.52%,10.35%,(5.77%),10.50%,11.68%
AFFO,3.91%,3.95%,16.09%,3.56%,
Funds Available for Distribution,3.91%,3.95%,16.09%,3.56%,
FFO Per Share (Basic),(1.77%),2.17%,12.76%,(5.37%),
FFO Shares (Basic),5.77%,1.70%,3.08%,9.30%,
FFO Per Share (Diluted),(1.79%),2.27%,12.39%,(5.04%),
FFO Shares (Diluted),5.66%,1.59%,3.20%,9.09%,
Adjusted FFO Per Share (Basic),(1.77%),2.17%,12.76%,(5.37%),
Adjusted FFO Per Share (Diluted),(1.79%),2.27%,12.39%,(5.04%),
EBITDA,11.33%,(3.86%),13.70%,14.50%,12.10%
EBITA,12.05%,(11.26%),20.60%,13.00%,11.66%
EBIT,9.36%,(9.89%),19.48%,15.91%,13.54%
EBITDAR,12.00%,(3.84%),13.97%,14.41%,
Normalized Net Income,1.34%,(12.65%),39.60%,7.69%,0.37%
Interest Capitalized,(5.91%),46.27%,19.35%,(2.08%),
Interest on Long-Term Debt,6.95%,5.34%,9.44%,15.83%,
