Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,2.15%,0.69%,(1.47%),(20.41%),(20.41%)
Other Revenues,0.29%,1.34%,2.54%,(15.15%),(15.15%)
Total Revenues,2.05%,0.72%,(1.26%),(20.12%),(20.12%)
Cost Of Revenues,1.94%,0.19%,(0.48%),(16.20%),(16.20%)
Gross Profit,2.21%,1.54%,(2.44%),(26.19%),(26.19%)
Selling General & Admin Expenses,1.31%,1.82%,1.86%,(14.23%),(14.23%)
Depreciation & Amortization,3.30%,(0.52%),(4.88%),(4.69%),(4.69%)
Total Operating Expenses,1.60%,1.47%,0.87%,(12.91%),(12.91%)
Operating Income,5.04%,1.88%,(17.27%),(98.76%),(98.76%)
Interest Expense,-2.92%,-14.38%,-19.14%,(37.20%),(37.20%)
Net Interest Expenses,-2.92%,-14.38%,-19.14%,(37.20%),(37.20%)
"EBT, Excl. Unusual Items",7.35%,6.15%,(16.87%),,
"EBT, Incl. Unusual Items",27.66%,(6.71%),(13.53%),,
Income Tax Expense,(19.12%),(6.59%),(12.86%),,
Earnings From Continuing Operations,54.50%,(6.75%),(13.73%),,
Net Income to Company,54.50%,(6.75%),(13.73%),,
Net Income,54.50%,(6.75%),(13.73%),,
NI to Common Incl Extra Items,54.50%,(6.75%),(13.73%),,
NI to Common Excl. Extra Items,54.50%,(6.75%),(13.73%),,
Revenue Per Share,8.77%,2.57%,3.14%,(18.56%),(18.57%)
Basic EPS,64.86%,(4.98%),(9.81%),,
Basic EPS - Continuing Ops,64.86%,(4.98%),(9.81%),,
Basic Weighted Average Shares Outst.,(6.18%),(1.80%),(4.27%),(1.91%),(1.91%)
Diluted EPS,64.63%,(5.47%),(9.71%),,
Diluted EPS - Continuing Ops,64.63%,(5.47%),(9.71%),,
Diluted Weighted Average Shares Outst.,(6.15%),(1.79%),(4.24%),(2.53%),(2.53%)
Normalized Basic EPS,14.28%,8.16%,(13.21%),,
Normalized Diluted EPS,14.52%,8.01%,(13.20%),,
Dividend Per Share,10.00%,10.91%,9.84%,(73.73%),(73.73%)
Payout Ratio,(33.47%),16.57%,22.58%,,
EBITDA,4.33%,0.91%,(12.35%),(58.24%),(58.24%)
EBITA,5.04%,1.88%,(17.27%),(98.76%),(98.76%)
EBIT,5.04%,1.88%,(17.27%),(98.76%),(98.76%)
EBITDAR,4.53%,1.11%,(10.51%),(50.76%),
Effective Tax Rate,(36.65%),0.12%,0.77%,200.93%,200.96%
Normalized Net Income,7.35%,6.15%,(16.87%),,
Interest on Long-Term Debt,,,,2.22%,
