Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8347.3,9700.6,11366.6,12154.1,12544.5,14007.2
Other Revenues,330.9,385.9,454.8,518.6,579.8,656.3
Total Revenues,8678.2,10086.5,11821.4,12672.7,13124.3,14663.5
Cost Of Revenues,7376.9,8570.4,10044.4,10718.9,10898.7,12183.3
Gross Profit,1301.3,1516.1,1777.0,1953.8,2225.6,2480.2
Selling General & Admin Expenses,899.6,1043.4,1249.0,1371.3,1425.2,1528.8
Depreciation & Amortization,49.3,57.7,75.4,82.4,92.3,97.1
Total Operating Expenses,948.9,1101.1,1324.4,1453.7,1517.5,1625.9
Operating Income,352.4,415.0,452.6,500.1,708.1,854.3
Interest Expense,(48.8),(74.1),(118.3),(133.4),(107.5),(106.8)
Interest And Investment Income,2.2,,,,,
Net Interest Expenses,(46.6),(74.1),(118.3),(133.4),(107.5),(106.8)
Other Non Operating Income (Expenses),,3.1,8.8,13.8,15.1,16.5
"EBT, Excl. Unusual Items",297.5,344.0,343.1,380.5,615.7,764.0
"EBT, Incl. Unusual Items",283.5,347.1,337.5,375.4,648.5,795.7
Income Tax Expense,86.4,101.9,71.8,103.9,178.2,215.4
Earnings From Continuing Operations,197.1,245.2,265.7,271.5,470.3,580.3
Net Income to Company,197.1,245.2,265.7,271.5,470.3,580.3
Net Income,197.1,245.2,265.7,271.5,470.3,580.3
NI to Common Incl Extra Items,197.1,245.2,265.7,271.5,470.3,580.3
NI to Common Excl. Extra Items,197.1,245.2,265.7,271.5,470.3,580.3
Revenue Per Share,$341.66,$401.85,$484.48,$546.24,$551.44,$594.87
Basic EPS,$7.76,$9.77,$10.89,$11.70,$19.76,$23.54
Basic EPS - Continuing Ops,$7.76,$9.77,$10.89,$11.70,$19.76,$23.54
Basic Weighted Average Shares Outst.,25.4,25.1,24.4,23.2,23.8,24.7
Diluted EPS,$7.72,$9.75,$10.86,$11.60,$19.53,$23.27
Diluted EPS - Continuing Ops,$7.72,$9.75,$10.86,$11.60,$19.53,$23.27
Diluted Weighted Average Shares Outst.,25.5,25.1,24.5,23.4,24.1,25.0
Normalized Basic EPS,$7.32,$8.57,$8.79,$10.25,$16.17,$19.37
Normalized Diluted EPS,$7.29,$8.57,$8.75,$10.16,$15.97,$19.14
Dividend Per Share,$1.00,$1.08,$1.16,$1.20,$1.23,$1.28
Payout Ratio,12.23%,10.81%,10.43%,10.17%,6.19%,5.22%
EBITDA,401.7,472.7,528.0,582.5,800.5,951.5
EBITA,352.4,415.0,452.6,500.1,708.1,854.3
EBIT,352.4,415.0,452.6,500.1,708.1,854.3
EBITDAR,477.8,567.4,643.3,701.2,918.1,
Effective Tax Rate,30.5%,29.4%,21.3%,27.7%,27.5%,27.1%
Normalized Net Income,185.9,215.0,214.4,237.8,384.8,477.5
Interest Capitalized,0.4,0.5,1.3,2.3,1.6,
Interest on Long-Term Debt,23.6,35.3,57.3,62.9,78.1,
