Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1191.1,1201.8,1222.9,1307.8,1334.4,1402.4
Total Revenues,1191.1,1201.8,1222.9,1307.8,1334.4,1402.4
Cost Of Revenues,891.5,883.1,919.4,981.6,976.4,1023.2
Gross Profit,299.6,318.8,303.5,326.2,358.0,379.1
Selling General & Admin Expenses,112.2,122.2,125.9,145.2,175.9,193.4
Total Operating Expenses,115.1,125.6,129.9,149.8,180.9,198.4
Operating Income,184.6,193.1,173.6,176.4,177.1,180.7
Interest Expense,,,,,(0.1),(0.1)
Net Interest Expenses,,,,,(0.1),(0.1)
Other Non Operating Income (Expenses),0.1,1.2,2.7,4.6,3.2,0.1
"EBT, Excl. Unusual Items",184.6,194.3,176.3,181.0,180.2,180.7
"EBT, Incl. Unusual Items",184.6,175.5,174.2,195.5,179.1,185.1
Income Tax Expense,62.9,60.2,38.9,45.0,42.1,44.2
Earnings From Continuing Operations,121.8,115.3,135.3,150.5,137.0,141.0
Net Income to Company,121.8,115.3,135.3,150.5,137.0,141.0
Net Income,121.8,115.3,135.3,150.5,137.0,141.0
Preferred Dividend and Other Adjustments,0.2,0.2,0.3,0.3,0.3,0.3
NI to Common Incl Extra Items,121.5,115.1,135.0,150.3,136.7,140.7
NI to Common Excl. Extra Items,121.5,115.1,135.0,150.3,136.7,140.7
Revenue Per Share,$43.57,$43.90,$44.63,$47.66,$48.62,$50.91
Basic EPS,$4.45,$4.21,$4.93,$5.48,$4.98,$5.11
Basic EPS - Continuing Ops,$4.45,$4.21,$4.93,$5.48,$4.98,$5.11
Basic Weighted Average Shares Outst.,27.3,27.4,27.4,27.4,27.4,27.5
Diluted EPS,$4.44,$4.20,$4.92,$5.46,$4.97,$5.11
Diluted EPS - Continuing Ops,$4.44,$4.20,$4.92,$5.46,$4.97,$5.11
Diluted Weighted Average Shares Outst.,27.4,27.4,27.5,27.5,27.5,27.5
Normalized Basic EPS,$4.22,$4.44,$4.02,$4.12,$4.10,$4.10
Normalized Diluted EPS,$4.22,$4.43,$4.01,$4.11,$4.10,$4.10
Dividend Per Share,$1.96,$2.15,$2.35,$2.55,$2.75,
Payout Ratio,44.24%,51.15%,47.69%,46.57%,55.22%,
EBITDA,208.7,218.1,200.5,208.2,215.1,223.3
EBITA,187.5,196.6,177.6,181.0,182.2,180.7
EBIT,184.6,193.1,173.6,176.4,177.1,180.7
EBITDAR,215.6,226.1,,,226.2,
Effective Tax Rate,34.1%,34.3%,22.3%,23.0%,23.5%,23.8%
Normalized Net Income,115.4,121.4,110.2,113.1,112.6,112.9
Interest on Long-Term Debt,,,,,0.1,
