Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.29%,3.33%,(6.33%),(13.96%),0.00%
Total Revenues,10.29%,3.33%,(6.33%),(13.96%),0.00%
Cost Of Revenues,10.52%,3.67%,(4.62%),(11.67%),0.00%
Gross Profit,8.57%,0.76%,(19.81%),(35.34%),0.00%
Selling General & Admin Expenses,(2.38%),(4.95%),(1.94%),0.83%,0.00%
Other Operating Expense/(Income),(18.98%),15.48%,(66.30%),,0.00%
Total Operating Expenses,(3.64%),(3.35%),(2.82%),(0.91%),0.00%
Operating Income,14.55%,2.45%,(26.41%),(53.02%),0.00%
Interest Expense,(3.88%),-1.87%,(9.39%),(8.26%),0.00%
Net Interest Expenses,(3.88%),-1.87%,(9.39%),(8.26%),0.00%
Currency Exchange Gains (Loss),-32.89%,(182.35%),(43.06%),-3.40%,0.00%
"EBT, Excl. Unusual Items",13.25%,0.12%,(28.35%),(57.19%),0.00%
"EBT, Incl. Unusual Items",11.89%,(1.25%),(37.33%),(66.44%),0.00%
Income Tax Expense,(46.65%),57.92%,(53.16%),(35.73%),0.00%
Earnings From Continuing Operations,32.72%,(9.72%),(33.37%),(71.84%),0.00%
Net Income to Company,32.72%,(9.72%),(33.37%),(71.84%),0.00%
Minority Interest,(3.21%),(43.56%),-20.43%,-2.20%,0.00%
Net Income,34.69%,(12.46%),(34.46%),(78.97%),0.00%
Preferred Dividend and Other Adjustments,,(59.22%),,,
NI to Common Incl Extra Items,32.08%,(11.53%),(30.71%),(79.92%),0.00%
NI to Common Excl. Extra Items,32.08%,(11.53%),(30.71%),(79.92%),0.00%
Revenue Per Share,16.41%,7.85%,(0.29%),(11.90%),0.00%
Basic EPS,39.39%,(7.66%),(26.25%),(79.45%),0.00%
Basic EPS - Continuing Ops,39.39%,(7.66%),(26.25%),(79.45%),0.00%
Basic Weighted Average Shares Outst.,(5.26%),(4.19%),(6.05%),(2.34%),0.00%
Diluted EPS,39.46%,(7.37%),(25.96%),(79.45%),0.00%
Diluted EPS - Continuing Ops,39.46%,(7.37%),(25.96%),(79.45%),0.00%
Diluted Weighted Average Shares Outst.,(5.26%),(4.50%),(6.41%),(2.42%),0.00%
Normalized Basic EPS,20.33%,1.32%,(24.60%),(62.78%),0.00%
Normalized Diluted EPS,20.40%,1.59%,(24.34%),(62.75%),0.00%
Dividend Per Share,66.67%,40.00%,7.14%,(66.00%),0.00%
Payout Ratio,15.08%,54.61%,52.60%,71.77%,0.00%
EBITDA,14.25%,4.65%,(19.44%),(36.08%),0.00%
EBITA,13.69%,2.61%,(25.03%),(50.25%),0.00%
EBIT,14.55%,2.45%,(26.41%),(53.02%),0.00%
EBITDAR,14.27%,5.20%,(18.08%),(32.61%),
Effective Tax Rate,(52.31%),59.96%,(25.25%),91.48%,0.00%
Normalized Net Income,14.03%,(2.95%),(29.18%),(63.65%),0.00%
R&D Expense From Footnotes,2.92%,5.61%,287.32%,(2.64%),0.00%
Foreign Sales,14.89%,5.57%,(7.34%),(16.75%),
