Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.66%,40.68%,(12.49%),(3.87%),8.23%
Total Revenues,15.66%,40.68%,(12.49%),(3.87%),8.23%
Cost Of Revenues,12.85%,43.79%,(6.86%),(1.36%),10.07%
Gross Profit,19.87%,36.29%,(20.87%),(8.26%),4.92%
Selling General & Admin Expenses,3.14%,31.26%,(21.12%),(5.84%),2.76%
R&D Expenses,19.65%,72.84%,(8.33%),(34.33%),(27.70%)
Total Operating Expenses,7.55%,45.51%,(18.71%),(11.88%),(4.31%)
Operating Income,40.83%,24.32%,(24.14%),(2.37%),19.97%
Interest Expense,(55.08%),(68.68%),-1.34%,-5.34%,-7.57%
Net Interest Expenses,(55.08%),(68.68%),-1.34%,-5.34%,-7.57%
Currency Exchange Gains (Loss),(403.39%),,,,
Other Non Operating Income (Expenses),(20.30%),33.50%,422.32%,(37.80%),84.80%
"EBT, Excl. Unusual Items",38.05%,23.36%,(24.73%),6.45%,34.96%
"EBT, Incl. Unusual Items",65.52%,0.44%,(19.06%),(2.79%),28.09%
Income Tax Expense,349.90%,(52.23%),(33.62%),16.66%,25.53%
Earnings From Continuing Operations,14.39%,37.69%,(15.49%),(6.54%),28.66%
Net Income to Company,14.39%,37.69%,(15.49%),(6.54%),28.66%
Net Income,14.39%,37.69%,(15.49%),(6.54%),28.66%
NI to Common Incl Extra Items,14.39%,37.69%,(15.49%),(6.54%),28.66%
NI to Common Excl. Extra Items,14.39%,37.69%,(15.49%),(6.54%),28.66%
Revenue Per Share,15.00%,28.34%,(11.44%),(3.06%),8.63%
Basic EPS,13.78%,25.56%,(14.51%),(5.77%),29.13%
Basic EPS - Continuing Ops,13.78%,25.56%,(14.51%),(5.77%),29.13%
Basic Weighted Average Shares Outst.,0.57%,9.62%,(1.18%),(0.83%),(0.36%)
Diluted EPS,13.26%,25.14%,(14.11%),(5.54%),29.22%
Diluted EPS - Continuing Ops,13.26%,25.14%,(14.11%),(5.54%),29.22%
Diluted Weighted Average Shares Outst.,0.90%,10.05%,(1.65%),(0.91%),(0.16%)
Normalized Basic EPS,37.25%,12.58%,(23.78%),7.36%,35.45%
Normalized Diluted EPS,36.79%,12.14%,(23.44%),7.50%,35.18%
Dividend Per Share,12.90%,14.29%,13.75%,5.49%,2.67%
Payout Ratio,(0.33%),(8.57%),32.23%,12.15%,(20.39%)
EBITDA,35.19%,33.09%,(20.37%),(0.42%),14.77%
EBITA,39.39%,33.08%,(24.00%),(1.98%),16.92%
EBIT,40.83%,24.32%,(24.14%),(2.37%),19.97%
EBITDAR,32.75%,31.11%,(19.72%),(0.32%),
Effective Tax Rate,171.80%,(52.43%),(17.98%),19.99%,(2.00%)
Normalized Net Income,38.05%,23.36%,(24.73%),6.45%,34.96%
Interest on Long-Term Debt,55.08%,68.68%,(1.34%),(5.34%),
R&D Expense From Footnotes,19.65%,72.84%,(8.33%),(34.33%),(27.70%)
Foreign Sales,,43.94%,(11.89%),(0.96%),
