Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,29.48%,78.21%,(52.17%),54.98%,89.53%
Total Revenues,29.48%,78.21%,(52.17%),54.98%,89.53%
Cost Of Revenues,20.38%,6.04%,96.65%,33.54%,44.53%
Gross Profit,32.45%,99.59%,(75.59%),82.19%,164.41%
Selling General & Admin Expenses,3.62%,31.69%,11.00%,4.42%,17.54%
Total Operating Expenses,6.47%,31.28%,9.76%,14.35%,45.20%
Operating Income,55.12%,140.51%,,,
Interest Expense,(4.81%),(258.66%),-25.96%,-23.29%,-17.66%
Interest And Investment Income,210.24%,579.56%,103.09%,(71.59%),(70.36%)
Net Interest Expenses,-6.39%,(200.68%),-78.66%,(164.42%),(158.84%)
Other Non Operating Income (Expenses),"1,841.20%",,,211.30%,(51.52%)
"EBT, Excl. Unusual Items",576.44%,105.57%,,,
"EBT, Incl. Unusual Items",618.98%,202.86%,359.61%,,
Income Tax Expense,332.60%,(32.83%),457.62%,,-11.17%
Earnings From Continuing Operations,,"1,041.45%",339.09%,,
Net Income to Company,,"1,041.45%",339.09%,,
Net Income,,"1,041.45%",339.09%,,
NI to Common Incl Extra Items,,"1,041.45%",339.09%,,
NI to Common Excl. Extra Items,,"1,041.45%",339.09%,,
Revenue Per Share,28.28%,77.10%,(46.70%),81.96%,111.28%
Basic EPS,,"1,028.87%",389.36%,,
Basic EPS - Continuing Ops,,"1,028.87%",389.36%,,
Basic Weighted Average Shares Outst.,0.96%,0.61%,(10.23%),(14.79%),(10.29%)
Diluted EPS,,"1,024.53%",434.40%,,
Diluted EPS - Continuing Ops,,"1,024.53%",434.40%,,
Diluted Weighted Average Shares Outst.,12.72%,2.50%,(17.91%),(18.08%),(9.16%)
Normalized Basic EPS,558.29%,104.02%,,,
Normalized Diluted EPS,489.63%,100.82%,,,
EBITDA,44.61%,123.64%,(78.70%),51.00%,109.33%
EBITA,48.47%,124.14%,(79.88%),51.04%,11.99%
EBIT,55.12%,140.51%,,,
EBITDAR,,,,48.33%,
Effective Tax Rate,(39.83%),(77.82%),21.35%,241.14%,
Normalized Net Income,576.44%,105.57%,,,
Interest on Long-Term Debt,4.81%,258.66%,(25.96%),(23.29%),
R&D Expense From Footnotes,26.70%,3.63%,100.65%,6.23%,15.70%
