Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,18.06%,70.33%,14.93%,(0.82%),(0.73%)
Total Revenues,18.06%,70.33%,14.93%,(0.82%),(0.73%)
Cost Of Revenues,21.19%,71.11%,14.57%,(5.62%),(6.46%)
Gross Profit,12.97%,68.98%,15.57%,7.61%,9.18%
Selling General & Admin Expenses,14.98%,75.58%,10.49%,5.89%,4.46%
Depreciation & Amortization,16.49%,24.78%,29.46%,16.41%,10.76%
Other Operating Expense/(Income),,548.33%,(91.26%),44.12%,44.12%
Total Operating Expenses,14.77%,73.31%,10.73%,6.18%,4.86%
Operating Income,6.18%,51.33%,38.17%,12.92%,25.95%
Interest Expense,(37.15%),(188.75%),(15.25%),-62.99%,-85.06%
Net Interest Expenses,(37.15%),(188.75%),(15.25%),-62.99%,-85.06%
"EBT, Excl. Unusual Items",5.08%,45.00%,40.27%,18.64%,34.22%
"EBT, Incl. Unusual Items",4.72%,42.05%,38.63%,23.86%,34.13%
Income Tax Expense,(50.65%),104.67%,18.79%,35.46%,59.77%
Earnings From Continuing Operations,31.44%,30.70%,44.26%,21.15%,28.41%
Net Income to Company,31.44%,30.70%,44.26%,21.15%,28.41%
Minority Interest,(9.78%),(49.40%),(18.09%),(45.30%),(42.77%)
Net Income,36.98%,26.86%,50.57%,16.58%,25.62%
NI to Common Incl Extra Items,36.98%,26.86%,50.57%,16.58%,25.62%
NI to Common Excl. Extra Items,36.98%,26.86%,50.57%,16.58%,25.62%
Revenue Per Share,17.01%,9.74%,2.17%,(1.33%),(1.21%)
Basic EPS,35.99%,(18.31%),33.97%,16.15%,25.01%
Basic EPS - Continuing Ops,35.99%,(18.31%),33.97%,16.15%,25.01%
Basic Weighted Average Shares Outst.,0.89%,55.22%,12.49%,0.52%,0.49%
Diluted EPS,34.78%,(17.92%),34.06%,15.96%,24.93%
Diluted EPS - Continuing Ops,34.78%,(17.92%),34.06%,15.96%,24.93%
Diluted Weighted Average Shares Outst.,1.57%,54.63%,12.37%,0.50%,0.51%
Normalized Basic EPS,3.10%,(7.41%),30.85%,11.46%,31.30%
Normalized Diluted EPS,2.22%,(6.93%),31.11%,11.42%,31.27%
EBITDA,6.78%,46.92%,34.87%,13.28%,24.21%
EBITA,5.43%,49.95%,36.81%,12.76%,25.74%
EBIT,6.18%,51.33%,38.17%,12.92%,25.95%
EBITDAR,9.54%,,,11.56%,
Effective Tax Rate,(52.88%),44.11%,(14.32%),9.38%,19.11%
Normalized Net Income,3.79%,43.72%,46.99%,12.15%,31.93%
Interest on Long-Term Debt,37.15%,188.75%,15.25%,(53.12%),
