Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3641.6,3839.6,3883.9,3807.2,3634.1,3840.8
Total Revenues,3641.6,3839.6,3883.9,3807.2,3634.1,3840.8
Cost Of Revenues,2565.1,2714.4,2772.7,2727.4,2594.0,2709.9
Gross Profit,1076.5,1125.2,1111.2,1079.8,1040.1,1130.9
Selling General & Admin Expenses,654.3,637.7,608.2,585.9,555.9,570.1
Other Operating Expense/(Income),0.4,1.5,5.1,5.7,(3.8),(5.9)
Total Operating Expenses,654.7,639.2,613.3,591.6,552.1,564.2
Operating Income,421.8,486.0,497.9,488.2,488.0,566.7
Interest Expense,(28.1),(32.1),(39.1),(48.6),(29.7),(27.0)
Interest And Investment Income,1.1,1.5,0.8,1.1,1.4,1.4
Net Interest Expenses,(27.0),(30.6),(38.3),(47.5),(28.3),(25.6)
Currency Exchange Gains (Loss),(2.2),1.8,(1.7),1.5,3.6,3.4
Other Non Operating Income (Expenses),33.6,0.1,(3.3),(2.3),(4.4),(4.2)
"EBT, Excl. Unusual Items",444.6,475.7,466.6,453.3,474.5,556.3
"EBT, Incl. Unusual Items",402.7,464.0,467.9,507.9,445.2,525.1
Income Tax Expense,124.1,156.9,107.6,99.1,88.1,96.3
Earnings From Continuing Operations,278.6,307.1,360.3,408.8,357.1,428.8
Earnings Of Discontinued Operations,(0.8),(1.4),(1.3),(0.1),(0.8),(1.2)
Net Income to Company,277.8,305.7,359.0,408.7,356.3,427.6
Net Income,277.8,305.7,359.0,408.7,356.3,427.6
NI to Common Incl Extra Items,277.8,305.7,359.0,408.7,356.3,427.6
NI to Common Excl. Extra Items,278.6,307.1,360.3,408.8,357.1,428.8
Revenue Per Share,$83.91,$90.99,$95.66,$97.62,$94.89,$100.54
Basic EPS,$6.40,$7.24,$8.84,$10.48,$9.30,$11.19
Basic EPS - Continuing Ops,$6.42,$7.28,$8.87,$10.48,$9.32,$11.23
Basic Weighted Average Shares Outst.,43.4,42.2,40.6,39.0,38.3,38.2
Diluted EPS,$6.32,$7.14,$8.74,$10.38,$9.24,$11.12
Diluted EPS - Continuing Ops,$6.34,$7.17,$8.77,$10.38,$9.26,$11.15
Diluted Weighted Average Shares Outst.,44.0,42.8,41.1,39.4,38.6,38.5
Normalized Basic EPS,$6.40,$7.05,$7.18,$7.26,$7.74,$9.10
Normalized Diluted EPS,$6.32,$6.95,$7.10,$7.19,$7.68,$9.04
Dividend Per Share,$1.65,$1.96,$2.43,$2.95,$3.08,$3.08
Payout Ratio,24.84%,26.07%,26.16%,27.04%,33.15%,27.57%
EBITDA,479.9,550.6,563.9,559.3,560.6,637.7
EBITA,421.8,486.0,497.9,488.2,488.0,566.7
EBIT,421.8,486.0,497.9,488.2,488.0,566.7
EBITDAR,537.8,,,643.2,647.6,
Effective Tax Rate,30.8%,33.8%,23.0%,19.5%,19.8%,18.3%
Normalized Net Income,277.9,297.3,291.6,283.3,296.6,347.7
Interest on Long-Term Debt,,32.1,39.1,48.6,29.7,
R&D Expense From Footnotes,64.6,73.6,72.2,69.9,66.8,66.8
Foreign Sales,674.8,,608.6,502.6,473.3,
