Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.44%,1.15%,(1.97%),(4.55%),2.68%
Total Revenues,5.44%,1.15%,(1.97%),(4.55%),2.68%
Cost Of Revenues,5.82%,2.15%,(1.63%),(4.89%),0.49%
Gross Profit,4.52%,(1.24%),(2.83%),(3.68%),8.33%
Selling General & Admin Expenses,(2.54%),(4.63%),(3.67%),(5.12%),(0.19%)
Other Operating Expense/(Income),275.00%,240.00%,11.76%,,
Total Operating Expenses,(2.37%),(4.05%),(3.54%),(6.68%),(2.42%)
Operating Income,15.22%,2.45%,(1.95%),(0.04%),21.69%
Interest Expense,(14.23%),(21.81%),(24.30%),-38.89%,-41.81%
Interest And Investment Income,36.36%,(46.67%),37.50%,27.27%,27.27%
Net Interest Expenses,(13.33%),(25.16%),(24.02%),-40.42%,-43.49%
Currency Exchange Gains (Loss),,,,140.00%,126.67%
Other Non Operating Income (Expenses),(99.70%),,-30.30%,(91.30%),(55.56%)
"EBT, Excl. Unusual Items",7.00%,(1.91%),(2.85%),4.68%,28.51%
"EBT, Incl. Unusual Items",15.22%,0.84%,8.55%,(12.34%),16.33%
Income Tax Expense,26.43%,(31.42%),(7.90%),(11.10%),(3.22%)
Earnings From Continuing Operations,10.23%,17.32%,13.46%,(12.65%),21.85%
Earnings Of Discontinued Operations,(75.00%),-7.14%,-92.31%,(700.00%),
Net Income to Company,10.04%,17.44%,13.84%,(12.82%),21.37%
Net Income,10.04%,17.44%,13.84%,(12.82%),21.37%
NI to Common Incl Extra Items,10.04%,17.44%,13.84%,(12.82%),21.37%
NI to Common Excl. Extra Items,10.23%,17.32%,13.46%,(12.65%),21.85%
Revenue Per Share,8.43%,5.14%,2.05%,(2.80%),3.95%
Basic EPS,13.19%,22.13%,18.55%,(11.23%),22.88%
Basic EPS - Continuing Ops,13.35%,21.90%,18.17%,(11.03%),23.37%
Basic Weighted Average Shares Outst.,(2.76%),(3.79%),(3.94%),(1.79%),(1.23%)
Diluted EPS,12.93%,22.39%,18.74%,(10.99%),23.24%
Diluted EPS - Continuing Ops,13.09%,22.32%,18.36%,(10.79%),23.73%
Diluted Weighted Average Shares Outst.,(2.73%),(3.97%),(4.14%),(2.03%),(1.47%)
Normalized Basic EPS,10.08%,1.88%,1.18%,6.65%,30.10%
Normalized Diluted EPS,9.91%,2.09%,1.28%,6.86%,30.43%
Dividend Per Share,18.79%,23.98%,21.40%,4.41%,0.00%
Payout Ratio,4.96%,0.33%,3.35%,22.58%,(15.31%)
EBITDA,14.73%,2.42%,(0.82%),0.23%,18.62%
EBITA,15.22%,2.45%,(1.95%),(0.04%),21.69%
EBIT,15.22%,2.45%,(1.95%),(0.04%),21.69%
EBITDAR,,,,0.68%,
Effective Tax Rate,9.72%,(31.98%),(15.17%),1.43%,(16.80%)
Normalized Net Income,7.00%,(1.91%),(2.85%),4.68%,28.51%
Interest on Long-Term Debt,,21.81%,24.30%,(38.89%),
R&D Expense From Footnotes,13.93%,(1.90%),(3.19%),(4.43%),(4.43%)
Foreign Sales,,,(17.42%),(5.83%),
