Income Statement,Jul 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,10.92%,24.57%,25.45%,7.24%,(2.47%)
Total Revenues,10.92%,24.57%,25.45%,7.24%,(2.47%)
Cost Of Revenues,9.39%,20.00%,24.43%,(6.61%),(16.15%)
Gross Profit,14.26%,34.10%,27.36%,32.49%,19.43%
Selling General & Admin Expenses,(6.05%),16.33%,41.97%,24.18%,(1.41%)
R&D Expenses,5.10%,5.73%,17.73%,7.58%,(3.46%)
Total Operating Expenses,(0.08%),8.75%,43.34%,15.81%,(3.53%)
Operating Income,215.34%,146.81%,(3.94%),81.25%,87.58%
Interest Expense,"(5,400.00%)",(230.91%),(99.45%),(68.60%),(21.76%)
Interest And Investment Income,,672.73%,63.53%,13.67%,(19.08%)
Net Interest Expenses,"(4,300.00%)",(120.45%),(130.93%),(102.68%),(38.44%)
Currency Exchange Gains (Loss),,,(100.00%),(133.33%),(243.75%)
Other Non Operating Income (Expenses),"(12,850.00%)",-99.52%,,(77.88%),89.47%
"EBT, Excl. Unusual Items",,,(5.12%),63.43%,99.55%
"EBT, Incl. Unusual Items",,,,,"3,165.33%"
Income Tax Expense,"10,575.00%",,,"1,151.61%",411.93%
Preferred Dividend and Other Adjustments,(92.80%),633.33%,(77.27%),,
NI to Common Incl Extra Items,"(3,131.25%)",,,,
NI to Common Excl. Extra Items,"(3,131.25%)",,,,
Revenue Per Share,8.17%,21.16%,10.53%,(0.11%),(0.59%)
Basic EPS,"(3,312.54%)",,,,
Basic EPS - Continuing Ops,"(3,312.54%)",,,,
Basic Weighted Average Shares Outst.,2.54%,2.81%,13.48%,7.36%,(1.89%)
Diluted EPS,"(3,320.00%)",,,,
Diluted EPS - Continuing Ops,"(3,320.00%)",,,,
Diluted Weighted Average Shares Outst.,2.54%,4.46%,11.69%,9.76%,1.57%
Normalized Basic EPS,,,(16.37%),51.66%,103.39%
Normalized Diluted EPS,,,(15.13%),48.34%,96.47%
EBITDA,64.08%,85.99%,33.21%,49.93%,34.35%
EBITA,154.41%,126.36%,30.34%,70.85%,56.80%
EBIT,215.34%,146.81%,(3.94%),81.25%,87.58%
EBITDAR,62.97%,,,,
Effective Tax Rate,,,,,(84.32%)
Normalized Net Income,,,(5.12%),63.43%,99.55%
Interest on Long-Term Debt,,225.45%,102.79%,68.60%,
R&D Expense From Footnotes,0.27%,5.73%,17.73%,7.58%,(3.46%)
Foreign Sales,15.26%,32.67%,29.30%,4.40%,
