Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.91%,9.35%,(2.06%),(13.83%),(12.67%)
Total Revenues,4.91%,9.35%,(2.06%),(13.83%),(12.67%)
Cost Of Revenues,(5.19%),0.99%,(3.16%),(6.69%),0.64%
Gross Profit,11.49%,13.98%,(1.52%),(17.27%),(18.71%)
Selling General & Admin Expenses,7.02%,22.33%,8.93%,(15.54%),(16.12%)
R&D Expenses,33.43%,33.27%,11.72%,(1.62%),8.85%
Total Operating Expenses,11.63%,23.98%,9.53%,(11.75%),(10.55%)
Operating Income,10.88%,(26.51%),(77.04%),,
Interest Expense,-26.55%,(26.01%),(53.60%),(170.60%),(184.17%)
Interest And Investment Income,(22.38%),(35.74%),(5.19%),(83.69%),
Net Interest Expenses,-27.35%,(38.57%),(59.14%),(184.90%),(195.52%)
Currency Exchange Gains (Loss),,-89.65%,(34.82%),"(1,217.71%)",
Other Non Operating Income (Expenses),"42,227.78%",,,,0.00%
"EBT, Excl. Unusual Items",14.45%,(19.03%),(94.06%),,
"EBT, Incl. Unusual Items","1,394.48%",,-25.15%,(85.39%),(114.22%)
Income Tax Expense,877.00%,,-56.69%,-97.56%,
Earnings From Continuing Operations,"2,806.35%",,-12.84%,(120.85%),(303.27%)
Earnings Of Discontinued Operations,(23.03%),-86.25%,,,-20.95%
Net Income to Company,-60.04%,(654.91%),-18.07%,(122.33%),(301.28%)
Net Income,-60.04%,(654.91%),-18.07%,(122.33%),(301.28%)
NI to Common Incl Extra Items,-60.04%,(654.91%),-18.07%,(122.33%),(301.28%)
NI to Common Excl. Extra Items,"2,806.35%",,-12.84%,(120.85%),(303.27%)
Revenue Per Share,6.43%,8.59%,(1.78%),(14.25%),(13.11%)
Basic EPS,-59.61%,(651.03%),-17.92%,(121.19%),(299.25%)
Basic EPS - Continuing Ops,"2,727.47%",,-12.58%,(119.55%),(301.23%)
Basic Weighted Average Shares Outst.,(1.44%),0.71%,(0.31%),0.50%,0.51%
Diluted EPS,-59.67%,(651.06%),-17.84%,(121.21%),(298.93%)
Diluted EPS - Continuing Ops,"2,700.00%",,-12.50%,(119.57%),(300.90%)
Diluted Weighted Average Shares Outst.,(1.05%),(0.01%),(0.31%),0.50%,0.51%
Normalized Basic EPS,16.17%,(19.84%),(94.02%),,
Normalized Diluted EPS,15.35%,(19.24%),(94.02%),,
EBITDA,6.40%,(17.30%),(43.89%),(50.06%),(64.17%)
EBITA,10.02%,(18.60%),(52.93%),(72.41%),(85.32%)
EBIT,10.88%,(26.51%),(77.04%),,
EBITDAR,,,,(42.80%),
Effective Tax Rate,(34.63%),(41.33%),,,
Normalized Net Income,14.45%,(19.03%),(94.06%),,
R&D Expense From Footnotes,33.43%,33.27%,35.08%,(22.44%),(14.70%)
Foreign Sales,5.81%,9.24%,(2.40%),(13.56%),
