Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2233.4,2734.0,2828.0,2310.0,2788.0,3220.0
Total Revenues,2233.4,2734.0,2828.0,2310.0,2788.0,3220.0
Cost Of Revenues,1829.1,1998.0,2084.0,2007.0,1920.0,1981.0
Gross Profit,404.3,736.0,744.0,303.0,868.0,1239.0
Selling General & Admin Expenses,188.1,201.0,213.0,233.0,212.0,205.0
Depreciation & Amortization,3.2,,,,,
Other Operating Expense/(Income),17.4,5.0,(9.0),(2.0),(10.0),(10.0)
Total Operating Expenses,208.7,206.0,204.0,231.0,202.0,195.0
Operating Income,195.6,530.0,540.0,72.0,666.0,1044.0
Interest Expense,(32.1),(19.0),(16.0),(19.0),(19.0),(19.0)
Interest And Investment Income,8.2,10.0,18.0,10.0,4.0,4.0
Net Interest Expenses,(23.9),(9.0),2.0,(9.0),(15.0),(15.0)
Currency Exchange Gains (Loss),2.1,(4.0),,(5.0),1.0,(4.0)
Other Non Operating Income (Expenses),,,,,(1.0),1.0
"EBT, Excl. Unusual Items",179.0,517.0,539.0,58.0,652.0,1027.0
"EBT, Incl. Unusual Items",170.1,510.0,521.0,(23.0),622.0,997.0
Income Tax Expense,19.8,119.0,122.0,(13.0),125.0,212.0
Earnings From Continuing Operations,150.3,391.0,399.0,(10.0),497.0,785.0
Earnings Of Discontinued Operations,(0.5),(1.0),(4.0),,,
Net Income to Company,149.8,390.0,395.0,(10.0),497.0,785.0
Minority Interest,,,,5.0,2.0,1.0
Net Income,149.8,390.0,395.0,(5.0),499.0,786.0
NI to Common Incl Extra Items,149.8,390.0,395.0,(5.0),499.0,786.0
NI to Common Excl. Extra Items,150.3,391.0,399.0,(5.0),499.0,786.0
Revenue Per Share,$15.57,$18.99,$19.78,$18.78,$25.12,$29.41
Basic EPS,$1.04,$2.71,$2.76,($0.04),$4.50,$7.18
Basic EPS - Continuing Ops,$1.05,$2.72,$2.79,($0.04),$4.50,$7.18
Basic Weighted Average Shares Outst.,143.4,144.0,143.0,123.0,111.0,109.5
Diluted EPS,$1.03,$2.66,$2.73,($0.04),$4.46,$7.13
Diluted EPS - Continuing Ops,$1.03,$2.67,$2.76,($0.04),$4.46,$7.13
Diluted Weighted Average Shares Outst.,145.3,146.0,144.0,123.0,112.0,110.5
Normalized Basic EPS,$0.78,$2.24,$2.36,$0.34,$3.69,$5.87
Normalized Diluted EPS,$0.77,$2.21,$2.34,$0.34,$3.66,$5.82
Dividend Per Share,,,$0.52,$0.54,$0.58,$0.60
Payout Ratio,,,18.73%,NM,13.03%,8.40%
EBITDA,308.4,656.0,664.0,198.0,781.0,1159.0
EBITA,195.6,533.0,544.0,75.0,670.0,1049.0
EBIT,195.6,530.0,540.0,72.0,666.0,1044.0
EBITDAR,319.4,,,239.0,795.0,
Effective Tax Rate,11.6%,23.3%,23.4%,NM,20.1%,21.3%
Normalized Net Income,111.9,323.1,336.9,41.3,409.5,642.9
Interest Capitalized,1.9,2.0,4.0,1.0,,
Interest on Long-Term Debt,34.0,21.0,20.0,20.0,19.0,
R&D Expense From Footnotes,,,,2.0,1.0,2.0
Foreign Earnings,,191.0,169.0,8.0,85.0,
Foreign Sales,819.0,869.0,1035.0,831.0,828.0,
