Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,427.1,386.0,398.8,404.1,408.1,426.5
Total Revenues,427.1,386.0,398.8,404.1,408.1,426.5
Cost Of Revenues,180.1,169.4,179.4,165.7,162.8,168.2
Gross Profit,247.0,216.6,219.4,238.4,245.3,258.3
Selling General & Admin Expenses,98.6,90.7,89.7,82.5,95.3,97.9
R&D Expenses,117.5,103.4,82.4,78.6,89.2,91.6
Total Operating Expenses,249.7,225.4,189.8,174.7,189.0,191.9
Operating Income,(2.7),(8.8),29.6,63.7,56.3,66.5
Interest Expense,(20.3),(18.8),(20.6),(11.7),(3.7),(3.3)
Net Interest Expenses,(20.3),(18.8),(20.6),(11.7),(3.7),(3.3)
Other Non Operating Income (Expenses),1.7,(3.0),(0.3),(0.1),(0.2),(0.3)
"EBT, Excl. Unusual Items",(21.3),(30.7),8.8,51.9,52.4,62.8
"EBT, Incl. Unusual Items",(44.2),(69.7),(24.0),45.1,48.5,59.6
Income Tax Expense,9.9,0.8,2.4,1.6,1.1,1.6
Earnings From Continuing Operations,(54.1),(70.6),(26.3),43.5,47.4,58.0
Net Income to Company,(54.1),(70.6),(26.3),43.5,47.4,58.0
Net Income,(54.1),(70.6),(26.3),43.5,47.4,58.0
NI to Common Incl Extra Items,(54.1),(70.6),(26.3),43.5,47.4,58.0
NI to Common Excl. Extra Items,(54.1),(70.6),(26.3),43.5,47.4,58.0
Revenue Per Share,$3.56,$3.15,$3.15,$3.05,$3.02,$3.14
Basic EPS,($0.45),($0.58),($0.21),$0.33,$0.35,$0.43
Basic EPS - Continuing Ops,($0.45),($0.58),($0.21),$0.33,$0.35,$0.43
Basic Weighted Average Shares Outst.,120.0,122.7,126.6,132.5,135.2,135.8
Diluted EPS,($0.45),($0.58),($0.21),$0.32,$0.34,$0.41
Diluted EPS - Continuing Ops,($0.45),($0.58),($0.21),$0.32,$0.34,$0.41
Diluted Weighted Average Shares Outst.,120.0,122.7,126.6,137.3,141.3,142.2
Normalized Basic EPS,($0.11),($0.16),$0.04,$0.24,$0.24,$0.29
Normalized Diluted EPS,($0.11),($0.16),$0.04,$0.24,$0.23,$0.28
EBITDA,59.1,49.0,68.3,96.4,81.4,89.7
EBITA,31.6,23.1,47.6,77.3,60.9,69.0
EBIT,(2.7),(8.8),29.6,63.7,56.3,66.5
EBITDAR,68.6,57.9,76.6,104.1,89.0,
Effective Tax Rate,NM,NM,NM,3.5%,2.2%,2.6%
Normalized Net Income,(13.3),(19.2),5.5,32.4,32.7,39.2
Interest on Long-Term Debt,20.3,18.8,20.8,11.9,3.7,
R&D Expense From Footnotes,117.5,103.4,82.4,78.6,89.2,91.6
Foreign Sales,,386.0,360.2,359.8,364.2,
