Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(9.62%),3.33%,1.33%,1.00%,5.75%
Total Revenues,(9.62%),3.33%,1.33%,1.00%,5.75%
Cost Of Revenues,(5.95%),5.89%,(7.63%),(1.72%),1.94%
Gross Profit,(12.30%),1.32%,8.65%,2.89%,8.39%
Selling General & Admin Expenses,(8.00%),(1.17%),(7.93%),15.49%,16.08%
R&D Expenses,(12.05%),(20.23%),(4.65%),13.49%,13.58%
Total Operating Expenses,(9.72%),(15.80%),(7.94%),8.18%,7.94%
Operating Income,(222.72%),,114.89%,(11.62%),9.72%
Interest Expense,-7.48%,(9.53%),-43.05%,-68.44%,-57.26%
Net Interest Expenses,-7.48%,(9.53%),-43.05%,-68.44%,-57.26%
Other Non Operating Income (Expenses),,-91.20%,-76.40%,(230.16%),-12.57%
"EBT, Excl. Unusual Items",(43.83%),,491.31%,0.93%,19.64%
"EBT, Incl. Unusual Items",(57.79%),-65.62%,,7.52%,29.50%
Income Tax Expense,(91.44%),177.15%,(33.19%),(32.32%),(11.56%)
Earnings From Continuing Operations,(30.43%),-62.70%,,8.96%,31.15%
Net Income to Company,(30.43%),-62.70%,,8.96%,31.15%
Net Income,(30.43%),-62.70%,,8.96%,31.15%
NI to Common Incl Extra Items,(30.43%),-62.70%,,8.96%,31.15%
NI to Common Excl. Extra Items,(30.43%),-62.70%,,8.96%,31.15%
Revenue Per Share,(11.62%),0.03%,(3.16%),(1.04%),3.83%
Basic EPS,(27.82%),-64.14%,,6.21%,28.77%
Basic EPS - Continuing Ops,(27.82%),-64.14%,,6.21%,28.77%
Basic Weighted Average Shares Outst.,2.24%,3.17%,4.67%,2.08%,1.85%
Diluted EPS,(28.89%),-63.79%,,6.25%,24.24%
Diluted EPS - Continuing Ops,(28.89%),-63.79%,,6.25%,24.24%
Diluted Weighted Average Shares Outst.,2.24%,3.17%,8.46%,2.92%,2.97%
Normalized Basic EPS,(42.08%),,512.29%,0.90%,17.46%
Normalized Diluted EPS,(42.08%),,490.87%,(3.42%),16.19%
EBITDA,(17.00%),39.33%,41.07%,(15.48%),(3.15%)
EBITA,(26.94%),106.36%,62.39%,(21.27%),(6.05%)
EBIT,(222.72%),,114.89%,(11.62%),9.72%
EBITDAR,(15.52%),32.25%,35.84%,(14.43%),
Effective Tax Rate,,,,(37.08%),(31.71%)
Normalized Net Income,(43.83%),,491.31%,0.93%,19.64%
Interest on Long-Term Debt,(7.48%),10.76%,(42.69%),(68.84%),
R&D Expense From Footnotes,(12.05%),(20.23%),(4.65%),13.49%,13.58%
Foreign Sales,,(6.67%),(0.13%),1.23%,
