Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,637.2,922.2,884.0,858.9,740.3,740.3
Tenant Reimbursements,305.3,,,,,
Other Revenue,103.1,78.6,101.0,76.8,(4.8),(4.8)
Total Revenues,1085.0,1044.2,1028.5,976.4,759.0,759.0
Property Expenses,405.9,395.3,368.3,368.0,348.0,348.0
Selling General & Admin Exp.,28.2,28.2,24.2,22.6,30.3,30.3
Depreciation & Amortization,348.5,335.4,327.4,330.7,319.6,319.6
Total Operating Expenses,782.7,759.0,719.9,721.3,697.9,697.9
Operating Income,302.4,285.2,308.6,255.1,61.0,61.0
Total Interest Expense,(163.7),(171.8),(183.0),(200.8),(210.8),(210.8)
Interest and Investment Income,,,,62.5,135.3,135.3
Net Interest Expenses,(163.7),(171.8),(183.0),(138.3),(75.6),(75.6)
"EBT, Excl. Unusual Items",138.7,113.4,125.6,116.9,(14.5),(14.5)
Gain (Loss) on Sale of Assets,415.3,42.4,(31.8),(11.9),(68.1),(68.1)
Asset Writedown,,,,,(163.3),(163.3)
Other Unusual Items,1.7,,(19.4),(0.4),,
"EBT, Incl. Unusual Items",555.6,177.3,65.4,104.1,(245.9),(245.9)
Income Tax Expense,0.7,15.6,(3.6),1.6,(0.4),(0.4)
Earnings From Continuing Operations,554.8,161.7,69.0,102.6,(245.5),(245.5)
Net Income to Company,554.8,161.7,69.0,102.6,(245.5),(245.5)
Minority Interest,(37.8),(15.5),(9.0),(5.7),15.3,15.3
Net Income,517.0,146.1,60.0,96.8,(230.2),(230.2)
Pref. Dividends and Other Adj.,0.8,0.8,1.1,1.2,1.0,1.0
NI to Common Incl Extra Items,516.2,145.4,58.9,95.6,(231.3),(231.3)
NI to Common Excl. Extra Items,516.2,145.4,58.9,95.6,(231.3),(231.3)
Revenue Per Share,$7.40,$7.36,$7.29,$6.91,$5.19,$5.19
Basic EPS,$3.52,$1.02,$0.42,$0.68,($1.58),($1.58)
Basic EPS - Continuing Ops,$3.52,$1.02,$0.42,$0.68,($1.58),($1.58)
Basic Weighted Average Shares Outst.,146.6,141.9,141.1,141.3,146.2,146.2
Diluted EPS,$3.52,$1.02,$0.42,$0.68,($1.58),($1.58)
Diluted EPS - Continuing Ops,$3.52,$1.02,$0.42,$0.68,($1.58),($1.58)
Diluted Weighted Average Shares Outst.,146.7,141.9,141.1,141.3,146.2,146.2
Normalized Basic EPS,$0.33,$0.39,$0.49,$0.48,$0.04,$0.04
Normalized Diluted EPS,$0.33,$0.39,$0.49,$0.48,$0.04,$0.04
Dividend Per Share,$2.75,$2.87,$2.97,$3.00,$1.55,$1.55
Payout Ratio,85.42%,303.73%,698.50%,438.21%,NM,NM
FFO,642.3,582.9,564.4,537.0,339.5,339.5
FFO Payout Ratio %,68.75%,76.15%,74.28%,79.01%,48.72%,48.72%
AFFO,642.3,582.9,564.4,537.0,339.5,339.5
Funds Available for Distribution,642.3,582.9,564.4,537.0,339.5,339.5
FFO Per Share (Basic),$4.08,$3.83,$3.73,$3.54,$2.16,$2.16
FFO Shares (Basic),157.3,152.3,151.5,151.8,156.9,156.9
FFO Per Share (Diluted),$4.08,$3.83,$3.73,$3.54,$2.16,$2.16
FFO Shares (Diluted),157.4,152.3,151.5,151.8,156.9,156.9
Adjusted FFO Per Share (Basic),$4.08,$3.83,$3.73,$3.54,$2.16,$2.16
Adjusted FFO Per Share (Diluted),$4.08,$3.83,$3.73,$3.54,$2.16,$2.16
EBITDA,644.9,626.4,641.3,587.6,385.0,385.0
EBITA,322.6,305.1,320.3,263.7,68.4,68.4
EBIT,302.4,285.2,308.6,255.1,61.0,61.0
EBITDAR,661.4,,,,400.3,400.3
Effective Tax Rate,0.1%,8.8%,NM,1.5%,NM,NM
Normalized Net Income,48.8,55.3,69.5,67.3,6.2,6.2
Interest Capitalized,10.3,13.2,15.4,9.6,5.2,5.2
Interest on Long-Term Debt,174.0,184.9,198.2,210.4,216.1,216.1
