Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(1.65%),(5.96%),10.51%,(5.11%),(5.47%)
Total Revenues,(1.65%),(5.96%),10.51%,(5.11%),(5.47%)
Cost Of Revenues,(1.66%),(1.97%),18.30%,(5.29%),(8.03%)
Gross Profit,(1.64%),(8.77%),4.62%,(4.95%),(3.21%)
Selling General & Admin Expenses,(3.12%),11.06%,16.93%,(10.09%),(8.17%)
R&D Expenses,5.42%,24.59%,21.85%,(3.80%),(5.03%)
Depreciation & Amortization,(0.33%),(4.93%),(7.27%),12.01%,3.75%
Total Operating Expenses,(0.04%),15.03%,17.72%,(6.74%),(6.42%)
Operating Income,(2.95%),(29.00%),(13.42%),(1.61%),3.08%
Interest And Investment Income,1.12%,(9.11%),(32.99%),(86.29%),(86.29%)
Net Interest Expenses,1.12%,(9.11%),(32.99%),(86.29%),(86.29%)
Currency Exchange Gains (Loss),,,,-60.00%,
Other Non Operating Income (Expenses),,-87.63%,,(96.12%),(98.25%)
"EBT, Excl. Unusual Items",(4.26%),(27.44%),(14.79%),(1.98%),(0.44%)
"EBT, Incl. Unusual Items",(5.75%),(26.30%),(14.79%),(1.98%),(0.44%)
Income Tax Expense,(4.90%),(53.86%),(3.89%),(12.47%),(2.00%)
Earnings From Continuing Operations,(6.24%),(10.12%),(18.08%),1.72%,0.04%
Net Income to Company,(6.24%),(10.12%),(18.08%),1.72%,0.04%
Net Income,(6.24%),(10.12%),(18.08%),1.72%,0.04%
NI to Common Incl Extra Items,(6.24%),(10.12%),(18.08%),1.72%,0.04%
NI to Common Excl. Extra Items,(6.24%),(10.12%),(18.08%),1.72%,0.04%
Revenue Per Share,1.96%,(1.79%),13.56%,(3.87%),(4.71%)
Basic EPS,(2.67%),(5.87%),(15.71%),3.24%,0.85%
Basic EPS - Continuing Ops,(2.67%),(5.87%),(15.71%),3.24%,0.85%
Basic Weighted Average Shares Outst.,(3.49%),(4.30%),(2.73%),(1.33%),(0.81%)
Diluted EPS,(2.33%),(5.95%),(16.46%),3.03%,0.75%
Diluted EPS - Continuing Ops,(2.33%),(5.95%),(16.46%),3.03%,0.75%
Diluted Weighted Average Shares Outst.,(3.66%),(4.31%),(2.00%),(1.18%),(0.81%)
Normalized Basic EPS,(0.80%),(24.34%),(12.67%),(0.96%),0.37%
Normalized Diluted EPS,(0.57%),(24.16%),(12.94%),(0.42%),0.37%
EBITDA,(2.84%),(27.89%),(13.04%),(0.73%),3.13%
EBITA,(3.75%),(29.00%),(13.42%),(1.61%),3.08%
EBIT,(2.95%),(29.00%),(13.42%),(1.61%),3.08%
EBITDAR,(2.60%),(26.93%),(11.56%),(1.06%),
Effective Tax Rate,0.90%,(37.39%),12.81%,(10.71%),(1.57%)
Normalized Net Income,(4.26%),(27.44%),(14.79%),(1.98%),(0.44%)
R&D Expense From Footnotes,5.42%,24.59%,21.85%,(3.80%),(5.03%)
Foreign Earnings,,(27.88%),(13.42%),(1.61%),
Foreign Sales,310.63%,(5.96%),10.51%,(5.11%),
