Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,10.85%,8.61%,9.27%,21.96%,20.23%
Total Revenues,10.85%,8.61%,9.27%,21.96%,20.23%
Cost Of Revenues,14.35%,5.66%,8.92%,29.81%,33.97%
Gross Profit,9.13%,10.13%,9.44%,18.10%,13.75%
Selling General & Admin Expenses,7.19%,4.54%,10.25%,17.29%,13.79%
R&D Expenses,13.08%,24.18%,15.17%,27.19%,27.05%
Total Operating Expenses,8.28%,8.33%,11.33%,19.55%,16.85%
Operating Income,10.75%,13.43%,6.11%,15.43%,8.04%
Interest Expense,-79.20%,(4.13%),-53.54%,(3.05%),(1.81%)
Interest And Investment Income,540.95%,174.98%,70.18%,(60.24%),(78.19%)
Net Interest Expenses,,225.44%,81.87%,(61.76%),(80.23%)
Currency Exchange Gains (Loss),,(650.74%),-69.07%,,
"EBT, Excl. Unusual Items",13.63%,15.29%,9.32%,12.43%,4.15%
"EBT, Incl. Unusual Items",(57.14%),15.06%,9.54%,12.63%,3.93%
Income Tax Expense,(50.16%),(66.84%),87.56%,(38.20%),(23.15%)
Earnings From Continuing Operations,(59.89%),55.10%,1.38%,22.46%,8.45%
Net Income to Company,(59.89%),55.10%,1.38%,22.46%,8.45%
Net Income,(59.89%),55.10%,1.38%,22.47%,8.46%
NI to Common Incl Extra Items,(59.89%),55.10%,1.38%,22.47%,8.46%
NI to Common Excl. Extra Items,(59.89%),55.10%,1.38%,22.47%,8.46%
Revenue Per Share,6.60%,6.99%,6.95%,19.14%,17.09%
Basic EPS,(61.43%),52.93%,(0.75%),19.70%,5.63%
Basic EPS - Continuing Ops,(61.43%),52.93%,(0.75%),19.70%,5.63%
Basic Weighted Average Shares Outst.,4.01%,1.51%,2.18%,2.37%,2.68%
Diluted EPS,(61.88%),54.71%,(0.29%),20.35%,6.77%
Diluted EPS - Continuing Ops,(61.88%),54.71%,(0.29%),20.35%,6.77%
Diluted Weighted Average Shares Outst.,5.04%,0.30%,1.89%,1.64%,1.43%
Normalized Basic EPS,9.42%,13.78%,6.99%,9.80%,1.45%
Normalized Diluted EPS,8.25%,14.85%,7.24%,10.76%,2.70%
EBITDA,12.65%,12.63%,6.58%,16.32%,9.98%
EBITA,12.35%,13.03%,5.79%,16.50%,9.52%
EBIT,10.75%,13.43%,6.11%,15.43%,8.04%
EBITDAR,12.86%,12.32%,6.25%,16.05%,
Effective Tax Rate,16.28%,(71.18%),71.32%,(45.14%),(26.06%)
Normalized Net Income,13.63%,15.29%,9.32%,12.44%,4.16%
Interest on Long-Term Debt,(80.00%),(14.29%),(50.00%),0.00%,
R&D Expense From Footnotes,9.66%,24.18%,15.17%,27.19%,27.05%
Foreign Sales,18.28%,11.82%,14.06%,26.88%,
