Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.27%,82.32%,22.19%,7.54%,7.17%
Total Revenues,4.27%,82.32%,22.19%,7.54%,7.17%
Cost Of Revenues,6.68%,19.13%,27.24%,10.41%,9.66%
Gross Profit,1.50%,158.92%,19.38%,5.84%,5.68%
Selling General & Admin Expenses,3.01%,19.45%,25.85%,(3.24%),(6.35%)
Depreciation & Amortization,15.21%,7.77%,(9.52%),39.38%,47.48%
Other Operating Expense/(Income),,,24.28%,(0.51%),(1.58%)
Total Operating Expenses,(8.18%),219.82%,17.49%,(2.00%),(2.55%)
Operating Income,23.56%,55.80%,25.94%,31.26%,30.88%
Interest Expense,-61.00%,(7.91%),-80.78%,,
Net Interest Expenses,-61.00%,(7.91%),-80.78%,,-75.00%
Currency Exchange Gains (Loss),(52.12%),,,,
Other Non Operating Income (Expenses),174.26%,3.69%,,,58.18%
"EBT, Excl. Unusual Items",74.23%,64.99%,32.87%,35.01%,32.13%
"EBT, Incl. Unusual Items",159.35%,64.99%,32.87%,35.01%,32.13%
Income Tax Expense,108.90%,16.51%,17.45%,(5.09%),(21.27%)
Earnings From Continuing Operations,191.41%,87.07%,37.25%,44.74%,44.95%
Net Income to Company,191.41%,87.07%,37.25%,44.74%,44.95%
Net Income,191.41%,87.07%,37.25%,44.74%,44.95%
Preferred Dividend and Other Adjustments,172.73%,223.33%,(4.12%),64.52%,74.92%
NI to Common Incl Extra Items,191.46%,86.75%,37.41%,44.69%,44.87%
NI to Common Excl. Extra Items,191.46%,86.75%,37.41%,44.69%,44.87%
Revenue Per Share,(4.67%),100.22%,21.07%,8.26%,8.36%
Basic EPS,163.00%,105.06%,36.17%,45.77%,46.48%
Basic EPS - Continuing Ops,163.00%,105.06%,36.17%,45.77%,46.48%
Basic Weighted Average Shares Outst.,9.43%,(8.98%),0.94%,(0.69%),(1.10%)
Diluted EPS,164.86%,101.02%,35.53%,43.82%,44.68%
Diluted EPS - Continuing Ops,164.86%,101.02%,35.53%,43.82%,44.68%
Diluted Weighted Average Shares Outst.,9.66%,(7.35%),1.80%,0.35%,(0.33%)
Normalized Basic EPS,59.87%,81.53%,31.78%,36.22%,33.60%
Normalized Diluted EPS,59.53%,78.74%,30.59%,34.30%,32.57%
EBITDA,0.66%,25.61%,7.58%,24.01%,27.21%
EBITA,(0.39%),27.10%,8.79%,23.10%,26.00%
EBIT,23.56%,55.80%,25.94%,31.26%,30.88%
EBITDAR,1.64%,25.01%,11.65%,27.24%,
Effective Tax Rate,(19.46%),(29.38%),(11.60%),(29.71%),(40.42%)
Normalized Net Income,74.23%,64.99%,32.87%,35.01%,32.13%
Foreign Sales,,,103.66%,(13.96%),
