Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1295.3,1916.0,2075.1,1899.8,2330.0,2488.2
Total Revenues,1295.3,1916.0,2075.1,1899.8,2330.0,2488.2
Cost Of Revenues,714.6,1024.5,1095.6,1061.8,1280.5,1356.2
Gross Profit,580.7,891.5,979.5,838.0,1049.5,1132.0
Selling General & Admin Expenses,227.9,290.1,298.1,330.3,353.1,361.8
R&D Expenses,110.6,132.6,135.7,164.1,173.1,177.9
Total Operating Expenses,374.2,468.4,477.3,561.8,581.4,591.0
Operating Income,206.5,423.1,502.2,276.2,468.1,541.0
Interest Expense,(30.6),(31.0),(16.9),(44.1),(29.1),(26.6)
Interest And Investment Income,2.6,3.0,5.8,5.4,1.4,0.9
Net Interest Expenses,(28.1),(28.0),(11.1),(38.7),(27.7),(25.7)
Currency Exchange Gains (Loss),(2.9),(9.5),(2.4),(4.9),(5.0),(6.0)
Other Non Operating Income (Expenses),0.4,3.7,0.4,1.6,1.9,2.2
"EBT, Excl. Unusual Items",176.0,389.2,489.1,234.2,437.3,511.5
"EBT, Incl. Unusual Items",128.0,447.6,481.0,177.8,423.0,489.9
Income Tax Expense,23.2,108.5,88.1,37.4,72.9,86.6
Earnings From Continuing Operations,104.8,339.1,392.9,140.4,350.1,403.3
Net Income to Company,104.8,339.1,392.9,140.4,350.1,403.3
Net Income,104.8,339.1,392.9,140.4,350.1,403.3
NI to Common Incl Extra Items,104.8,339.1,392.9,140.4,350.1,403.3
NI to Common Excl. Extra Items,104.8,339.1,392.9,140.4,350.1,403.3
Revenue Per Share,$24.22,$35.39,$38.14,$34.72,$42.29,$45.09
Basic EPS,$1.96,$6.26,$7.22,$2.57,$6.35,$7.31
Basic EPS - Continuing Ops,$1.96,$6.26,$7.22,$2.57,$6.35,$7.31
Basic Weighted Average Shares Outst.,53.5,54.1,54.4,54.7,55.1,55.2
Diluted EPS,$1.94,$6.16,$7.14,$2.55,$6.33,$7.28
Diluted EPS - Continuing Ops,$1.94,$6.16,$7.14,$2.55,$6.33,$7.28
Diluted Weighted Average Shares Outst.,54.1,55.1,55.0,55.1,55.4,55.5
Normalized Basic EPS,$2.06,$4.49,$5.62,$2.68,$4.96,$5.79
Normalized Diluted EPS,$2.03,$4.42,$5.56,$2.66,$4.94,$5.77
Dividend Per Share,$0.68,$0.71,$0.78,$0.80,$0.80,$0.80
Payout Ratio,34.69%,11.26%,10.79%,30.98%,12.57%,10.93%
EBITDA,272.4,505.7,582.0,386.2,567.3,635.6
EBITA,242.2,468.8,545.7,343.6,523.3,592.3
EBIT,206.5,423.1,502.2,276.2,468.1,541.0
EBITDAR,288.7,,,413.7,601.4,
Effective Tax Rate,18.1%,24.2%,18.3%,21.0%,17.2%,17.7%
Normalized Net Income,110.0,243.3,305.7,146.4,273.3,319.7
R&D Expense From Footnotes,110.6,132.6,135.7,164.1,173.1,177.9
Foreign Sales,619.7,960.7,1052.4,1011.4,1271.1,
