Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1.98%,(2.40%),20.67%,19.91%,18.04%
Total Revenues,1.98%,(2.40%),20.67%,19.91%,18.04%
Cost Of Revenues,(0.11%),(2.24%),23.24%,24.14%,21.00%
Gross Profit,8.84%,(2.86%),12.92%,5.93%,7.89%
Selling General & Admin Expenses,6.06%,(0.08%),11.97%,20.15%,21.72%
Total Operating Expenses,5.36%,(0.71%),19.27%,18.99%,18.54%
Operating Income,12.34%,(4.89%),6.68%,(8.41%),(4.19%)
Interest Expense,-47.70%,-53.75%,(195.70%),-30.37%,-36.75%
Net Interest Expenses,-37.62%,-53.75%,(195.70%),-30.37%,-36.75%
Other Non Operating Income (Expenses),1.91%,63.81%,(32.92%),(73.41%),
"EBT, Excl. Unusual Items",12.86%,(3.93%),5.44%,(8.85%),(4.66%)
"EBT, Incl. Unusual Items",9.88%,(4.78%),6.05%,(9.54%),(8.36%)
Income Tax Expense,(3.55%),(23.18%),(2.00%),(5.56%),(4.12%)
Earnings From Continuing Operations,17.77%,4.07%,8.91%,(10.81%),(9.71%)
Net Income to Company,17.77%,4.07%,8.91%,(10.81%),(9.71%)
Minority Interest,(53.28%),-97.64%,,,
Net Income,17.42%,5.41%,9.09%,(10.93%),(9.77%)
NI to Common Incl Extra Items,17.42%,5.41%,9.09%,(10.93%),(9.77%)
NI to Common Excl. Extra Items,17.42%,5.41%,9.09%,(10.93%),(9.77%)
Revenue Per Share,2.28%,(2.19%),22.56%,22.63%,21.85%
Basic EPS,17.75%,5.65%,10.80%,(8.81%),(6.85%)
Basic EPS - Continuing Ops,17.75%,5.65%,10.80%,(8.81%),(6.85%)
Basic Weighted Average Shares Outst.,(0.29%),(0.20%),(1.53%),(2.23%),(3.13%)
Diluted EPS,17.84%,5.68%,11.04%,(8.87%),(7.00%)
Diluted EPS - Continuing Ops,17.84%,5.68%,11.04%,(8.87%),(7.00%)
Diluted Weighted Average Shares Outst.,(0.25%),(0.20%),(1.69%),(2.31%),(3.24%)
Normalized Basic EPS,12.79%,(2.52%),7.11%,(7.05%),(1.64%)
Normalized Diluted EPS,12.91%,(2.50%),7.31%,(6.83%),(1.53%)
Dividend Per Share,0.00%,0.00%,455.56%,12.00%,8.74%
Payout Ratio,(15.03%),(4.91%),400.54%,23.28%,17.03%
EBITDA,8.58%,(5.85%),13.48%,(3.67%),(3.67%)
EBITA,11.38%,(5.29%),13.79%,(6.89%),(4.77%)
EBIT,12.34%,(4.89%),6.68%,(8.41%),(4.19%)
EBITDAR,8.27%,,,,
Effective Tax Rate,(12.23%),(19.33%),(7.59%),4.40%,4.63%
Normalized Net Income,12.44%,(2.60%),5.65%,(9.00%),(4.72%)
Foreign Sales,0.47%,2.06%,(14.34%),(16.72%),
