Income Statement,Jun 2017,Jun 2018,Jun 2019,Jul 2020,TTM
Revenues,51.24%,20.70%,32.76%,21.67%,16.45%
Total Revenues,51.24%,20.70%,32.76%,21.67%,16.45%
Cost Of Revenues,51.16%,24.36%,38.65%,19.05%,16.42%
Gross Profit,51.33%,16.71%,25.90%,25.02%,16.48%
Selling General & Admin Expenses,44.45%,15.52%,25.30%,19.45%,10.29%
R&D Expenses,48.64%,8.73%,17.21%,42.89%,27.50%
Total Operating Expenses,53.04%,15.25%,19.85%,25.89%,16.13%
Operating Income,45.89%,21.59%,45.07%,22.74%,17.42%
Interest Expense,(545.73%),-62.34%,(219.61%),-88.96%,-76.82%
Interest And Investment Income,252.67%,(93.07%),"2,812.50%",817.49%,213.16%
Net Interest Expenses,(582.61%),-60.34%,(190.17%),,
Other Non Operating Income (Expenses),,,(96.74%),(204.43%),(249.13%)
"EBT, Excl. Unusual Items",33.17%,30.11%,35.29%,40.21%,21.00%
"EBT, Incl. Unusual Items",22.87%,37.03%,39.82%,57.80%,29.92%
Income Tax Expense,11.71%,(72.71%),654.56%,(35.53%),42.86%
Earnings From Continuing Operations,26.00%,64.35%,14.41%,83.24%,28.20%
Net Income to Company,26.00%,64.35%,14.41%,83.24%,28.20%
Net Income,26.00%,64.35%,14.41%,83.24%,28.20%
NI to Common Incl Extra Items,26.00%,64.35%,14.41%,83.24%,28.20%
NI to Common Excl. Extra Items,26.00%,64.35%,14.41%,83.24%,28.20%
Revenue Per Share,23.34%,8.49%,29.63%,6.68%,9.45%
Basic EPS,2.15%,48.32%,11.13%,60.34%,20.49%
Basic EPS - Continuing Ops,2.15%,48.32%,11.13%,60.34%,20.49%
Basic Weighted Average Shares Outst.,22.62%,11.27%,2.38%,14.04%,6.40%
Diluted EPS,3.57%,48.28%,11.63%,62.50%,22.65%
Diluted EPS - Continuing Ops,3.57%,48.28%,11.63%,62.50%,22.65%
Diluted Weighted Average Shares Outst.,22.57%,10.35%,2.17%,13.64%,5.98%
Normalized Basic EPS,8.50%,15.93%,32.62%,22.75%,13.72%
Normalized Diluted EPS,7.93%,18.17%,32.77%,22.86%,14.17%
EBITDA,65.87%,25.53%,29.66%,16.68%,14.74%
EBITA,62.99%,24.80%,32.91%,19.29%,14.91%
EBIT,45.89%,21.59%,45.07%,22.74%,17.42%
EBITDAR,68.07%,,,16.58%,
Effective Tax Rate,(9.10%),(80.08%),439.60%,(59.14%),9.96%
Normalized Net Income,33.17%,30.11%,35.29%,40.21%,21.00%
Interest on Long-Term Debt,545.73%,(62.34%),219.61%,(88.96%),
R&D Expense From Footnotes,48.64%,8.73%,17.21%,42.89%,27.50%
Foreign Sales,170.84%,56.23%,29.10%,(2.22%),
