Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5134.7,6607.0,6909.4,7183.2,6321.0,6679.8
Total Revenues,5134.7,6607.0,6909.4,7183.2,6321.0,6679.8
Cost Of Revenues,4442.1,5745.3,5939.3,6070.2,5270.9,5558.4
Gross Profit,692.6,861.7,970.1,1112.9,1050.1,1121.4
Selling General & Admin Expenses,249.1,274.5,287.3,299.5,319.2,306.8
Depreciation & Amortization,164.9,188.0,192.3,212.5,258.8,285.0
Total Operating Expenses,414.0,462.6,500.2,535.0,616.9,634.6
Operating Income,278.5,399.1,469.9,578.0,433.2,486.8
Interest Expense,(50.7),(61.0),(82.6),(77.0),(59.6),(55.1)
Net Interest Expenses,(50.7),(61.0),(82.6),(77.0),(59.6),(55.1)
Other Non Operating Income (Expenses),1.8,13.0,1.8,2.0,1.3,2.5
"EBT, Excl. Unusual Items",233.1,372.4,413.0,530.4,404.5,463.5
"EBT, Incl. Unusual Items",225.8,371.8,365.3,510.9,425.2,484.1
Income Tax Expense,91.8,22.9,106.1,116.8,102.5,131.4
Earnings From Continuing Operations,134.0,348.9,259.2,394.1,322.7,352.7
Net Income to Company,134.0,348.9,259.2,394.1,322.7,352.7
Minority Interest,(2.8),(1.7),0.4,(1.8),0.1,(0.5)
Net Income,131.3,347.2,259.7,392.3,322.8,352.3
NI to Common Incl Extra Items,131.3,347.2,259.7,392.3,322.8,352.3
NI to Common Excl. Extra Items,131.3,347.2,259.7,392.3,322.8,352.3
Revenue Per Share,$63.89,$81.67,$87.80,$95.54,$86.83,$92.49
Basic EPS,$1.63,$4.29,$3.30,$5.22,$4.43,$4.88
Basic EPS - Continuing Ops,$1.63,$4.29,$3.30,$5.22,$4.43,$4.88
Basic Weighted Average Shares Outst.,80.4,80.9,78.7,75.2,72.8,72.2
Diluted EPS,$1.61,$4.22,$3.26,$5.17,$4.38,$4.81
Diluted EPS - Continuing Ops,$1.61,$4.22,$3.26,$5.17,$4.38,$4.81
Diluted Weighted Average Shares Outst.,81.4,82.3,79.8,75.8,73.7,73.3
Normalized Basic EPS,$1.78,$2.86,$3.29,$4.39,$3.47,$4.00
Normalized Diluted EPS,$1.76,$2.81,$3.24,$4.35,$3.43,$3.94
EBITDA,443.4,587.2,682.8,813.4,730.9,814.6
EBITA,299.8,420.0,490.5,601.0,472.1,529.6
EBIT,278.5,399.1,469.9,578.0,433.2,486.8
EBITDAR,841.9,1152.4,1269.9,1376.1,1155.9,
Effective Tax Rate,40.6%,6.2%,29.0%,22.9%,24.1%,27.1%
Normalized Net Income,142.9,231.1,258.5,329.7,253.0,289.2
Foreign Sales,279.7,211.5,164.3,233.5,133.1,
