Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13.12%,16.42%,(3.07%),(22.03%),(19.79%)
Other Revenues,(10.46%),(50.90%),(50.06%),147.17%,219.83%
Total Revenues,12.67%,15.39%,(3.38%),(21.46%),(18.85%)
Cost Of Revenues,13.13%,16.20%,(3.81%),(25.40%),(21.80%)
Gross Profit,4.65%,0.16%,6.15%,56.51%,29.49%
Selling General & Admin Expenses,15.08%,(3.54%),16.81%,17.98%,20.54%
Depreciation & Amortization,18.56%,14.63%,13.58%,5.78%,13.63%
Other Operating Expense/(Income),12.50%,11.11%,5.00%,9.52%,4.55%
Total Operating Expenses,16.60%,4.73%,15.14%,12.00%,17.13%
Operating Income,(4.23%),(3.97%),(2.72%),108.50%,39.83%
Interest Expense,(17.63%),(13.28%),(3.78%),-6.74%,(8.42%)
Interest And Investment Income,116.67%,15.38%,113.33%,(68.75%),(93.94%)
Net Interest Expenses,(16.11%),(13.22%),(0.58%),-2.90%,(15.01%)
Other Non Operating Income (Expenses),(29.03%),(90.91%),100.00%,(25.00%),
"EBT, Excl. Unusual Items",(7.54%),(7.95%),(3.38%),134.79%,44.44%
"EBT, Incl. Unusual Items",(31.81%),14.08%,(26.10%),151.53%,48.22%
Income Tax Expense,,,(21.06%),158.40%,50.67%
Earnings From Continuing Operations,10.74%,(12.92%),(27.53%),149.42%,47.45%
Net Income to Company,10.74%,(12.92%),(27.53%),149.42%,47.45%
Net Income,10.74%,(12.92%),(27.53%),149.42%,47.45%
NI to Common Incl Extra Items,10.74%,(12.92%),(27.53%),149.42%,47.45%
NI to Common Excl. Extra Items,10.74%,(12.92%),(27.53%),149.42%,47.45%
Revenue Per Share,23.53%,26.49%,(0.07%),(14.82%),(11.00%)
Basic EPS,21.43%,(4.56%),(25.08%),170.48%,61.72%
Basic EPS - Continuing Ops,21.43%,(4.56%),(25.08%),170.48%,61.72%
Basic Weighted Average Shares Outst.,(8.79%),(8.77%),(3.31%),(7.79%),(8.83%)
Diluted EPS,21.29%,(4.42%),(25.00%),169.14%,60.97%
Diluted EPS - Continuing Ops,21.29%,(4.42%),(25.00%),169.14%,60.97%
Diluted Weighted Average Shares Outst.,(8.80%),(8.78%),(3.41%),(7.32%),(8.36%)
Normalized Basic EPS,1.38%,0.85%,(0.17%),154.80%,58.42%
Normalized Diluted EPS,1.39%,0.85%,(0.07%),153.17%,57.63%
EBITDA,1.45%,1.45%,2.62%,71.01%,32.24%
EBITA,(4.15%),(3.88%),(2.66%),107.73%,40.22%
EBIT,(4.23%),(3.97%),(2.72%),108.50%,39.83%
EBITDAR,(0.80%),1.69%,4.03%,68.30%,
Effective Tax Rate,,,6.80%,2.72%,1.65%
Normalized Net Income,(7.54%),(7.95%),(3.38%),134.79%,44.44%
Interest Capitalized,,(42.11%),(36.36%),0.00%,
Interest on Long-Term Debt,27.20%,9.11%,2.18%,(6.57%),
