Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,321.3,358.3,397.9,414.2,418.2,450.1
Total Revenues,321.3,358.3,397.9,414.2,418.2,450.1
Cost Of Revenues,168.2,189.4,211.7,222.3,221.9,241.0
Gross Profit,153.1,168.9,186.3,191.9,196.3,209.1
Selling General & Admin Expenses,86.8,93.6,105.2,111.0,114.0,116.5
R&D Expenses,9.9,10.4,10.9,12.8,14.8,15.6
Total Operating Expenses,96.7,104.0,116.1,123.8,128.8,132.1
Operating Income,56.4,64.9,70.2,68.1,67.5,77.0
Interest And Investment Income,0.3,0.8,2.0,4.7,6.0,3.2
Net Interest Expenses,0.3,0.8,2.0,4.7,6.0,3.2
Currency Exchange Gains (Loss),(1.3),(0.0),0.3,(1.3),(1.2),(0.7)
Other Non Operating Income (Expenses),0.1,0.3,0.4,0.4,(0.0),(0.2)
"EBT, Excl. Unusual Items",55.5,66.0,72.9,71.9,72.3,79.3
"EBT, Incl. Unusual Items",55.5,66.7,73.5,73.0,72.3,76.3
Income Tax Expense,19.0,22.7,10.3,12.8,12.8,14.8
Earnings From Continuing Operations,36.5,44.0,63.2,60.2,59.5,61.5
Net Income to Company,36.5,44.0,63.2,60.2,59.5,61.5
Minority Interest,0.0,(0.2),(0.1),,,
Net Income,36.6,43.8,63.1,60.2,59.5,61.5
NI to Common Incl Extra Items,36.6,43.8,63.1,60.2,59.5,61.5
NI to Common Excl. Extra Items,36.6,43.8,63.1,60.2,59.5,61.5
Revenue Per Share,$6.44,$7.09,$7.75,$7.98,$7.96,$8.48
Basic EPS,$0.73,$0.87,$1.23,$1.16,$1.13,$1.16
Basic EPS - Continuing Ops,$0.73,$0.87,$1.23,$1.16,$1.13,$1.16
Basic Weighted Average Shares Outst.,49.9,50.5,51.4,51.9,52.6,53.1
Diluted EPS,$0.72,$0.86,$1.21,$1.15,$1.13,$1.16
Diluted EPS - Continuing Ops,$0.72,$0.86,$1.21,$1.15,$1.13,$1.16
Diluted Weighted Average Shares Outst.,50.5,51.2,52.1,52.4,52.9,53.3
Normalized Basic EPS,$0.70,$0.81,$0.89,$0.87,$0.86,$0.93
Normalized Diluted EPS,$0.69,$0.80,$0.87,$0.86,$0.85,$0.93
EBITDA,68.6,79.6,87.3,85.7,85.9,96.9
EBITA,61.1,70.9,76.9,74.4,74.0,83.4
EBIT,56.4,64.9,70.2,68.1,67.5,77.0
EBITDAR,69.2,80.4,88.3,87.4,87.3,
Effective Tax Rate,34.2%,34.0%,14.0%,17.5%,17.7%,19.4%
Normalized Net Income,34.7,41.1,45.5,44.9,45.2,49.5
R&D Expense From Footnotes,9.9,10.4,10.9,12.8,14.8,15.6
Foreign Sales,107.7,,,165.9,164.7,
