Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,11.52%,11.07%,4.09%,0.96%,7.46%
Total Revenues,11.52%,11.07%,4.09%,0.96%,7.46%
Cost Of Revenues,12.57%,11.78%,5.01%,(0.17%),7.70%
Gross Profit,10.36%,10.27%,3.03%,2.27%,7.18%
Selling General & Admin Expenses,7.84%,12.42%,5.51%,2.69%,2.28%
R&D Expenses,5.01%,4.53%,17.96%,15.19%,5.15%
Total Operating Expenses,7.55%,11.64%,6.67%,3.98%,2.61%
Operating Income,15.18%,8.08%,(2.99%),(0.84%),16.06%
Interest And Investment Income,160.25%,143.79%,129.22%,27.95%,(44.89%)
Net Interest Expenses,160.25%,143.79%,129.22%,27.95%,(44.89%)
Currency Exchange Gains (Loss),-97.01%,,,-7.90%,-63.45%
Other Non Operating Income (Expenses),76.22%,51.19%,(1.05%),,-36.94%
"EBT, Excl. Unusual Items",18.88%,10.45%,(1.40%),0.60%,13.33%
"EBT, Incl. Unusual Items",20.10%,10.19%,(0.69%),(0.90%),8.03%
Income Tax Expense,19.63%,(54.85%),24.71%,0.37%,26.94%
Earnings From Continuing Operations,20.35%,43.76%,(4.81%),(1.16%),4.29%
Net Income to Company,20.35%,43.76%,(4.81%),(1.16%),4.29%
Minority Interest,,-61.11%,,,
Net Income,19.77%,44.19%,(4.70%),(1.16%),4.29%
NI to Common Incl Extra Items,19.77%,44.19%,(4.70%),(1.16%),4.29%
NI to Common Excl. Extra Items,19.77%,44.19%,(4.70%),(1.16%),4.29%
Revenue Per Share,10.07%,9.28%,3.00%,(0.28%),6.04%
Basic EPS,18.69%,41.32%,(5.71%),(2.43%),2.90%
Basic EPS - Continuing Ops,18.69%,41.32%,(5.71%),(2.43%),2.90%
Basic Weighted Average Shares Outst.,1.35%,1.61%,1.03%,1.28%,1.34%
Diluted EPS,19.44%,40.70%,(4.96%),(1.74%),3.46%
Diluted EPS - Continuing Ops,19.44%,40.70%,(4.96%),(1.74%),3.46%
Diluted Weighted Average Shares Outst.,1.32%,1.92%,0.53%,0.83%,1.20%
Normalized Basic EPS,16.07%,9.34%,(2.73%),(1.15%),11.83%
Normalized Diluted EPS,16.32%,9.03%,(1.51%),(0.59%),11.98%
EBITDA,16.14%,9.56%,(1.76%),0.23%,14.77%
EBITA,15.93%,8.59%,(3.29%),(0.53%),14.91%
EBIT,15.18%,8.08%,(2.99%),(0.84%),16.06%
EBITDAR,16.09%,9.92%,(1.11%),(0.07%),
Effective Tax Rate,(0.39%),(59.02%),25.60%,1.28%,17.50%
Normalized Net Income,18.27%,10.76%,(1.24%),0.60%,13.33%
R&D Expense From Footnotes,5.01%,4.53%,17.96%,15.19%,5.15%
Foreign Sales,,,,(0.71%),
