Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,8.78%,0.81%,6.32%,(8.68%),1.10%
Total Revenues,8.78%,0.81%,6.32%,(8.68%),1.10%
Fuel & Purchased Power,86.01%,22.73%,14.34%,(39.45%),(30.97%)
Operations And Maintenance,(10.50%),1.21%,3.95%,3.46%,4.61%
Depreciation & Amortization,(10.11%),7.48%,14.40%,11.06%,7.44%
Other Operating Expenses,50.63%,(3.67%),2.62%,(2.01%),(2.47%)
Total Operating Expenses,10.86%,7.77%,9.28%,(9.17%),(3.89%)
Operating Income,5.17%,(11.89%),(0.28%),(7.49%),12.76%
"Interest Expense, Total",-1.00%,-4.44%,-6.78%,(9.67%),(37.52%)
Net Interest Expenses,(2.59%),-4.44%,-6.78%,(9.67%),(37.52%)
Other Non-Operating Inc. (Exp.),(68.36%),88.79%,(15.27%),43.83%,635.11%
"EBT, Excl. Unusual Items",4.23%,(13.22%),1.43%,(11.56%),8.86%
"EBT, Incl. Unusual Items",,(13.53%),1.43%,,(44.85%)
Income Tax Expense,,,,(78.00%),(80.02%)
Earnings From Continuing Operations,,38.11%,(22.28%),,(6.16%)
Net Income to Company,,38.11%,(22.28%),,(6.16%)
Net Income,,38.11%,(22.28%),,(6.16%)
NI to Common Incl Extra Items,,38.11%,(22.28%),,(6.16%)
NI to Common Excl. Extra Items,,38.11%,(22.28%),,(6.16%)
Revenue Per Share,8.10%,0.25%,5.80%,(10.50%),(3.25%)
Basic EPS,,37.40%,(22.62%),,(10.20%)
Basic EPS - Continuing Ops,,37.40%,(22.62%),,(10.20%)
Basic Weighted Average Shares Outst.,0.61%,0.55%,0.47%,2.01%,4.50%
Diluted EPS,,37.27%,(22.52%),,(9.65%)
Diluted EPS - Continuing Ops,,37.27%,(22.52%),,(9.65%)
Diluted Weighted Average Shares Outst.,1.38%,0.49%,0.39%,1.38%,4.49%
Normalized Basic EPS,3.49%,(13.71%),0.80%,(13.23%),4.18%
Normalized Diluted EPS,2.70%,(13.52%),0.89%,(12.61%),4.19%
Dividend Per Share,2.50%,2.44%,2.38%,2.33%,
Payout Ratio,,(25.42%),32.40%,,13.52%
EBITDA,0.29%,(6.34%),4.54%,(0.82%),10.71%
EBITA,5.17%,(11.89%),(0.28%),(7.49%),12.76%
EBIT,5.17%,(11.89%),(0.28%),(7.49%),12.76%
Effective Tax Rate,,,,,(63.78%)
Normalized Net Income,4.23%,(13.22%),1.43%,(11.56%),8.86%
Interest Capitalized,(17.08%),(40.00%),(19.67%),717.01%,
Interest on Long-Term Debt,(0.83%),(4.89%),(8.44%),9.94%,
