Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,20.61%,28.50%,(11.08%),(24.63%),(9.83%)
Total Revenues,20.61%,28.50%,(11.08%),(24.63%),(9.83%)
Fuel & Purchased Power,25.95%,33.55%,(10.15%),(36.18%),(27.71%)
Operations And Maintenance,7.55%,36.78%,(12.71%),1.85%,24.60%
Depreciation & Amortization,12.50%,4.72%,7.03%,30.70%,18.39%
Other Operating Expenses,14.81%,(47.98%),(15.60%),(6.10%),0.76%
Total Operating Expenses,22.66%,28.89%,(9.99%),(28.74%),(17.73%)
Operating Income,(0.29%),23.50%,(25.38%),40.57%,73.37%
"Interest Expense, Total",(44.59%),(3.12%),(1.72%),(43.57%),(28.22%)
Interest and Investment Income,"1,489.06%",(69.81%),164.33%,82.32%,1.61%
Net Interest Expenses,(38.61%),(6.58%),-0.47%,(42.19%),(29.67%)
Other Non-Operating Inc. (Exp.),(43.59%),38.83%,13.83%,158.80%,83.18%
"EBT, Excl. Unusual Items",(7.78%),26.28%,(27.97%),43.62%,81.43%
"EBT, Incl. Unusual Items",(3.09%),19.44%,(26.66%),41.91%,81.43%
Income Tax Expense,(22.04%),,-29.81%,-81.61%,
Earnings From Continuing Operations,0.30%,76.76%,(27.39%),14.40%,58.20%
Net Income to Company,0.30%,76.76%,(27.39%),14.40%,58.20%
Net Income,0.30%,76.76%,(27.39%),14.40%,58.20%
NI to Common Incl Extra Items,0.30%,76.76%,(27.39%),14.40%,58.20%
NI to Common Excl. Extra Items,0.30%,76.76%,(27.39%),14.40%,58.20%
Revenue Per Share,20.01%,26.50%,(12.62%),(29.06%),(13.82%)
Basic EPS,(0.00%),73.99%,(28.59%),7.66%,51.21%
Basic EPS - Continuing Ops,(0.00%),73.99%,(28.59%),7.66%,51.21%
Basic Weighted Average Shares Outst.,0.51%,1.58%,1.77%,6.23%,4.63%
Diluted EPS,0.00%,73.68%,(28.41%),7.94%,51.41%
Diluted EPS - Continuing Ops,0.00%,73.68%,(28.41%),7.94%,51.41%
Diluted Weighted Average Shares Outst.,0.48%,1.34%,1.47%,6.13%,4.61%
Normalized Basic EPS,(8.30%),23.87%,(29.32%),35.46%,73.41%
Normalized Diluted EPS,(8.35%),24.18%,(29.07%),35.02%,73.43%
Dividend Per Share,5.87%,6.73%,7.21%,6.72%,
Payout Ratio,6.41%,(38.38%),49.55%,(1.04%),
EBITDA,3.90%,24.26%,(18.10%),34.28%,51.17%
EBITA,0.16%,33.80%,(27.69%),36.31%,68.85%
EBIT,(0.29%),23.50%,(25.38%),40.57%,73.37%
Effective Tax Rate,(19.56%),,,,
Normalized Net Income,(7.78%),26.28%,(27.97%),43.62%,81.43%
Interest Capitalized,(73.83%),50.95%,87.47%,38.38%,
