Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2207.8,2279.1,2679.0,2420.4,2581.9,2740.9
Total Revenues,2207.8,2279.1,2679.0,2420.4,2581.9,2740.9
Cost Of Revenues,469.1,502.1,634.1,581.4,658.0,702.8
Gross Profit,1738.7,1777.0,2044.9,1839.0,1923.9,2038.1
Selling General & Admin Expenses,1476.2,1502.5,1733.3,1571.6,1666.3,1754.2
Total Operating Expenses,1476.2,1502.5,1733.3,1571.6,1666.3,1754.2
Operating Income,262.5,274.5,311.5,267.4,257.6,283.9
Interest Expense,(15.6),(22.2),(21.8),(19.2),(13.1),(13.1)
Net Interest Expenses,(15.6),(22.2),(21.8),(19.2),(13.1),(13.1)
Currency Exchange Gains (Loss),(11.1),,,,,
Other Non Operating Income (Expenses),8.4,13.3,0.6,6.9,11.8,19.5
"EBT, Excl. Unusual Items",244.2,265.6,290.4,255.2,256.2,290.3
"EBT, Incl. Unusual Items",212.8,265.6,219.7,255.2,256.2,290.3
Income Tax Expense,69.8,136.1,97.8,81.6,64.9,71.3
Earnings From Continuing Operations,143.1,129.4,121.9,173.6,191.4,219.1
Net Income to Company,143.1,129.4,121.9,173.6,191.4,219.1
Net Income,143.1,129.4,121.9,173.6,191.4,219.1
NI to Common Incl Extra Items,143.1,129.4,121.9,173.6,191.4,219.1
NI to Common Excl. Extra Items,143.1,129.4,121.9,173.6,191.4,219.1
Revenue Per Share,$39.84,$43.16,$48.56,$43.60,$49.37,$54.60
Basic EPS,$2.58,$2.45,$2.21,$3.13,$3.66,$4.36
Basic EPS - Continuing Ops,$2.58,$2.45,$2.21,$3.13,$3.66,$4.36
Basic Weighted Average Shares Outst.,55.4,52.8,55.2,55.5,52.3,50.2
Diluted EPS,$2.55,$2.36,$2.16,$3.10,$3.63,$4.36
Diluted EPS - Continuing Ops,$2.55,$2.36,$2.16,$3.10,$3.63,$4.36
Diluted Weighted Average Shares Outst.,56.1,54.9,56.5,55.9,52.8,50.2
Normalized Basic EPS,$2.75,$3.14,$3.29,$2.87,$3.06,$3.61
Normalized Diluted EPS,$2.72,$3.03,$3.21,$2.85,$3.04,$3.61
Dividend Per Share,$1.42,$1.44,$1.46,$1.48,$1.50,$1.50
Payout Ratio,54.82%,58.76%,66.11%,47.36%,40.96%,
EBITDA,334.9,346.0,394.5,344.1,331.6,357.2
EBITA,270.9,282.6,329.8,280.8,267.4,293.7
EBIT,262.5,274.5,311.5,267.4,257.6,283.9
EBITDAR,383.1,396.7,,393.0,383.8,
Effective Tax Rate,32.8%,51.3%,44.5%,32.0%,25.3%,24.6%
Normalized Net Income,152.6,166.0,181.5,159.5,160.1,181.5
Interest on Long-Term Debt,15.8,22.4,21.8,19.2,13.3,
R&D Expense From Footnotes,24.3,22.0,23.0,30.1,23.3,23.3
Foreign Sales,2006.6,2060.4,2367.6,2095.7,2156.8,
