Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.71%,7.31%,6.02%,(10.06%),(7.91%)
Total Revenues,6.71%,7.31%,6.02%,(10.06%),(7.91%)
Cost Of Revenues,11.80%,15.91%,0.39%,2.97%,3.83%
Gross Profit,5.02%,4.26%,8.24%,(14.81%),(12.22%)
Selling General & Admin Expenses,1.11%,6.73%,6.14%,(10.47%),(5.60%)
R&D Expenses,5.05%,22.35%,17.32%,10.30%,14.70%
Total Operating Expenses,2.30%,7.87%,6.75%,(7.61%),(2.83%)
Operating Income,22.20%,(14.90%),18.27%,(58.54%),(66.73%)
Interest Expense,-6.17%,-0.43%,(1.76%),(82.91%),(65.26%)
Interest And Investment Income,(59.67%),33.18%,227.13%,(23.21%),(63.02%)
Net Interest Expenses,-4.69%,-0.82%,-1.78%,(88.47%),(72.76%)
Currency Exchange Gains (Loss),(200.00%),(311.11%),-78.38%,(425.00%),-13.64%
Other Non Operating Income (Expenses),"(12,740.00%)",(4.98%),-46.88%,"(3,359.78%)","(9,114.29%)"
"EBT, Excl. Unusual Items",38.26%,(25.19%),37.19%,,
"EBT, Incl. Unusual Items",11.71%,(87.95%),823.04%,,
Income Tax Expense,,-49.87%,,,
Earnings From Continuing Operations,125.13%,(84.37%),422.75%,,
Net Income to Company,125.13%,(84.37%),422.75%,,
Minority Interest,1.28%,,,,
Net Income,119.40%,(84.71%),422.75%,,
NI to Common Incl Extra Items,119.40%,(84.71%),422.75%,,
NI to Common Excl. Extra Items,119.40%,(84.71%),422.75%,,
Revenue Per Share,5.05%,6.25%,4.86%,(9.11%),(6.66%)
Basic EPS,116.75%,(84.82%),423.15%,,
Basic EPS - Continuing Ops,116.75%,(84.82%),423.15%,,
Basic Weighted Average Shares Outst.,1.59%,1.00%,1.12%,(1.04%),(1.34%)
Diluted EPS,114.49%,(83.78%),412.50%,,
Diluted EPS - Continuing Ops,114.49%,(83.78%),412.50%,,
Diluted Weighted Average Shares Outst.,2.02%,(5.14%),1.54%,(3.28%),(4.06%)
Normalized Basic EPS,33.92%,(28.31%),35.39%,,
Normalized Diluted EPS,33.88%,(23.71%),36.00%,,
EBITDA,19.41%,(4.25%),11.16%,(26.61%),(30.72%)
EBITA,19.40%,(8.85%),12.19%,(40.18%),(45.20%)
EBIT,22.20%,(14.90%),18.27%,(58.54%),(66.73%)
EBITDAR,19.38%,(3.95%),10.15%,(24.05%),
Effective Tax Rate,,,,15.16%,2.39%
Normalized Net Income,36.60%,(27.67%),37.19%,,
Interest on Long-Term Debt,(6.17%),(0.43%),1.76%,82.91%,
R&D Expense From Footnotes,5.05%,40.03%,2.51%,11.70%,16.09%
Foreign Sales,35.23%,16.61%,10.42%,"100,681.55%",
