Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2785.4,2810.9,2844.5,2751.6,2282.0,2444.0
Total Revenues,2785.4,2810.9,2844.5,2751.6,2282.0,2444.0
Cost Of Revenues,1172.1,1183.4,1234.9,1235.5,1070.0,1113.1
Gross Profit,1613.3,1627.5,1609.6,1516.1,1212.0,1330.9
Selling General & Admin Expenses,1034.4,1032.6,1112.8,1069.4,898.4,888.6
R&D Expenses,142.8,172.4,172.0,154.7,100.8,96.2
Total Operating Expenses,1177.2,1205.0,1284.8,1224.1,999.2,984.8
Operating Income,436.1,422.5,324.8,292.0,212.8,346.1
Interest Expense,,,,(3.5),(62.5),(77.2)
Net Interest Expenses,,,,(3.5),(62.5),(77.2)
"EBT, Excl. Unusual Items",436.1,422.5,324.8,288.5,150.3,269.1
"EBT, Incl. Unusual Items",401.7,386.7,301.1,275.5,(30.1),88.7
Income Tax Expense,129.7,85.6,70.4,57.9,(63.4),(33.5)
Earnings From Continuing Operations,272.0,301.1,230.7,217.6,33.3,122.2
Net Income to Company,272.0,301.1,230.7,217.6,33.3,122.2
Net Income,272.0,301.1,230.7,217.6,33.3,122.2
NI to Common Incl Extra Items,272.0,301.1,230.7,217.6,33.3,122.2
NI to Common Excl. Extra Items,272.0,301.1,230.7,217.6,33.3,122.2
Revenue Per Share,,$21.98,$22.24,$20.20,$14.30,$15.28
Basic EPS,,$2.35,$1.80,$1.60,$0.21,$0.76
Basic EPS - Continuing Ops,,$2.35,$1.80,$1.60,$0.21,$0.76
Basic Weighted Average Shares Outst.,,127.9,127.9,136.2,159.6,159.9
Diluted EPS,,$2.35,$1.80,$1.60,$0.20,$0.73
Diluted EPS - Continuing Ops,,$2.35,$1.80,$1.60,$0.20,$0.73
Diluted Weighted Average Shares Outst.,,127.9,127.9,136.4,164.1,168.3
Normalized Basic EPS,,$2.06,$1.59,$1.32,$0.59,$1.05
Normalized Diluted EPS,,$2.06,$1.59,$1.32,$0.57,$1.00
EBITDA,563.3,543.9,454.8,420.5,345.4,478.0
EBITA,519.5,504.2,415.4,381.5,303.0,434.8
EBIT,436.1,422.5,324.8,292.0,212.8,346.1
EBITDAR,607.3,,,466.1,389.3,
Effective Tax Rate,32.3%,22.1%,23.4%,21.0%,NM,NM
Normalized Net Income,272.6,264.1,203.0,180.3,93.9,168.2
R&D Expense From Footnotes,142.8,172.4,172.0,154.7,100.8,96.2
Foreign Sales,1493.4,1557.9,1604.0,1541.0,1269.1,
