Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.92%,1.20%,(3.27%),(17.07%),(7.39%)
Total Revenues,0.92%,1.20%,(3.27%),(17.07%),(7.39%)
Cost Of Revenues,0.96%,4.35%,0.05%,(13.40%),(7.69%)
Gross Profit,0.88%,(1.10%),(5.81%),(20.06%),(7.14%)
Selling General & Admin Expenses,(0.17%),7.77%,(3.90%),(15.99%),(15.76%)
R&D Expenses,20.73%,(0.23%),(10.06%),(34.84%),(34.15%)
Total Operating Expenses,2.36%,6.62%,(4.72%),(18.37%),(17.99%)
Operating Income,(3.12%),(23.12%),(10.10%),(27.12%),48.92%
Interest Expense,,,,"(1,685.71%)","(1,035.29%)"
Net Interest Expenses,,,,"(1,685.71%)","(1,035.29%)"
"EBT, Excl. Unusual Items",(3.12%),(23.12%),(11.18%),(47.90%),19.28%
"EBT, Incl. Unusual Items",(3.73%),(22.14%),(8.50%),,(56.15%)
Income Tax Expense,(34.00%),(17.76%),(17.76%),,
Earnings From Continuing Operations,10.70%,(23.38%),(5.68%),(84.70%),(24.80%)
Net Income to Company,10.70%,(23.38%),(5.68%),(84.70%),(24.80%)
Net Income,10.70%,(23.38%),(5.68%),(84.70%),(24.80%)
NI to Common Incl Extra Items,10.70%,(23.38%),(5.68%),(84.70%),(24.80%)
NI to Common Excl. Extra Items,10.70%,(23.38%),(5.68%),(84.70%),(24.80%)
Revenue Per Share,,1.18%,(9.16%),(29.22%),(16.60%)
Basic EPS,,(23.24%),(11.24%),(86.96%),(32.28%)
Basic EPS - Continuing Ops,,(23.24%),(11.24%),(86.96%),(32.28%)
Basic Weighted Average Shares Outst.,,0.00%,6.49%,17.18%,11.04%
Diluted EPS,,(23.40%),(11.24%),(87.50%),(35.50%)
Diluted EPS - Continuing Ops,,(23.40%),(11.24%),(87.50%),(35.50%)
Diluted Weighted Average Shares Outst.,,0.00%,6.65%,20.31%,16.68%
Normalized Basic EPS,,(22.95%),(16.74%),(55.41%),7.42%
Normalized Diluted EPS,,(22.95%),(16.86%),(56.63%),2.23%
EBITDA,(3.44%),(16.38%),(7.54%),(17.86%),32.56%
EBITA,(2.95%),(17.61%),(8.16%),(20.58%),35.07%
EBIT,(3.12%),(23.12%),(10.10%),(27.12%),48.92%
EBITDAR,,,,(16.48%),
Effective Tax Rate,(31.45%),5.60%,(10.11%),902.05%,
Normalized Net Income,(3.12%),(23.12%),(11.18%),(47.90%),19.28%
R&D Expense From Footnotes,20.73%,(0.23%),(10.06%),(34.84%),(34.15%)
Foreign Sales,4.32%,2.96%,(3.93%),(17.64%),
