Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.86%),5.52%,(0.43%),(9.32%),(7.33%)
Total Revenues,(0.86%),5.52%,(0.43%),(9.32%),(7.33%)
Cost Of Revenues,(1.89%),6.49%,0.05%,(6.65%),(5.41%)
Gross Profit,0.73%,4.06%,(1.18%),(13.44%),(10.35%)
Selling General & Admin Expenses,(0.38%),17.13%,(6.01%),(10.86%),(11.76%)
R&D Expenses,4.68%,7.29%,5.70%,(9.75%),(10.04%)
Total Operating Expenses,0.04%,16.28%,(5.07%),(10.76%),(11.61%)
Operating Income,1.70%,(12.81%),6.00%,(17.88%),(8.16%)
Interest Expense,-85.71%,"(15,500.00%)",(43.27%),-18.57%,-21.54%
Net Interest Expenses,-85.71%,"(15,500.00%)",(43.27%),-18.57%,-21.54%
Other Non Operating Income (Expenses),(21.43%),-91.18%,(350.00%),(18.52%),(15.38%)
"EBT, Excl. Unusual Items",1.73%,(20.23%),1.05%,(18.12%),(6.15%)
"EBT, Incl. Unusual Items",(0.54%),(14.24%),(4.21%),,(94.77%)
Income Tax Expense,,,(8.44%),8.65%,(76.79%)
Earnings From Continuing Operations,39.60%,(36.19%),(3.51%),,
Net Income to Company,39.60%,(36.19%),(3.51%),,
Net Income,39.60%,(36.19%),(3.51%),,
NI to Common Incl Extra Items,39.60%,(36.19%),(3.51%),,
NI to Common Excl. Extra Items,39.60%,(36.19%),(3.51%),,
Revenue Per Share,(0.85%),5.75%,3.66%,(8.22%),(6.86%)
Basic EPS,39.36%,(36.03%),0.60%,,
Basic EPS - Continuing Ops,39.36%,(36.03%),0.60%,,
Basic Weighted Average Shares Outst.,0.00%,(0.22%),(3.92%),(1.17%),(0.50%)
Diluted EPS,39.86%,(36.00%),0.78%,,
Diluted EPS - Continuing Ops,39.86%,(36.00%),0.78%,,
Diluted Weighted Average Shares Outst.,0.00%,(0.22%),(4.31%),(1.97%),(1.24%)
Normalized Basic EPS,1.67%,(20.06%),4.87%,(17.37%),(5.68%)
Normalized Diluted EPS,2.15%,(20.38%),5.11%,(16.56%),(4.97%)
Dividend Per Share,,,32.08%,0.00%,0.00%
Payout Ratio,,,98.89%,,
EBITDA,1.94%,(10.21%),4.49%,(12.42%),(5.28%)
EBITA,1.59%,(11.04%),5.15%,(14.33%),(6.31%)
EBIT,1.70%,(12.81%),6.00%,(17.88%),(8.16%)
EBITDAR,2.58%,(10.21%),5.27%,(11.75%),
Effective Tax Rate,,,(4.39%),,343.84%
Normalized Net Income,1.73%,(20.23%),1.05%,(18.12%),(6.15%)
R&D Expense From Footnotes,4.68%,7.29%,5.70%,(9.75%),(10.04%)
Foreign Sales,,,(0.43%),(9.32%),
