Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,743.9,775.2,767.3,804.1,753.4,769.7
Other Revenue,3.0,5.4,2.2,3.8,3.6,3.2
Total Revenues,900.8,908.4,881.7,928.8,892.4,913.1
Property Expenses,,,,14.9,12.3,11.4
Selling General & Admin Exp.,45.9,47.7,63.5,57.9,59.9,60.1
Depreciation & Amortization,267.1,287.6,281.3,301.7,329.9,332.1
Other Operating Expenses,,,(0.3),(0.8),0.9,0.9
Total Operating Expenses,322.8,548.1,378.3,381.6,437.9,436.4
Operating Income,578.1,360.3,503.4,547.2,454.5,476.8
Total Interest Expense,(173.4),(198.3),(201.4),(208.7),(223.4),(226.7)
Interest and Investment Income,0.2,0.3,,,,
Net Interest Expenses,(173.3),(198.0),(201.4),(208.7),(223.4),(226.7)
"EBT, Excl. Unusual Items",405.0,164.9,302.3,349.5,237.2,267.5
Gain (Loss) on Sale of Assets,50.2,53.9,24.8,55.7,19.1,117.6
Asset Writedown,(58.7),(99.1),(35.0),(49.0),(76.0),(101.0)
Other Unusual Items,(2.1),(11.6),,,(13.3),(43.0)
"EBT, Incl. Unusual Items",384.8,108.2,296.9,354.8,168.5,240.5
Income Tax Expense,1.4,3.2,3.0,2.8,4.9,4.9
Earnings From Continuing Operations,383.4,104.9,293.9,351.9,163.5,235.6
Net Income to Company,383.4,104.9,293.9,351.9,163.5,235.6
Minority Interest,(17.0),(4.5),(12.3),(10.8),(4.2),(6.2)
Net Income,366.4,100.4,281.6,341.1,159.3,229.4
NI to Common Incl Extra Items,366.4,100.4,281.6,341.1,159.3,229.4
NI to Common Excl. Extra Items,366.4,100.4,281.6,341.1,159.3,229.4
Revenue Per Share,$4.70,$4.59,$4.40,$4.35,$3.92,$3.99
Basic EPS,$1.91,$0.51,$1.41,$1.60,$0.70,$1.00
Basic EPS - Continuing Ops,$1.91,$0.51,$1.41,$1.60,$0.70,$1.00
Basic Weighted Average Shares Outst.,191.8,197.7,200.3,213.4,227.7,229.1
Diluted EPS,$1.90,$0.51,$1.40,$1.58,$0.70,$1.00
Diluted EPS - Continuing Ops,$1.90,$0.51,$1.40,$1.58,$0.70,$1.00
Diluted Weighted Average Shares Outst.,201.6,206.8,209.7,222.1,235.1,236.5
Normalized Basic EPS,$1.23,$0.50,$0.88,$0.97,$0.63,$0.70
Normalized Diluted EPS,$1.17,$0.48,$0.84,$0.93,$0.61,$0.68
Dividend Per Share,$2.41,$2.58,$2.64,$2.66,$2.68,$2.68
Payout Ratio,123.67%,500.51%,187.76%,165.37%,384.31%,268.54%
FFO,660.1,444.3,,640.0,555.9,545.2
FFO Payout Ratio %,68.65%,113.13%,,88.15%,110.14%,112.99%
AFFO,660.1,444.3,,640.0,555.9,
Funds Available for Distribution,660.1,444.3,,640.0,555.9,
EBITDA,831.1,636.0,774.0,843.0,770.2,789.8
EBITA,564.1,348.4,492.7,541.3,440.3,476.8
EBIT,578.1,360.3,503.4,547.2,454.5,476.8
EBITDAR,,,,844.2,771.6,
Effective Tax Rate,0.4%,3.0%,1.0%,0.8%,2.9%,2.0%
Normalized Net Income,236.2,98.6,176.7,207.6,144.0,160.9
Interest Capitalized,6.6,8.0,11.1,13.9,10.0,
