Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,890.3,1077.0,1241.4,1408.2,1808.8,1808.8
Total Revenues,890.3,1077.0,1241.4,1408.2,1808.8,1808.8
Cost Of Revenues,529.9,645.4,743.7,852.6,1085.5,1085.5
Gross Profit,360.4,431.6,497.7,555.6,723.4,723.4
Selling General & Admin Expenses,242.9,278.2,312.8,357.1,409.4,409.4
Depreciation & Amortization,8.4,9.8,11.7,14.6,16.7,16.7
Total Operating Expenses,258.2,295.9,335.6,384.8,436.4,436.4
Operating Income,102.2,135.8,162.1,170.8,287.0,287.0
Interest Expense,(5.9),(4.5),(1.3),,,
Interest And Investment Income,,,,0.9,0.3,0.3
Net Interest Expenses,(5.9),(4.5),(1.3),0.9,0.3,0.3
"EBT, Excl. Unusual Items",96.3,131.3,160.8,171.7,287.2,287.2
"EBT, Incl. Unusual Items",96.3,130.5,160.6,172.7,277.8,277.8
Income Tax Expense,36.5,2.9,25.6,31.6,35.1,35.1
Earnings From Continuing Operations,59.8,127.6,135.0,141.1,242.7,242.7
Net Income to Company,59.8,127.6,135.0,141.1,242.7,242.7
Net Income,59.8,127.6,135.0,141.1,242.7,242.7
NI to Common Incl Extra Items,59.8,127.6,135.0,141.1,242.7,242.7
NI to Common Excl. Extra Items,59.8,127.6,135.0,141.1,242.7,242.7
Revenue Per Share,$14.80,$17.55,$19.84,$22.28,$27.94,$27.94
Basic EPS,$0.99,$2.08,$2.16,$2.23,$3.75,$3.75
Basic EPS - Continuing Ops,$0.99,$2.08,$2.16,$2.23,$3.75,$3.75
Basic Weighted Average Shares Outst.,60.2,61.4,62.6,63.2,64.7,64.7
Diluted EPS,$0.96,$1.96,$2.05,$2.14,$3.68,$3.68
Diluted EPS - Continuing Ops,$0.96,$1.96,$2.05,$2.14,$3.68,$3.68
Diluted Weighted Average Shares Outst.,62.4,65.0,65.9,65.9,65.9,65.9
Normalized Basic EPS,$1.00,$1.34,$1.61,$1.70,$2.77,$2.77
Normalized Diluted EPS,$0.96,$1.26,$1.52,$1.63,$2.73,$2.73
EBITDA,112.9,148.0,176.4,188.4,309.4,309.4
EBITA,102.6,136.1,162.4,170.8,287.0,287.0
EBIT,102.2,135.8,162.1,170.8,287.0,287.0
EBITDAR,151.3,194.1,227.8,258.2,392.8,392.8
Effective Tax Rate,37.9%,2.2%,16.0%,18.3%,12.6%,12.6%
Normalized Net Income,60.2,82.1,100.5,107.3,179.5,179.5
