Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,4868.9,5080.2,5651.1,5919.9,6345.8,6600.0
Total Interest And Dividend Income,387.0,409.4,431.8,450.7,438.9,429.1
Gain (Loss) on Sale of Investments,72.9,211.6,(235.6),636.1,(142.0),1177.5
Other Revenues,571.7,561.9,411.4,453.7,523.3,550.4
Total Revenues,5900.5,6263.1,6258.7,7460.4,7166.0,8757.0
Policy Benefits,2347.9,2478.7,2460.7,2572.6,2491.4,2472.2
Selling General & Admin Expenses,2816.3,2995.7,3317.7,3525.4,3942.4,4153.3
Total Operating Expenses,5164.2,5474.4,5778.4,6098.0,6433.8,6625.5
Operating Income,736.3,788.7,480.3,1362.4,732.2,2131.5
"Interest Expense, Total",(50.2),(63.0),(42.2),(40.0),(43.7),(42.4)
"EBT, Excl. Unusual Items",685.8,725.3,438.1,1322.2,688.4,2088.9
"EBT, Incl. Unusual Items",685.8,725.3,438.1,1322.2,688.4,2088.9
Income Tax Expense,218.9,164.8,67.6,265.8,129.8,423.4
Earnings From Continuing Operations,466.9,560.5,370.5,1056.4,558.6,1665.5
Net Income to Company,466.9,560.5,370.5,1056.4,558.6,1665.5
Net Income,466.9,560.5,370.5,1056.4,558.6,1665.5
NI to Common Incl Extra Items,466.9,560.5,370.5,1056.4,558.6,1665.5
NI to Common Excl. Extra Items,466.9,560.5,370.5,1056.4,558.6,1665.5
Revenue Per Share,$22.74,$23.89,$21.27,$24.88,$24.01,$29.38
Basic EPS,$1.80,$2.14,$1.26,$3.52,$1.87,$5.59
Basic EPS - Continuing Ops,$1.80,$2.14,$1.26,$3.52,$1.87,$5.59
Basic Weighted Average Shares Outst.,259.4,262.1,294.2,299.9,298.4,298.0
Diluted EPS,$1.62,$1.92,$1.24,$3.51,$1.87,$5.58
Diluted EPS - Continuing Ops,$1.62,$1.92,$1.24,$3.51,$1.87,$5.58
Diluted Weighted Average Shares Outst.,296.4,299.4,301.0,301.2,298.9,298.8
Normalized Basic EPS,$1.65,$1.73,$0.93,$2.76,$1.44,$4.38
Normalized Diluted EPS,$1.45,$1.51,$0.91,$2.74,$1.44,$4.37
Dividend Per Share,$0.75,$0.76,$0.78,$0.80,$0.84,$0.85
Payout Ratio,41.51%,35.47%,61.97%,22.27%,44.77%,15.17%
EBITDA,765.9,815.9,507.9,1389.2,759.1,2158.4
EBITA,736.3,788.7,480.3,1362.4,732.2,2131.5
EBIT,736.3,788.7,480.3,1362.4,732.2,2131.5
EBITDAR,829.3,881.1,576.9,1462.2,833.0,
Effective Tax Rate,31.9%,22.7%,15.4%,20.1%,18.9%,20.3%
Normalized Net Income,428.6,453.3,273.8,826.4,430.3,1305.6
