Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Other Revenue,13.27%,43.62%,(15.13%),25.85%,38.86%
Total Revenues,13.27%,43.62%,(15.13%),25.85%,38.86%
Property Expenses,1.91%,50.36%,(3.36%),0.84%,(2.12%)
Selling General & Admin Exp.,12.95%,19.73%,(3.23%),25.19%,35.11%
Other Operating Expenses,1.11%,(25.56%),(51.11%),280.48%,119.03%
Total Operating Expenses,2.84%,46.00%,(3.82%),4.14%,1.61%
Operating Income,77.14%,35.14%,(58.58%),219.55%,345.99%
Total Interest Expense,-6.54%,(30.23%),-13.81%,-2.96%,(2.60%)
Net Interest Expenses,-6.54%,(30.23%),-13.81%,-2.96%,(2.60%)
"EBT, Excl. Unusual Items",121.06%,36.23%,(68.08%),347.00%,499.86%
Other Unusual Items,,,,(679.90%),-100.00%
"EBT, Incl. Unusual Items","1,691.53%",19.92%,(60.11%),242.24%,"1,738.05%"
Income Tax Expense,,(40.04%),(94.74%),"2,585.45%",
Earnings From Continuing Operations,690.39%,42.14%,(54.70%),199.73%,875.45%
Net Income to Company,690.39%,42.14%,(54.70%),199.73%,875.45%
Net Income,690.39%,42.14%,(54.70%),199.73%,875.45%
NI to Common Incl Extra Items,690.39%,42.14%,(54.70%),199.73%,875.45%
NI to Common Excl. Extra Items,690.39%,42.14%,(54.70%),199.73%,875.45%
Revenue Per Share,13.23%,(3.13%),(24.01%),26.59%,39.57%
Basic EPS,684.33%,(4.25%),(59.44%),202.59%,880.44%
Basic EPS - Continuing Ops,684.33%,(4.25%),(59.44%),202.59%,880.44%
Basic Weighted Average Shares Outst.,0.06%,48.28%,11.69%,(0.55%),(0.51%)
Diluted EPS,677.78%,(5.24%),(58.79%),201.22%,888.06%
Diluted EPS - Continuing Ops,677.78%,(5.24%),(58.79%),201.22%,888.06%
Diluted Weighted Average Shares Outst.,0.47%,49.94%,9.59%,(0.26%),(0.05%)
Normalized Basic EPS,122.14%,(8.32%),(71.34%),349.49%,502.92%
Normalized Diluted EPS,119.97%,(9.25%),(70.89%),347.28%,500.15%
Dividend Per Share,1.67%,4.58%,0.00%,0.63%,1.25%
Payout Ratio,(87.12%),16.25%,132.39%,(66.60%),(89.67%)
EBITDA,52.52%,53.43%,(43.49%),122.82%,194.42%
EBITA,77.14%,35.68%,(58.35%),217.47%,343.02%
EBIT,77.14%,35.14%,(58.58%),219.55%,345.99%
EBITDAR,50.96%,52.36%,(42.36%),118.07%,
Effective Tax Rate,,(50.01%),(86.81%),685.63%,
Normalized Net Income,121.06%,36.23%,(68.08%),347.00%,499.86%
Interest on Long-Term Debt,,,,2.84%,
