Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,568.9,532.3,565.1,1103.9,287.4,163.8
Other Revenue,245.3,237.0,263.6,508.3,155.4,93.7
Total Revenues,814.2,769.3,828.7,1612.2,442.9,257.4
Property Expenses,534.6,516.5,566.0,1099.2,493.8,363.8
Selling General & Admin Exp.,27.9,20.1,20.9,34.0,29.2,30.2
Depreciation & Amortization,102.4,102.3,108.5,234.9,224.6,224.2
Other Operating Expenses,,9.9,(10.9),3.0,4.4,3.4
Total Operating Expenses,665.0,648.7,684.5,1371.1,751.9,621.7
Operating Income,149.2,120.6,144.2,241.1,(309.0),(364.2)
Total Interest Expense,(43.6),(37.3),(53.9),(108.5),(104.1),(105.8)
Interest and Investment Income,2.0,,,,,
Net Interest Expenses,(41.6),(37.3),(53.9),(108.5),(104.1),(105.8)
Other Non Operating Income,0.3,2.4,2.1,0.0,0.5,0.5
"EBT, Excl. Unusual Items",107.9,85.6,92.3,132.7,(412.6),(469.5)
Gain (Loss) on Sale of Assets,40.7,14.9,(2.1),2.8,117.4,(0.0)
Asset Writedown,(12.1),,,,(74.6),(68.8)
Other Unusual Items,,,,(5.9),(16.0),0.0
"EBT, Incl. Unusual Items",73.8,100.4,15.1,120.9,(396.3),(549.1)
Income Tax Expense,(0.1),0.2,1.7,5.2,(3.7),7.1
Earnings From Continuing Operations,74.0,100.3,13.4,115.7,(392.6),(556.1)
Net Income to Company,74.0,100.3,13.4,115.7,(392.6),(556.1)
Minority Interest,(0.3),(0.4),0.0,(0.3),0.9,1.8
Net Income,73.7,99.9,13.4,115.4,(391.7),(554.3)
Pref. Dividends and Other Adj.,27.2,16.5,17.8,32.9,32.6,32.6
NI to Common Incl Extra Items,46.5,83.4,(4.4),82.6,(424.3),(586.8)
NI to Common Excl. Extra Items,46.5,83.4,(4.4),82.6,(424.3),(586.8)
Revenue Per Share,$11.32,$11.05,$11.16,$12.36,$3.39,$1.97
Basic EPS,$0.65,$1.20,($0.06),$0.63,($3.25),($4.49)
Basic EPS - Continuing Ops,$0.65,$1.20,($0.06),$0.63,($3.25),($4.49)
Basic Weighted Average Shares Outst.,71.9,69.6,74.3,130.5,130.6,130.7
Diluted EPS,$0.64,$1.19,($0.06),$0.63,($3.25),($4.49)
Diluted EPS - Continuing Ops,$0.64,$1.19,($0.06),$0.63,($3.25),($4.49)
Diluted Weighted Average Shares Outst.,72.4,70.0,74.3,130.7,130.6,130.7
Normalized Basic EPS,$0.93,$0.76,$0.78,$0.63,($1.97),($2.23)
Normalized Diluted EPS,$0.93,$0.76,$0.78,$0.63,($1.97),($2.23)
Dividend Per Share,$1.52,$1.52,$1.52,$1.52,$0.04,$0.04
Payout Ratio,172.43%,123.56%,909.60%,188.31%,NM,NM
FFO,190.6,175.2,106.3,314.9,(243.9),(296.0)
FFO Payout Ratio %,55.25%,61.26%,99.43%,58.69%,NM,NM
AFFO,190.6,175.2,106.3,314.9,(243.9),
Funds Available for Distribution,190.6,175.2,106.3,314.9,(243.9),
EBITDA,251.7,222.9,252.6,476.0,(84.5),(140.1)
EBITA,149.2,120.6,144.2,241.1,(309.0),(364.2)
EBIT,149.2,120.6,144.2,241.1,(309.0),(364.2)
EBITDAR,263.8,236.4,267.2,507.7,(62.3),
Effective Tax Rate,NM,0.2%,11.5%,4.3%,NM,NM
Normalized Net Income,67.2,53.1,57.7,82.6,(257.0),(291.6)
Interest Capitalized,0.5,,,0.3,1.2,
Interest on Long-Term Debt,44.1,37.3,53.9,108.5,104.1,
