Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3.96%,19.74%,(9.21%),0.31%,(2.47%)
Total Revenues,3.96%,19.74%,(9.21%),0.31%,(2.47%)
Cost Of Revenues,5.06%,20.40%,(11.80%),0.77%,(2.49%)
Gross Profit,1.49%,18.19%,(3.07%),(0.67%),(2.42%)
Selling General & Admin Expenses,(1.04%),18.65%,(5.25%),4.13%,1.22%
Other Operating Expense/(Income),900.00%,80.00%,16.67%,(38.10%),
Total Operating Expenses,(0.09%),17.52%,(5.83%),3.32%,2.34%
Operating Income,4.02%,19.21%,1.11%,(6.32%),(9.57%)
Interest Expense,-56.54%,(30.84%),(136.33%),-12.47%,-76.29%
Net Interest Expenses,-56.54%,(30.84%),(136.33%),-12.47%,-76.29%
Other Non Operating Income (Expenses),,365.38%,206.61%,(77.09%),
"EBT, Excl. Unusual Items",278.69%,18.27%,(81.35%),14.12%,
"EBT, Incl. Unusual Items",,255.38%,(53.82%),(73.38%),
Income Tax Expense,,,-98.09%,,
Earnings From Continuing Operations,,869.77%,(73.10%),(76.98%),
Net Income to Company,,869.77%,(73.10%),(76.98%),
Minority Interest,,,(18.18%),"(2,069.23%)",(78.87%)
Net Income,,867.49%,(73.31%),(99.36%),
Preferred Dividend and Other Adjustments,(46.22%),(25.93%),(70.00%),,
NI to Common Incl Extra Items,,"1,214.08%",(73.39%),(99.34%),
NI to Common Excl. Extra Items,,"1,214.08%",(73.39%),(99.34%),
Revenue Per Share,5.50%,21.89%,(14.59%),3.08%,5.10%
Basic EPS,,"1,246.35%",(74.98%),(99.32%),
Basic EPS - Continuing Ops,,"1,246.35%",(74.98%),(99.32%),
Basic Weighted Average Shares Outst.,(1.45%),(1.77%),6.31%,(2.68%),(7.20%)
Diluted EPS,,"1,131.36%",(73.04%),(99.40%),
Diluted EPS - Continuing Ops,,"1,131.36%",(73.04%),(99.40%),
Diluted Weighted Average Shares Outst.,1.60%,8.58%,(1.05%),(6.66%),(4.76%)
Normalized Basic EPS,286.20%,19.91%,(82.80%),(34.26%),
Normalized Diluted EPS,274.60%,8.47%,(81.52%),(30.83%),
Payout Ratio,,(91.73%),38.86%,,
EBITDA,4.97%,20.35%,(1.37%),(4.38%),(4.61%)
EBITA,4.07%,17.63%,(0.86%),(5.30%),(5.76%)
EBIT,4.02%,19.21%,1.11%,(6.32%),(9.57%)
EBITDAR,5.86%,19.43%,(1.42%),(4.07%),
Effective Tax Rate,,,,,(36.56%)
Normalized Net Income,278.69%,17.82%,(81.72%),(35.74%),
R&D Expense From Footnotes,14.11%,34.95%,(0.40%),14.00%,14.00%
Foreign Sales,,93.08%,(9.91%),8.93%,
